date,case_id,case,reference_GPU_h,predicted_mean_GPU_h,predicted_Q50_GPU_h,predicted_Q90_GPU_h,boundary_abs_error_GPU_h,WIS_CRPS_proxy_GPU_h,simultaneous_aggregate_coverage,reserve_shortfall_GPU_h,capacity_GPU,L_Q50_terminal_GPU_h,U_Q50_terminal_GPU_h,L_Q90_terminal_GPU_h,U_Q90_terminal_GPU_h,safe_envelope_width_GPU_h,feasible_set_volume_proxy_GPU_h2,projector_status,hidden_shedding_GPU_h,terminal_backlog_GPU_h
2024-11-01,O0,LEGACY_INNOVATION_ONLY,194.1088888888889,1023.3313699721097,1068.8083889764064,1841.384489761474,874.6995000875174,602.0773101310173,True,874.6995000875174,520,979.7410232283725,1068.8083889764064,1687.935782281351,1841.384489761474,146.95510983285206,1695164.4624902857,FEASIBLE,0.0,153.44870748012295
2024-11-01,O1,ORACLE_PRE_CUTOFF_PENDING_SERVICE,194.1088888888889,1023.3313699721097,1068.8083889764064,1841.384489761474,874.6995000875174,602.0773101310173,True,874.6995000875174,520,979.7410232283725,1068.8083889764064,1687.935782281351,1841.384489761474,146.95510983285206,1695164.4624902857,FEASIBLE,0.0,153.44870748012295
2024-11-01,O2,ORACLE_PRE_CUTOFF_ALL_FUTURE_SERVICE,194.1088888888889,1215.3313699721098,1260.8083889764064,2033.384489761474,1066.6995000875174,717.2773101310172,True,1066.6995000875174,520,1155.7410232283726,1260.8083889764064,1863.935782281351,2033.384489761474,162.27802649951875,2067101.922347619,FEASIBLE,0.0,169.44870748012295
2024-11-01,O3,ORACLE_INNOVATION,194.1088888888889,2.108888888888889,2.108888888888889,2.108888888888889,192.00000000000003,268.80000000000007,False,0.0,520,1.9331481481481483,2.108888888888889,1.9331481481481483,2.108888888888889,0.16830379533179016,2.2234648852773495,FEASIBLE,0.0,0.17574074074074075
2024-11-01,O4,FULL_ORACLE,194.1088888888889,194.1088888888889,194.1088888888889,194.1088888888889,0.0,0.0,True,0.0,520,177.93314814814815,194.1088888888889,177.93314814814815,194.1088888888889,15.491220461998461,18837.08619636676,FEASIBLE,0.0,16.175740740740764
2024-11-02,O0,LEGACY_INNOVATION_ONLY,2874.1238888888884,1688.0218183549846,797.9026413461687,1863.4651985446349,2076.2212475427195,1947.703445081188,False,0.0,520,731.4107545673213,797.9026413461687,1708.1764319992485,1863.4651985446349,148.71730181527542,1736062.877773067,FEASIBLE,0.0,155.28876654538635
2024-11-02,O1,ORACLE_PRE_CUTOFF_PENDING_SERVICE,2874.1238888888884,1688.0218183549846,797.9026413461687,1863.4651985446349,2076.2212475427195,1947.703445081188,False,0.0,520,731.4107545673213,797.9026413461687,1708.1764319992485,1863.4651985446349,148.71730181527542,1736062.877773067,FEASIBLE,0.0,155.28876654538635
2024-11-02,O2,ORACLE_PRE_CUTOFF_ALL_FUTURE_SERVICE,2874.1238888888884,1880.0218183549846,989.9026413461687,2055.465198544635,1884.2212475427195,1678.9034450811878,False,0.0,520,907.4107545673213,989.9026413461687,1884.1764319992485,2055.465198544635,164.0402184819421,2112239.3737020004,FEASIBLE,0.0,171.28876654538635
2024-11-02,O3,ORACLE_INNOVATION,2874.1238888888884,2682.1238888888884,2682.1238888888884,2682.1238888888884,192.0,268.8,False,0.0,520,2458.6135648148143,2682.1238888888884,2458.6135648148143,2682.1238888888884,214.05187937041867,3596503.9896666654,FEASIBLE,0.0,223.5103240740741
2024-11-02,O4,FULL_ORACLE,2874.1238888888884,2874.1238888888884,2874.1238888888884,2874.1238888888884,0.0,0.0,True,0.0,520,2634.6135648148143,2874.1238888888884,2634.6135648148143,2874.1238888888884,229.37479603708536,4129845.898752315,FEASIBLE,0.0,239.5103240740741
