date,model,phase,reserve_nomination_GPU_h,reserve_shortfall_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,normalized_boundary_score,hausdorff_boundary_proxy_GPU_h,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio
2024-12-01,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6742.550086466179,6901.6635254556495,59.5721262063734,9391.337707457964,True,False,0.0,67768.9122222222,0.0
2024-12-02,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6697.543993434235,6885.077672529173,51.88486175730019,10135.48580917243,True,False,0.0,100403.55611111087,0.0
2024-12-03,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6776.670597014874,6883.743083518922,70.74216229077801,8427.244374124633,True,False,0.0,68041.2077777778,0.0
2024-12-04,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6768.783297546637,6949.0339979672235,45.23665487166376,12031.65492968018,True,False,0.0,126901.65777777761,0.0
2024-12-05,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6698.594524501091,6899.869847439165,52.48111841655478,10275.98613153656,True,False,0.0,96662.61500000012,0.0
2024-12-06,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6777.558943754001,6845.738055258889,110.62875755173849,8881.756874124632,True,False,0.0,50608.92111111112,0.0
2024-12-07,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6864.561455343071,6775.789235235743,13640.350690578814,8942.893155092934,True,False,0.0,46.59777777777778,0.0
2024-12-08,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6868.445978941916,6775.417911161669,13643.863890103585,9028.06455129313,True,False,0.0,27.546666666666667,0.0
2024-12-09,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6809.388748892619,6730.923747929444,13540.312496822064,7598.677545246197,True,False,0.0,13.824444444444445,0.0
2024-12-10,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6867.954407210371,6775.379651902409,13643.33405911278,9015.475309251746,True,False,0.0,0.0,0.0
2024-12-11,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6870.707606307167,6775.379651902409,13646.087258209576,9082.096380190926,True,False,0.0,0.0,0.0
2024-12-12,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6944.064804617357,6775.379651902409,13719.444456519766,10857.171462196948,True,False,0.0,0.0,0.0
2024-12-13,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6943.914347827234,6775.539512241915,13719.453860069149,10857.171462196948,True,False,0.0,27.08222222222231,0.0
2024-12-14,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6977.745308279061,6780.67127728821,1475.9916801430768,11675.7558591143,True,False,0.0,3633.9200000000005,0.0
2024-12-15,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6896.387060940204,6830.75603654747,142.6343184642632,9548.853862686796,True,False,0.0,41796.44666666667,0.0
2024-12-16,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6836.344440749727,6778.385871809816,2369.5644665559103,8316.875318350898,True,False,0.0,768.3033333333333,0.0
2024-12-17,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6849.591455577115,6780.975485235743,1232.7917040228692,8703.273790834299,True,False,0.0,388.8,0.0
2024-12-18,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6856.681218188618,6871.626826478027,73.65941905976449,10643.087939736992,True,False,0.0,17622.403333333335,0.0
2024-12-19,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6899.826983693834,6802.3953307218535,291.5325408840444,9470.788970454507,True,False,0.0,20248.404444444463,0.0
2024-12-20,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6858.7001794668095,6779.383813264292,1762.595933153175,8881.882492707136,True,False,0.0,779.9727777777778,0.0
2024-12-21,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6965.5529647729545,6775.379651902409,13740.932616675364,11377.135399329203,True,False,0.0,0.0,0.0
2024-12-22,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6949.942096729404,6775.379651902409,13725.321748631814,10999.388381846044,True,False,0.0,0.0,0.0
2024-12-23,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6961.5607534485935,6775.379651902409,13736.940405351002,11280.533088891789,True,False,0.0,0.0,0.0
2024-12-24,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6913.653499394173,6807.331337087594,245.38701933643557,9742.698355397135,True,False,0.0,23004.51555555555,0.0
2024-12-25,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6940.032332451091,6775.434443569076,13715.466776020166,10760.581212310508,True,False,0.0,40.41333333333333,0.0
2024-12-26,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6849.722248468673,6893.753875378491,65.34789119838236,9834.018123779622,True,False,0.0,76135.6261111111,0.0
2024-12-27,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6804.712780290309,6882.004424375405,72.3477723029663,9472.679096346856,True,False,0.0,69321.65722222223,0.0
2024-12-28,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6817.396090529587,6831.465231184817,129.7317390455606,8910.10868015054,True,False,0.0,20052.90833333334,0.0
2024-12-29,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6906.766217588618,6779.701047928645,1685.4818007262566,10015.948644504622,True,False,0.0,1505.0344444444443,0.0
2024-12-30,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6732.372845320745,6841.306626297373,76.0167297874174,9315.232859986363,True,False,0.0,83853.38527777762,0.0
2024-12-31,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6722.7514410950425,6941.164774973397,46.19340852760767,10492.095763013522,True,False,0.0,103024.17111111112,0.0
2025-01-01,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6940.059357540712,6893.761042334508,66.79184955641117,10129.494929680186,True,False,0.0,85375.84333333327,0.0
2025-01-02,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6621.970731865455,7027.113803136977,30.249055819181844,12294.6585407913,True,False,0.0,150465.06000000006,0.0
2025-01-03,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6787.918779723377,6783.729215814083,283.54350673927013,7136.7952404201105,True,False,0.0,14264.290555555555,0.0
2025-01-04,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6907.82014587107,6887.945816832965,69.6801452870682,9984.904929680191,True,False,0.0,78178.4244444445,0.0
2025-01-05,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6821.755269681817,6855.325591717223,97.7599294183338,9172.399374124634,True,False,0.0,57562.86333333336,0.0
2025-01-06,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,7049.936345359643,6775.4301657912965,13825.36651115094,13112.62462994859,True,False,0.0,36.92,0.0
2025-01-07,BL1_LEGACY_B2_B3,CALIBRATED_EVALUATION,0.0,0.0,6789.698568884332,6861.817792430958,91.48972158610891,9461.977707457962,True,False,0.0,68148.3438888888,0.0
