fold_id,days,normalized_boundary_score,simultaneous_coverage,nonempty_set_rate,mean_safe_width_GPU_h,mean_capture_ratio,reserve_shortfall_GPU_h,reserve_shortfall_event_rate
1,30,11.463505993360425,0.0,0.0,1449.2849288456268,0.0,0.0,0.0
2,31,93.68428367197276,0.0967741935483871,0.0,9377.45458805524,0.0,0.0,0.0
3,31,21.264738547689788,0.06451612903225806,0.0,7638.97894398906,0.0,0.0,0.0
4,28,51.82224463937066,0.5,0.0,1584.0105727635641,0.0,0.0,0.0
5,31,38.551055871478226,0.0967741935483871,0.0,3820.543222912792,0.0,0.0,0.0
