fold_id,date,model,Q10_total_GPU_h,Q90_total_GPU_h,reference_schedulable_GPU_h,phase,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,normalized_boundary_score,hausdorff_boundary_proxy_GPU_h,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio
1,2024-11-01,BL1_LEGACY_B2_B3,296.23228819133874,1841.384489761474,2.108888888888889,RAW,37.72326137777344,7.880194598654917,45.60345597642836,782.8006634152626,False,False,3891.561370933465,38.31111111111111,0.0
1,2024-11-01,BL3_DIRECT_QUANTILE_LIGHTGBM,0.0,296.89297418828636,2.108888888888889,RAW,6.060805001973749,0.03887654320987654,6.099681545183626,126.21373670201066,True,False,0.0,38.31111111111111,0.0
1,2024-11-01,FULL_SAFE_FLEX_RAW,296.23228819133874,1987.033367697913,2.108888888888889,RAW,40.70909923919751,7.880194598654917,48.58929383785243,844.7182253955424,False,False,3889.6075428067466,38.31111111111111,0.0
1,2024-11-02,BL1_LEGACY_B2_B3,0.0,1863.4651985446349,2682.1238888888906,RAW,61.54853728651364,77.78357291666671,1.0056286263505012,1411.5552777777789,False,False,0.0,49002.896111111135,0.0
1,2024-11-02,BL3_DIRECT_QUANTILE_LIGHTGBM,0.0,270.9297141996718,2682.1238888888906,RAW,60.290619834228025,77.78357291666671,0.9965496150747829,1411.5552777777789,False,False,0.0,49002.896111111135,0.0
1,2024-11-02,FULL_SAFE_FLEX_RAW,0.0,1996.2390090490983,2682.1238888888906,RAW,61.956200339534334,77.78357291666671,1.0085709318637475,1411.5552777777789,False,False,0.0,49002.896111111135,0.0
1,2024-11-03,BL1_LEGACY_B2_B3,0.0,2516.119135586245,8909.720555555557,RAW,221.6523182426253,294.5260725308642,1.0019706440563352,8576.596111111112,False,False,0.0,212800.1977777778,0.0
1,2024-11-03,BL3_DIRECT_QUANTILE_LIGHTGBM,558.2249912469227,4842.966321450444,8909.720555555557,RAW,225.8736564478345,291.4487410105635,1.004191312599171,8375.606431405193,False,False,7315.070027135497,212800.1977777778,0.0
1,2024-11-03,FULL_SAFE_FLEX_RAW,129.31201423511905,6732.396584018314,8909.720555555557,RAW,229.35866379002763,292.31615209509556,1.012639933409689,8530.037141644001,False,False,1682.75829408979,212800.1977777778,0.0
1,2024-11-04,BL1_LEGACY_B2_B3,0.0,2229.581602205452,9657.437222222256,RAW,235.19826598694905,320.8632193287049,0.9897707454046762,9349.732500000035,False,False,0.0,230164.0488888897,0.0
1,2024-11-04,BL3_DIRECT_QUANTILE_LIGHTGBM,213.33925363854635,5569.169772209311,9657.437222222256,RAW,241.08134350060064,317.07604715700217,0.9935013864351745,9281.733229243486,False,False,2779.6557254497075,230164.0488888897,0.0
1,2024-11-04,FULL_SAFE_FLEX_RAW,10.02248778780588,6468.152448990781,9657.437222222256,RAW,242.7110829860781,320.681835510691,1.0028204499358895,9345.527064614063,False,False,130.24813137414696,230164.0488888897,0.0
1,2024-11-05,BL1_LEGACY_B2_B3,0.0,1910.3757600482409,5503.205,RAW,127.51456452218684,161.09210686728392,0.9876828389093549,3096.6383333333333,False,False,0.0,86337.78111111111,0.0
1,2024-11-05,BL3_DIRECT_QUANTILE_LIGHTGBM,226.5595860046462,5639.344793973389,5503.205,RAW,123.10147051198172,160.0197754225831,0.9689103671579455,3008.5678053058555,False,False,2952.239435811949,86337.78111111111,0.0
1,2024-11-05,FULL_SAFE_FLEX_RAW,126.22624249677739,6375.485845530349,5503.205,RAW,122.38351719805719,160.36282705584784,0.9676273616249019,3047.5703948556047,False,False,1642.7153516716253,86337.78111111111,0.0
1,2024-11-06,BL1_LEGACY_B2_B3,0.0,4018.4125083306094,7762.099166666651,RAW,192.4312929152147,256.2219792631168,0.999135480191174,7543.906388888874,False,False,0.0,182599.1455555552,0.0
1,2024-11-06,BL3_DIRECT_QUANTILE_LIGHTGBM,280.3463047672601,4850.599555222996,7762.099166666651,RAW,193.924922300735,254.51966070598675,0.9986707365492196,7442.967314348255,False,False,3656.077029511344,182599.1455555552,0.0
1,2024-11-06,FULL_SAFE_FLEX_RAW,126.26318070958855,8215.664112500275,7762.099166666651,RAW,200.25319822888062,255.25968676674825,1.0144116031376522,7498.445156146886,False,False,1642.140343416321,182599.1455555552,0.0
1,2024-11-07,BL1_LEGACY_B2_B3,0.0,1856.0626822400925,8062.99972222221,RAW,195.3387433107894,262.0624800347219,0.9997715680914866,7312.866388888877,False,False,0.0,191863.37611111082,0.0
1,2024-11-07,BL3_DIRECT_QUANTILE_LIGHTGBM,225.0379957743359,5591.037299902185,8062.99972222221,RAW,201.67627122008,261.1254313933954,1.0115757464596313,7246.420973573681,False,False,2932.424599218706,191863.37611111082,0.0
1,2024-11-07,FULL_SAFE_FLEX_RAW,9.41733778247904,6106.868799246799,8062.99972222221,RAW,202.62329596937755,261.91156863282424,1.0153640312100563,7309.68781304707,False,False,122.38352177510089,191863.37611111082,0.0
1,2024-11-08,BL1_LEGACY_B2_B3,0.0,2294.4091848380635,6801.894444444456,RAW,165.872643096267,222.22776630015468,0.9961822587708832,5960.721944444455,False,False,0.0,158019.2005555558,0.0
1,2024-11-08,BL3_DIRECT_QUANTILE_LIGHTGBM,225.09707328666707,5591.037299902185,6801.894444444456,RAW,171.2083316264253,220.91038530391387,1.0064965139962239,5874.49721686376,False,False,2933.1962006997055,158019.2005555558,0.0
1,2024-11-08,FULL_SAFE_FLEX_RAW,12.503109520820642,6553.311173060052,6801.894444444456,RAW,172.83346477635476,221.97124806718605,1.013390970716906,5955.932556485726,False,False,162.50230989255826,158019.2005555558,0.0
1,2024-11-09,BL1_LEGACY_B2_B3,0.0,2073.234771200601,4953.900277777784,RAW,120.14699773197,162.71258285108044,0.9855861949016023,4160.055833333339,False,False,0.0,110675.16444444458,0.0
1,2024-11-09,BL3_DIRECT_QUANTILE_LIGHTGBM,225.11949758825767,5098.2866696911115,4953.900277777784,RAW,122.43811189733097,160.8980786813015,0.9872468783793529,4091.145212368828,False,False,2934.08475981769,110675.16444444458,0.0
1,2024-11-09,FULL_SAFE_FLEX_RAW,12.503109520820642,6335.407608747668,4953.900277777784,RAW,124.07930750440909,162.55754827766842,0.9987476027027152,4154.741576210427,False,False,162.5047593015544,110675.16444444458,0.0
1,2024-11-10,BL1_LEGACY_B2_B3,0.0,2414.105217693798,3888.05333333333,RAW,100.1790076577666,129.3767623456789,1.0129472611960288,3848.0322222222194,False,False,0.0,92539.8266666666,0.0
1,2024-11-10,BL3_DIRECT_QUANTILE_LIGHTGBM,226.59932794326141,5098.2866696911115,3888.05333333333,RAW,105.23334758197666,129.27326310326467,1.034793545038808,3785.848134124682,False,False,2953.412575910384,92539.8266666666,0.0
1,2024-11-10,FULL_SAFE_FLEX_RAW,129.31201423511905,6671.146633279255,3888.05333333333,RAW,108.22725975260445,129.2783353067096,1.0480269872129735,3812.5460195125625,False,False,1682.793469313499,92539.8266666666,0.0
1,2024-11-11,BL1_LEGACY_B2_B3,0.0,2156.271880230452,4407.30666666665,RAW,113.57511033170202,146.40190528549329,1.0150932296621298,4399.839999999983,False,False,0.0,105673.95111111071,0.0
1,2024-11-11,BL3_DIRECT_QUANTILE_LIGHTGBM,226.57203780115756,5098.2866696911115,4407.30666666665,RAW,119.28310090842425,146.282098274783,1.0369125712316185,4312.601777181203,False,False,2953.056143941042,105673.95111111071,0.0
1,2024-11-11,FULL_SAFE_FLEX_RAW,126.22624249677739,6396.063502441715,4407.30666666665,RAW,121.80100053237103,146.2419581536631,1.046587106844236,4350.786146838424,False,False,1642.7035341325657,105673.95111111071,0.0
1,2024-11-12,BL1_LEGACY_B2_B3,0.0,2052.477628913108,6110.038888888889,RAW,132.9053750063366,182.3595301890432,1.0034408488663735,4709.195555555555,False,False,0.0,145541.41722222223,0.0
1,2024-11-12,BL3_DIRECT_QUANTILE_LIGHTGBM,226.5595860046462,5158.630008348993,6110.038888888889,RAW,138.0805510691834,179.99708871118872,1.0123933606527753,4616.600697968624,False,False,2952.8205649299125,145541.41722222223,0.0
1,2024-11-12,FULL_SAFE_FLEX_RAW,126.22624249677739,6291.7139756620945,6110.038888888889,RAW,140.21499380235818,180.86441491918572,1.0219475404069838,4657.606915437354,False,False,1642.7634610044092,145541.41722222223,0.0
1,2024-11-13,BL1_LEGACY_B2_B3,0.0,7835.881421112092,6129.956388888887,RAW,128.64902494475766,189.46311120756167,0.9566824168582649,5199.372777777775,False,False,0.0,133661.66444444438,0.0
1,2024-11-13,BL3_DIRECT_QUANTILE_LIGHTGBM,238.2864600588986,5158.630008348993,6129.956388888887,RAW,125.7051175880428,187.7119292451194,0.9425625236295895,5106.743660955698,False,False,3105.9833003045283,133661.66444444438,0.0
1,2024-11-13,FULL_SAFE_FLEX_RAW,126.22624249677739,12075.117767861078,6129.956388888887,RAW,135.80672196319068,188.42729036482754,0.9750931929019377,5150.304839300046,False,False,1641.217421210505,133661.66444444438,0.0
1,2024-11-14,BL1_LEGACY_B2_B3,0.0,7389.688018134617,2553.8522222222236,RAW,96.89786116750986,72.8724333526235,1.3181652022989263,1814.8461111111121,False,False,0.0,48821.7177777778,0.0
1,2024-11-14,BL3_DIRECT_QUANTILE_LIGHTGBM,238.29891185540993,5120.154197383985,2553.8522222222236,RAW,52.565738954147044,70.26109605764316,0.9536772041227304,1717.4834392930165,False,False,3106.1924439792356,48821.7177777778,0.0
1,2024-11-14,FULL_SAFE_FLEX_RAW,126.22624249677739,11639.27335971539,2553.8522222222236,RAW,183.18353131922788,71.14475878064447,1.9747076655396905,3133.1867187065372,False,False,1641.2549123327603,48821.7177777778,0.0
1,2024-11-15,BL1_LEGACY_B2_B3,0.0,7286.267231919375,1454.370833333334,RAW,118.50942942455225,44.47670399305559,2.1097849665338573,1907.1631793661495,False,False,0.0,33698.655555555575,0.0
1,2024-11-15,BL3_DIRECT_QUANTILE_LIGHTGBM,238.29891185540993,5120.154197383985,1454.370833333334,RAW,74.10877330777491,41.818587077325084,1.500629513823498,1104.5404251751536,False,False,3106.1924439792356,33698.655555555575,0.0
1,2024-11-15,FULL_SAFE_FLEX_RAW,129.31201423511905,11556.183714936808,1454.370833333334,RAW,206.03546714819151,42.93897988641991,3.2228664757560015,3722.3698753163176,False,False,1681.4092383518573,33698.655555555575,0.0
1,2024-11-16,BL1_LEGACY_B2_B3,0.0,7184.390426376493,3039.6963888888836,RAW,83.3585784362119,92.91386651234546,1.0825964391113445,2418.384999999994,False,False,0.0,66251.38333333319,0.0
1,2024-11-16,BL3_DIRECT_QUANTILE_LIGHTGBM,526.7447748676543,5098.2866696911115,3039.6963888888836,RAW,59.93606151625172,82.98830907530464,0.8777856046065775,2212.736075513509,False,False,6895.629978750994,66251.38333333319,0.0
1,2024-11-16,FULL_SAFE_FLEX_RAW,129.31201423511905,11441.43184196195,3039.6963888888836,RAW,168.8763532312869,90.27526380969161,1.5916079105862897,2445.5423797014073,False,False,1681.4191092516974,66251.38333333319,0.0
1,2024-11-17,BL1_LEGACY_B2_B3,0.0,8336.843638704207,6032.942499999994,RAW,146.0384602149812,190.82779263117263,1.0095856300107318,5619.5624999999945,False,False,0.0,138204.71666666653,0.0
