fold_id,date,actual_G_GPU_h,G_mean_GPU_h,G_Q50_GPU_h,G_Q90_GPU_h
1,2024-11-01,0.9777777777777776,9.561014689114684,2.4904861358972643,32.98968696234428
1,2024-11-02,1.4311111111111112,14.548003222321594,2.847878755826729,20.114619530368635
1,2024-11-03,1.912222222222222,5.142763707351744,2.0368572327350565,21.335394956301588
1,2024-11-04,58.37111111111111,2.043983255117651,1.1246003677843082,1.644050730241777
1,2024-11-05,0.5555555555555556,8.02692760707647,0.5484050131962328,125.03211024583311
1,2024-11-06,3.4488888888888893,1.3940898692816726,0.8404944715264709,1.644050730241777
1,2024-11-07,1.6011111111111114,7.274871562305134,1.1678223876765355,13.879320951618615
1,2024-11-08,1.8022222222222224,7.296006978654178,3.132644685711875,21.975192166900406
1,2024-11-09,0.7944444444444445,14.548003222321594,2.847878755826729,25.24604149197876
1,2024-11-10,1.3222222222222222,3.889150315876428,2.0368572327350565,20.114619530368635
1,2024-11-11,2.3711111111111105,2.1029080769741624,0.8398344378991645,2.8648261561747317
1,2024-11-12,1.8966666666666667,2.043983255117651,0.6415667944700054,1.644050730241777
1,2024-11-13,3.376666666666666,1.7918005155329935,0.5557285416413263,1.644050730241777
1,2024-11-14,2.9844444444444447,7.071025033999135,1.1678223876765355,12.658545525685678
1,2024-11-15,1.0930555555555554,9.705821774113204,2.847878755826729,32.98968696234428
1,2024-11-16,0.5555555555555555,14.548003222321594,3.132644685711875,20.114619530368635
1,2024-11-17,2.7022222222222227,3.889150315876428,2.0368572327350565,20.114619530368635
1,2024-11-18,4.3244444444444445,2.4587282800059382,0.8398344378991645,12.658545525685678
1,2024-11-19,4.803333333333333,2.4587282800059382,0.0,12.658545525685678
1,2024-11-20,0.72,2.383618396940643,0.19833592171186126,12.658545525685678
1,2024-11-21,2.3688888888888893,4.135579914128664,1.1678223876765355,1.644050730241777
1,2024-11-22,0.7611111111111111,7.296006978654178,2.847878755826729,21.975192166900406
1,2024-11-23,0.6311111111111111,11.318907286106423,3.132644685711875,20.114619530368635
1,2024-11-24,3.0488888888888885,3.889150315876428,2.0368572327350565,20.114619530368635
1,2024-11-25,2.4911111111111115,2.4587282800059382,0.8398344378991645,12.658545525685678
1,2024-11-26,1.3277777777777775,2.043983255117651,0.3568008645848609,2.8648261561747317
1,2024-11-27,1.2055555555555555,1.4511390293646818,0.8404944715264709,1.644050730241777
1,2024-11-28,6.344444444444445,5.315392060041172,1.1678223876765355,1.644050730241777
1,2024-11-29,3.4811111111111117,9.561014689114684,2.7752520657824102,32.98968696234428
1,2024-11-30,0.1277777777777777,19.353096407142395,3.132644685711875,36.26053628742263
2,2024-12-01,1.2999999999999998,2.1180553108925784,2.3094525515959403,2.6868606057988194
2,2024-12-02,4.964444444444444,3.793802596092549,2.5112804506054185,2.5112804506054185
2,2024-12-03,1.3133333333333337,2.082490172026867,1.2268169096348656,4.030957814742161
2,2024-12-04,3.395555555555556,3.688593467796044,1.8533346820178085,2.9153123725870267
2,2024-12-05,2.4222222222222216,3.363550472641147,2.005699476354087,4.483176806702811
2,2024-12-06,1.847777777777778,3.8890898428383713,2.0072547346279825,4.483176806702811
2,2024-12-07,0.4655555555555556,17.486837275883193,1.640290383576998,86.92256745902887
2,2024-12-08,1.1477777777777778,2.140577848278383,1.61426874357203,3.275317899905733
2,2024-12-09,0.3911111111111111,3.363539878241374,2.276843476956484,2.330826133336143
2,2024-12-10,0.0,1.8611697819901454,1.9840769770542304,2.439509608410578
2,2024-12-11,0.0,1.6179343683337541,0.022400740837620874,2.8550893195882012
2,2024-12-12,0.0,1.4034074047432776,0.022400740837620874,2.2052946108049176
2,2024-12-13,0.0,3.0090131203540187,0.022400740837620874,6.520494105317687
2,2024-12-14,0.0,8.781327913328544,0.022400740837620874,52.9372514389369
2,2024-12-15,2.306666666666667,2.6908159901307713,0.022400740837620874,14.860150024953873
2,2024-12-16,0.73,23.94261445848526,0.5171470703427302,116.66804350617846
2,2024-12-17,0.0,7.6546777079908965,0.9762373066289481,58.848758934120994
2,2024-12-18,0.4366666666666666,10.018489489789136,0.022400740837620874,99.2760197071359
2,2024-12-19,9.4,26.43603005839893,1.9176570956215007,97.59286247663778
2,2024-12-20,0.0,33.245550133776966,1.0328818309585885,152.4818069141152
2,2024-12-21,0.0,34.54957196043771,0.022400740837620874,131.78980236824617
2,2024-12-22,0.0,1.9116404040678445,0.0,6.899960335105816
2,2024-12-23,0.0,4.101904333098419,0.022400740837620874,44.558332920606695
2,2024-12-24,0.0,6.983170501480839,0.022400740837620874,58.71799542081808
2,2024-12-25,1.5233333333333332,10.018489489789136,0.022400740837620874,54.65977743578341
2,2024-12-26,0.2522222222222222,3.611393134628006,1.134934449177165,3.548044513189641
