model,N,MAE,RMSE,WAPE,bias,positive_N,positive_MAE,positive_RMSE,positive_WAPE,positive_bias,safety_pass
ZERO,4224,159.1597952178031,948.4832227323614,1.0,-159.1597952178031,2839,236.80555653399097,1156.9348723026847,1.0,-236.80555653399097,False
SEASONAL,4224,169.3269728175297,943.8194535587605,1.063880313403352,-115.57934126565603,2839,239.46124281135462,1150.1724513495033,1.0112146282217094,-184.4359994173797,False
LIGHTGBM,4224,157.51888513112004,945.837415392234,0.9896901721666735,-146.2931378574588,2839,230.12437918255108,1153.6788590134704,0.971786230655948,-221.90168108647217,False
HURDLE_LIGHTGBM,4224,155.7111105428202,945.1511379075844,0.978331935711129,-144.6147444740013,2839,229.00605571515024,1152.8395837843984,0.9670636916928882,-217.83311708902517,False
XGBOOST,4224,157.72138833377852,945.0848639347425,0.9909624985251068,-141.95167312678143,2839,229.40403661092006,1152.742797763,0.9687443148235059,-216.46387871468937,False
TFT,4224,182.1655855904766,939.9074184566655,1.1445452373269964,-91.24068568547573,2839,237.06304666315907,1145.3719728583458,1.0010873483415543,-169.72388178686654,False
DEEPAR,4224,182.83404410055851,939.7150803561296,1.1487451579738353,-89.13546497868627,2839,238.05880647204444,1145.0593285668524,1.0052923164320833,-166.59043845600416,False
NHITS,4224,156.91139148965152,946.501277134563,0.9858732934088364,-151.55497878557395,2839,231.64510931532203,1154.5063675192293,0.9782080822164821,-227.305911481632,False
CMABF,4224,172.13932437715548,940.9905773654272,1.0815503006999378,-107.70917309841965,2839,232.19578043757804,1147.2675197307558,0.980533496916694,-184.17620030804696,False
