namespace,wetbulb_c,rh_pct,segment,it_lower_kw,it_upper_kw,pcc_slope,pcc_intercept_kw
FORECAST_DAYAHEAD_GFS,-5.0,20.0,0,0.0,18.64389971646671,1.0000031181663562,4.982292247216603
FORECAST_DAYAHEAD_GFS,-5.0,20.0,1,18.64389971646671,37.28779943293342,1.0000750779862937,4.980950635550073
FORECAST_DAYAHEAD_GFS,-5.0,20.0,2,37.28779943293342,55.93169914940013,1.0017901600829675,4.9169989983182845
FORECAST_DAYAHEAD_GFS,-5.0,20.0,3,55.93169914940013,74.57559886586684,1.0350653855438219,3.055859098713313
FORECAST_DAYAHEAD_GFS,-5.0,20.0,4,74.57559886586684,93.21949858233354,1.1980360071636547,-9.097772606128302
FORECAST_DAYAHEAD_GFS,-5.0,20.0,5,93.21949858233354,111.86339829880026,1.2850051974884353,-17.204996920315892
FORECAST_DAYAHEAD_GFS,-5.0,20.0,6,111.86339829880026,130.50729801526697,1.2917692647018284,-17.96164846512754
FORECAST_DAYAHEAD_GFS,-5.0,20.0,7,130.50729801526697,149.15119773173367,1.2920621561614525,-17.999872938134814
FORECAST_DAYAHEAD_GFS,-5.0,20.0,8,149.15119773173367,167.79509744820038,1.292074337439071,-18.001689790281546
FORECAST_DAYAHEAD_GFS,-5.0,20.0,9,167.79509744820038,186.4389971646671,1.2920748431788749,-18.0017746509412
FORECAST_DAYAHEAD_GFS,-5.0,20.0,10,186.4389971646671,205.0828968811338,1.2920748641745654,-18.001778565356688
FORECAST_DAYAHEAD_GFS,-5.0,20.0,11,205.0828968811338,223.72679659760053,1.2920748650461926,-18.001778744112528
FORECAST_DAYAHEAD_GFS,-5.0,20.0,12,223.72679659760053,242.37069631406723,1.292074865082382,-18.00177875220902
FORECAST_DAYAHEAD_GFS,-5.0,20.0,13,242.37069631406723,261.01459603053394,1.292074865083879,-18.001778752571852
FORECAST_DAYAHEAD_GFS,-5.0,20.0,14,261.01459603053394,279.65849574700064,1.292074865083946,-18.00177875258936
