day,cutoff_fixed_aest,cohort_id,cutoff_known_queue_nodeh,bridge_service_nodeh,D_day_carryin_nodeh
2025-04-01,2025-03-31 18:00:00+10:00,N01_R00,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N01_R01,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N01_R02,144.0,144.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N02_R00,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N02_R01,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N02_R02,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N04_R00,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N04_R01,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N04_R02,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N08_R00,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N08_R01,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N08_R02,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N16_R00,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N16_R01,0.0,0.0,0.0
2025-04-01,2025-03-31 18:00:00+10:00,N16_R02,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N01_R00,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N01_R01,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N01_R02,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N02_R00,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N02_R01,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N02_R02,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N04_R00,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N04_R01,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N04_R02,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N08_R00,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N08_R01,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N08_R02,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N16_R00,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N16_R01,0.0,0.0,0.0
2025-04-02,2025-04-01 18:00:00+10:00,N16_R02,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N01_R00,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N01_R01,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N01_R02,168.0,168.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N02_R00,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N02_R01,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N02_R02,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N04_R00,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N04_R01,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N04_R02,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N08_R00,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N08_R01,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N08_R02,72.0,72.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N16_R00,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N16_R01,0.0,0.0,0.0
2025-04-03,2025-04-02 18:00:00+10:00,N16_R02,768.0,552.0,216.0
2025-04-04,2025-04-03 18:00:00+10:00,N01_R00,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N01_R01,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N01_R02,852.0,792.0,60.0
2025-04-04,2025-04-03 18:00:00+10:00,N02_R00,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N02_R01,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N02_R02,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N04_R00,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N04_R01,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N04_R02,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N08_R00,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N08_R01,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N08_R02,960.0,0.0,960.0
2025-04-04,2025-04-03 18:00:00+10:00,N16_R00,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N16_R01,0.0,0.0,0.0
2025-04-04,2025-04-03 18:00:00+10:00,N16_R02,0.0,0.0,0.0
