day,case,attribution_rule,carryin_queue_nodeh,carryin_scheduled_before_critical_nodeh,carryin_scheduled_at_critical_nodeh,carryin_scheduled_after_critical_nodeh,carryin_terminal_unserved_nodeh,carryin_conservation_error_nodeh
2025-04-01,B1,within-cohort FIFO diagnostic,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,B3,within-cohort FIFO diagnostic,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,B1,within-cohort FIFO diagnostic,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,B3,within-cohort FIFO diagnostic,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-03,B1,within-cohort FIFO diagnostic,216.0,202.0010051242824,0.31254077566074834,13.686454100056876,0.0,-1.0658141036401503e-14
2025-04-03,B3,within-cohort FIFO diagnostic,216.0,202.0342316303298,0.5135484900320884,13.452219879638049,0.0,6.394884621840902e-14
2025-04-04,B1,within-cohort FIFO diagnostic,1020.0,600.0935104112523,19.123671550092098,400.7828180386553,0.0,2.8421709430404007e-13
2025-04-04,B3,within-cohort FIFO diagnostic,1020.0,580.3546570510997,15.114131917003878,424.5312110318966,0.0,-1.7053025658242404e-13
