day,namespace,case,rho_max_AC,p95_loading,p99_loading,Vmin_pu,Vmax_pu,losses_kwh,critical_row_rho_max,critical_line,critical_phase,critical_slot,critical_timestamp_fixed_aest,convergence_count,clean_engine_count,physical_violation_observed
2025-04-01,ACT,B0,0.5750256311833789,0.40091256703325495,0.49247343286051715,0.9814582255627556,1.0514652455922273,805.6730655846025,0.5750256311833789,line.sw2,A,71,2025-04-01T17:45:00+10:00,96,1,True
2025-04-01,ACT,B1,0.5750256311833789,0.40091256703325495,0.49247359210120895,0.9814582255627556,1.0514652455922273,805.675364573777,0.5750256311833789,line.sw2,A,71,2025-04-01T17:45:00+10:00,96,1,True
2025-04-01,ACT,B2,0.5321683665349761,0.3999869680676023,0.48713350178485076,0.9763766876358474,1.0487040636184453,813.1026016903611,0.5321683665349761,line.sw2,A,65,2025-04-01T16:15:00+10:00,96,1,False
2025-04-01,ACT,B3,0.5456836316158886,0.40144173377188624,0.49118518059137284,0.9717971857025706,1.0449847480346013,832.6081148718273,0.5456836316158886,line.l10,A,25,2025-04-01T06:15:00+10:00,96,1,False
2025-04-01,ACT,R0,0.5750256311833789,0.4008197520881078,0.49242302695895596,0.9814878237265767,1.0515431027779831,804.7287905290867,0.5750256311833789,line.sw2,A,71,2025-04-01T17:45:00+10:00,96,1,True
2025-04-01,DA,B0,0.5670020672576839,0.39886195988756395,0.48838930456071344,0.9828624036878303,1.0481508720958777,810.3274327067343,0.5670020672576839,line.sw2,A,74,2025-04-01T18:30:00+10:00,96,1,False
2025-04-01,DA,B1,0.5670001801477947,0.3988630659468567,0.4885283491685194,0.9828600643603611,1.0481531204169237,810.3641502225769,0.5670001801477947,line.sw2,A,74,2025-04-01T18:30:00+10:00,96,1,False
2025-04-01,DA,B2,0.5160420928215893,0.40046626068007657,0.48398345178922075,0.976923076520526,1.0489499580211743,819.9836780626398,0.5160420928215893,line.sw2,A,91,2025-04-01T22:45:00+10:00,96,1,False
2025-04-01,DA,B3,0.5160262506807007,0.40125103545705815,0.4899680693648352,0.973616379255198,1.0436894280710667,838.9937252654233,0.5160262506807007,line.sw2,A,91,2025-04-01T22:45:00+10:00,96,1,False
2025-04-01,PI,B3,0.525378588899242,0.403727521836401,0.49481418517827386,0.9744502831815323,1.0452022766264981,833.7526576118619,0.525378588899242,line.sw2,A,90,2025-04-01T22:30:00+10:00,96,1,False
2025-04-02,ACT,B0,0.6084880709286737,0.41762111973091776,0.5128399134088139,0.9778159258858622,1.0512849911825004,856.2154399669749,0.6084880709286737,line.sw2,A,27,2025-04-02T06:45:00+10:00,96,1,True
2025-04-02,ACT,B1,0.6053389404501383,0.41703993947393153,0.5125760676184454,0.9780640854237448,1.0512717932504783,855.455628379359,0.6053389404501383,line.sw2,A,27,2025-04-02T06:45:00+10:00,96,1,True
2025-04-02,ACT,B2,0.5755330124622811,0.41506429060242783,0.5031371048770148,0.9732284330200642,1.0445261873213378,872.8993355576881,0.5755330124622811,line.sw2,A,69,2025-04-02T17:15:00+10:00,96,1,False
2025-04-02,ACT,B3,0.5798865560762766,0.41685816233789164,0.5080227847383831,0.9708632376531868,1.0445721468637292,886.149276361281,0.5798865560762766,line.sw2,A,67,2025-04-02T16:45:00+10:00,96,1,False
2025-04-02,ACT,R0,0.6002076327197357,0.4179646931919458,0.5151227148478844,0.9784569831794006,1.050907822751071,870.0909425205907,0.6002076327197357,line.sw2,A,27,2025-04-02T06:45:00+10:00,96,1,True
2025-04-02,DA,B0,0.5886030272080948,0.4126277711423069,0.5056676254867368,0.9799944954172372,1.0493773462242824,838.6024939394415,0.5886030272080948,line.sw2,A,74,2025-04-02T18:30:00+10:00,96,1,False
2025-04-02,DA,B1,0.5885862692436019,0.412508791688922,0.5056405445538555,0.9799858185241822,1.0493369238482912,838.4706086169917,0.5885862692436019,line.sw2,A,74,2025-04-02T18:30:00+10:00,96,1,False
2025-04-02,DA,B2,0.5384624785773713,0.41256936081451906,0.5029220182820333,0.9732594632708075,1.0458849652587336,855.2910872531963,0.5384624785773713,line.sw2,A,92,2025-04-02T23:00:00+10:00,96,1,False
2025-04-02,DA,B3,0.538444575635433,0.4140724787582965,0.508281283586421,0.9724458936917368,1.0433023649618043,867.2438607543229,0.538444575635433,line.sw2,A,92,2025-04-02T23:00:00+10:00,96,1,False
2025-04-02,PI,B3,0.5483572958962434,0.42123787402488416,0.5175034803060974,0.9734017635533151,1.0443731571821042,901.9999388873429,0.5483572958962434,line.sw2,A,86,2025-04-02T21:30:00+10:00,96,1,False
2025-04-03,ACT,B0,0.591599608741225,0.4196683012075852,0.509006127062741,0.9793398200473199,1.0521472814679422,882.6157424349454,0.591599608741225,line.sw2,A,75,2025-04-03T18:45:00+10:00,96,1,True
2025-04-03,ACT,B1,0.5915976857039885,0.41925767805563013,0.5089916556981934,0.9793139705619908,1.0522144304724135,880.3364235047852,0.5915976857039885,line.sw2,A,75,2025-04-03T18:45:00+10:00,96,1,True
2025-04-03,ACT,B2,0.5452204077266383,0.41714422739393514,0.49811262121976724,0.9739739075355305,1.0468481576082942,892.2405153908865,0.5452204077266383,line.sw2,A,71,2025-04-03T17:45:00+10:00,96,1,False
2025-04-03,ACT,B3,0.5492963503109877,0.41778148089843503,0.4996412879297908,0.9734525545946592,1.0472180744891508,907.0836854793627,0.5492963503109877,line.l10,A,67,2025-04-03T16:45:00+10:00,96,1,False
2025-04-03,ACT,R0,0.5938670617050575,0.41882315947064047,0.510415676806068,0.979155675899112,1.0521267394394693,885.8496680975278,0.5938670617050575,line.sw2,A,27,2025-04-03T06:45:00+10:00,96,1,True
2025-04-03,DA,B0,0.5780204484899504,0.41505395953587176,0.5015448020831869,0.9797990623786055,1.04848357453739,867.7742688028334,0.5780204484899504,line.sw2,A,27,2025-04-03T06:45:00+10:00,96,1,False
2025-04-03,DA,B1,0.5778030764642949,0.4144406207008676,0.5021472200252396,0.9797351115245501,1.048481248967482,867.7962192989804,0.5778030764642949,line.sw2,A,27,2025-04-03T06:45:00+10:00,96,1,False
2025-04-03,DA,B2,0.5224736165672754,0.41361351924571466,0.492168427962511,0.9748150562595582,1.0478164606599631,878.4420112650175,0.5224736165672754,line.sw2,A,1,2025-04-03T00:15:00+10:00,96,1,False
2025-04-03,DA,B3,0.5222702230309728,0.4154782592835508,0.4976210792311767,0.9737119506474005,1.048494943647108,894.588183601154,0.5222702230309728,line.sw2,A,91,2025-04-03T22:45:00+10:00,96,1,False
2025-04-03,PI,B3,0.5446435028987174,0.4215459203954685,0.5129306933771172,0.9730636825017918,1.0436933020890116,919.2817437782102,0.5446435028987174,line.sw2,A,93,2025-04-03T23:15:00+10:00,96,1,False
2025-04-04,ACT,B0,0.6172071708202275,0.4293146718016341,0.5186484194046425,0.9768647665134366,1.0502648153586382,940.6555719293631,0.6172071708202275,line.sw2,A,27,2025-04-04T06:45:00+10:00,96,1,True
2025-04-04,ACT,B1,0.6160793428388971,0.42916294070816885,0.5185588904189266,0.9769407269052677,1.050213873961421,939.3847379999892,0.6160793428388971,line.sw2,A,27,2025-04-04T06:45:00+10:00,96,1,True
2025-04-04,ACT,B2,0.5605160725345667,0.4299542515192187,0.5059149986233316,0.9724796056383483,1.047377030077589,957.7191858309096,0.5605160725345667,line.sw2,A,63,2025-04-04T15:45:00+10:00,96,1,False
2025-04-04,ACT,B3,0.564225250566106,0.42972165702105464,0.5076192524456843,0.9698174444456686,1.0455184509166633,968.0670230197244,0.564225250566106,line.l10,A,34,2025-04-04T08:30:00+10:00,96,1,False
2025-04-04,ACT,R0,0.6147195004620514,0.42802345318061313,0.5179477387178586,0.9770774896584546,1.0502681768755169,933.8010479902492,0.6147195004620514,line.sw2,A,27,2025-04-04T06:45:00+10:00,96,1,True
2025-04-04,DA,B0,0.588742276047441,0.42339100714101763,0.5094201580966633,0.9782349362121326,1.0487749086652518,917.6160313245989,0.588742276047441,line.sw2,A,29,2025-04-04T07:15:00+10:00,96,1,False
2025-04-04,DA,B1,0.5863506883285913,0.4235504263736273,0.5106583479957413,0.9784110908138166,1.0486728083877397,917.6775122589943,0.5863506883285913,line.sw2,A,27,2025-04-04T06:45:00+10:00,96,1,False
2025-04-04,DA,B2,0.5321489669855278,0.4252537382439333,0.5056754960031516,0.974057860782635,1.0474158761669712,935.7958931952217,0.5321489669855278,line.sw2,A,93,2025-04-04T23:15:00+10:00,96,1,False
2025-04-04,DA,B3,0.530033691367559,0.4265160100030596,0.5054211374972196,0.9719013799677831,1.0477438836025512,946.2753391771159,0.530033691367559,line.sw2,A,91,2025-04-04T22:45:00+10:00,96,1,False
2025-04-04,PI,B3,0.5523460172656359,0.43463621560412324,0.5182738430388591,0.9740163736030043,1.0499429133408384,967.4687362605288,0.5523460172656359,line.sw2,A,85,2025-04-04T21:15:00+10:00,96,1,False
