namespace,production_authority,day,critical_line,critical_phase,critical_slot,rho_AIDC,maximum_baseline_critical_row_relief_pu,maximum_sensitivity_weighted_relief_pu,critical_time_aggregate_downshift_kw_at_relief_optimum,critical_time_L1_action_kw_at_relief_optimum,per_site_downshift_kw_at_relief_optimum,runtime_bound_C_seconds,status
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-01,line.sw2,A,74,0.1,3.4736234112778264e-06,3.473623411250775e-06,-2.0116891338945457,2.059658476192812,"{""AIDC01"": -2.035673805043679, ""AIDC02"": 0.00301946843251244, ""AIDC03"": 0.0031138275907309776, ""AIDC04"": 0.001368196139122091, ""AIDC05"": 0.002123062980150081, ""AIDC06"": 0.002736392486411887, ""AIDC07"": 0.0008492251897607161, ""AIDC08"": 0.0025004964444619304, ""AIDC09"": 0.006103759734372716, ""AIDC10"": 0.000707687658133338, ""AIDC11"": 0.00047179177208711565, ""AIDC12"": 0.0009907627213898706}",0.245803999947384,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-01,line.sw2,A,74,1.0,3.4661986929293565e-05,3.466198692925968e-05,-5.611797303650002,6.09149072663252,"{""AIDC01"": -5.851644015141261, ""AIDC02"": 0.030194684325024923, ""AIDC03"": 0.031138275907295565, ""AIDC04"": 0.013681961391231567, ""AIDC05"": 0.02123062980149726, ""AIDC06"": 0.027363924864125977, ""AIDC07"": 0.008492251897610714, ""AIDC08"": 0.025004964444633515, ""AIDC09"": 0.061037597343712946, ""AIDC10"": 0.007076876581329827, ""AIDC11"": 0.004717917720880038, ""AIDC12"": 0.00990762721391647}",0.21222100011073053,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-02,line.sw2,A,74,0.1,2.0053009690747248e-05,2.0053009690703073e-05,-1.8896181272768295,2.1655647358836454,"{""AIDC01"": -2.0275914315802375, ""AIDC02"": 0.017388138535054054, ""AIDC03"": 0.017931522656823518, ""AIDC04"": 0.007878997114396213, ""AIDC05"": 0.012226030044907077, ""AIDC06"": 0.015757995601632047, ""AIDC07"": 0.004890412001733679, ""AIDC08"": 0.014399546804263252, ""AIDC09"": 0.035002941984600966, ""AIDC10"": 0.004075343334768888, ""AIDC11"": 0.0027168955565084474, ""AIDC12"": 0.005705480668719787}",0.2425109997857362,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-02,line.sw2,A,74,1.0,0.00020029907325523622,0.0002002990732551825,-4.972556184373525,7.732022270441169,"{""AIDC01"": -6.352289227407347, ""AIDC02"": 0.1738813853504695, ""AIDC03"": 0.1793152265680149, ""AIDC04"": 0.07878997114391595, ""AIDC05"": 0.12226030044907077, ""AIDC06"": 0.15757995601632757, ""AIDC07"": 0.0489041200173439, ""AIDC08"": 0.1439954680427178, ""AIDC09"": 0.35002941984600966, ""AIDC10"": 0.04075343334768533, ""AIDC11"": 0.027168955565075592, ""AIDC12"": 0.05705480668719076}",0.20037239999510348,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-03,line.sw2,A,27,0.1,0.0002154776599786884,0.00021547765997868674,-0.4815385721836716,3.3848221749417124,"{""AIDC01"": -1.933180373562692, ""AIDC02"": 0.18523006101854378, ""AIDC03"": 0.1910185275714369, ""AIDC04"": 0.08393234980261965, ""AIDC05"": 0.13023985366838176, ""AIDC06"": 0.1678647112106546, ""AIDC07"": 0.052095941249966415, ""AIDC08"": 0.15339360837631943, ""AIDC09"": 0.354732676397731, ""AIDC10"": 0.04341328437466174, ""AIDC11"": 0.02894218958294381, ""AIDC12"": 0.06077859812576136}",0.2926749000325799,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-03,line.sw2,A,27,1.0,0.0021545606772121126,0.0021545606772121104,6.9947639113916615,22.038072116188896,"{""AIDC01"": -7.521654102398617, ""AIDC02"": 1.8523006101853738, ""AIDC03"": 1.9101852757143334, ""AIDC04"": 0.8393234980261859, ""AIDC05"": 1.3023985366838424, ""AIDC06"": 1.6786471121065176, ""AIDC07"": 0.5209594124996713, ""AIDC08"": 1.5339360837632086, ""AIDC09"": 3.547326763977509, ""AIDC10"": 0.43413284374659433, ""AIDC11"": 0.2894218958294328, ""AIDC12"": 0.6077859812576101}",0.1920769999269396,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-04,line.sw2,A,29,0.1,0.00013556869135426808,0.00013556869135423466,-1.0644932760303618,2.879596899467188,"{""AIDC01"": -1.972045087748775, ""AIDC02"": 0.11613724293238192, ""AIDC03"": 0.11976655648819445, ""AIDC04"": 0.052624665620289335, ""AIDC05"": 0.08165896474162437, ""AIDC06"": 0.10524934520786644, ""AIDC07"": 0.03266358554178517, ""AIDC08"": 0.09617611784467783, ""AIDC09"": 0.2198017258457554, ""AIDC10"": 0.027219654617297806, ""AIDC11"": 0.01814643641104219, ""AIDC12"": 0.038107516467498215}",0.23777710017748177,OPTIMAL
FORENSIC_ONLY_V29_CRITICAL_TIME_FLEXIBILITY_BOUND,False,2025-04-04,line.sw2,A,29,1.0,0.0013554612360610271,0.0013554612360610083,1.6802573292525285,16.47077890511549,"{""AIDC01"": -7.3952607879314805, ""AIDC02"": 1.16137242932367, ""AIDC03"": 1.1976655648819303, ""AIDC04"": 0.5262466562028933, ""AIDC05"": 0.8165896474161407, ""AIDC06"": 1.0524934520786289, ""AIDC07"": 0.3266358554179387, ""AIDC08"": 0.9617611784468636, ""AIDC09"": 2.1980172584575683, ""AIDC10"": 0.2721965461729532, ""AIDC11"": 0.181464364110429, ""AIDC12"": 0.3810751646749928}",0.18920530006289482,OPTIMAL
