day,B3_CL_MC_BD,B3_MONOLITHIC,B3_STANDARD_BD,B3_absolute_solver_spread,B3_relative_solver_range,equivalence_tolerance,equivalence_status,operational_B2_minus_B3_increment,increment_resolution_status,all_solver_improvement_signs_identical
2025-04-01,0.5089620108067846,0.5089620108067844,0.5089620108067846,2.220446049250313e-16,4.3626950579878426e-16,0.0001,PASS,3.463194719444118e-06,STRONGLY_RESOLVED,True
2025-04-02,0.5313688854777244,0.531368886401971,0.5313688695725819,1.6829389104522363e-08,3.167176237675164e-08,0.0001,PASS,2.002012943780329e-05,STRONGLY_RESOLVED,True
2025-04-03,0.515276141204043,0.5152761559793024,0.515276141204043,1.477525946036451e-08,2.8674448233071356e-08,0.0001,PASS,5.763627992805276e-05,STRONGLY_RESOLVED,True
2025-04-04,0.5225735535005374,0.5225735876489969,0.5225735535005375,3.414845950455714e-08,6.534670008522137e-08,0.0001,PASS,0.002370733175680262,STRONGLY_RESOLVED,True
