day,case,executed_workload_nodeh,missed_workload_nodeh,terminal_backlog_nodeh,MESS_missed_command_count,terminal_MESS_soc_kwh,terminal_MESS_soc_error_from_DA_target_kwh,actual_rho_max_AC,actual_optimizer_calls,workload_mass_error_nodeh
2025-04-01,R0,0.0,0.0,1.0775000000000001,0,"[750.0, 750.0, 750.0, 750.0]",10.0,0.5750256311833789,0,0.0
2025-04-01,B0,0.38538875313713594,119.02817639369236,0.6921112468628634,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5750256311833789,0,7.771561172376096e-16
2025-04-01,B1,0.4216320182733594,118.99193312855613,0.6558679817266408,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5750256311833789,0,-1.1102230246251565e-16
2025-04-01,B2,0.38538875313713594,119.02817639369236,0.6921112468628634,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5321683665349761,0,7.771561172376096e-16
2025-04-01,B3,0.45675153936498536,118.95681360746447,0.6207484606350148,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5456836316158886,0,0.0
2025-04-02,R0,0.0,0.0,506.44250000000005,0,"[750.0, 750.0, 750.0, 750.0]",10.0,0.6002076327197357,0,0.0
2025-04-02,B0,154.7289666721492,24.635209363905606,351.71353332785117,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.6084880709286737,0,-2.8421709430404007e-13
2025-04-02,B1,145.2578031944199,34.10637284163489,361.1846968055799,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.6053389404501383,0,2.8421709430404007e-13
2025-04-02,B2,154.7289666721492,24.635209363905606,351.71353332785117,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5755330124622811,0,-2.8421709430404007e-13
2025-04-02,B3,144.96697937132402,34.397196664730764,361.47552062867555,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5798865560762766,0,4.547473508864641e-13
2025-04-03,R0,0.0,0.0,179.76527777777778,0,"[750.0, 750.0, 750.0, 750.0]",10.0,0.5938670617050575,0,0.0
2025-04-03,B0,175.80044999929254,142.25672626712796,219.96482777848502,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.591599608741225,0,2.2737367544323206e-13
2025-04-03,B1,130.22913179240166,187.82804447401878,265.53614598537604,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5915976857039885,0,1.1368683772161603e-13
2025-04-03,B2,175.80044999929254,142.25672626712796,219.96482777848502,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5452204077266383,0,2.2737367544323206e-13
2025-04-03,B3,126.63842312443803,191.41875314198245,269.1268546533398,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5492963503109877,0,-5.684341886080802e-14
2025-04-04,R0,0.0,0.0,54.218611111111116,0,"[750.0, 750.0, 750.0, 750.0]",10.0,0.6147195004620514,0,0.0
2025-04-04,B0,174.9767821808962,971.2984360406107,899.2418289302146,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.6172071708202275,0,3.410605131648481e-13
2025-04-04,B1,156.13330948767359,990.1419087338326,918.0853016234363,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.6160793428388971,0,1.2505552149377763e-12
2025-04-04,B2,174.9767821808962,971.2984360406107,899.2418289302146,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.5605160725345667,0,3.410605131648481e-13
2025-04-04,B3,149.87765439209858,996.3975638294079,924.3409567190128,0,"[760.0, 760.0, 760.0, 760.0]",0.0,0.564225250566106,0,-1.1368683772161603e-13
