day,changed_jobs,NEW_POST_MIDNIGHT_START_JOBS,NEW_POST_MIDNIGHT_COMPLETION_JOBS,POST_MIDNIGHT_GPU_H_BEFORE,POST_MIDNIGHT_GPU_H_AFTER,INCREMENTAL_POST_MIDNIGHT_GPU_H_FROM_REPAIR,IN_DOMAIN_GRID_GPU_H_BEFORE,IN_DOMAIN_GRID_GPU_H,PRE_DOMAIN_GPU_H_BEFORE,PRE_DOMAIN_GPU_H_AFTER,OUT_OF_DOMAIN_RESERVATION_GPU_H_BEFORE,OUT_OF_DOMAIN_RESERVATION_GPU_H,INCREMENTAL_OUT_OF_DOMAIN_GPU_H_DUE_TO_REPAIR,CHANGED_JOB_POST_MIDNIGHT_GPU_H_BEFORE,CHANGED_JOB_POST_MIDNIGHT_GPU_H_AFTER,in_domain_planning_grid_certificate_status,OUT_OF_DOMAIN_GRID_CERTIFICATION,passing_witness_removes_in_day_load_and_adds_post_horizon_work,D_PLUS_1_EXPECTED_CARRY_GPU_H,D_PLUS_1_TIME_MATCHED_GPU_H,D_PLUS_1_OMITTED_CARRY_GPU_H,D_PLUS_1_SITE_MISMATCH_JOB_COUNT,CHANGED_JOB_POST_GPU_H_BEYOND_AVAILABLE_MAY_AUTHORITY,CLASSIFICATION
2025-05-17,62,0,0,8233.75,8233.75,0.0,10131.0,10133.5,3742.0,3739.5,11975.75,11973.25,-2.5,0.0,0.0,PASS,False,False,0.0,0.0,0.0,0,0.0,NO_INCREMENTAL_HORIZON_ESCAPE
2025-05-23,1,0,0,111913.75,111913.75,0.0,14932.0,14932.0,3727.25,3727.25,115641.0,115641.0,0.0,0.0,0.0,PASS,False,False,0.0,0.0,0.0,0,0.0,NO_INCREMENTAL_HORIZON_ESCAPE
2025-05-24,9,0,0,96246.5,96251.0,4.5,14903.5,14899.0,3618.0,3618.0,99864.5,99869.0,4.5,30.0,34.5,PASS,False,True,34.5,0.0,34.5,0,0.0,TERMINAL_STATE_INCONSISTENCY_FOUND
2025-05-25,15,3,2,86917.5,88309.5,1392.0,14449.0,13057.0,3735.75,3735.75,90653.25,92045.25,1392.0,7824.0,9216.0,PASS,False,True,1144.0,88.0,1056.0,1,888.0,TERMINAL_STATE_INCONSISTENCY_FOUND
2025-05-26,8,1,0,67655.75,68047.75,392.0,14686.75,14297.75,3713.5,3710.5,71369.25,71758.25,389.0,3728.0,4120.0,PASS,False,True,1536.0,0.0,1536.0,0,24.0,TERMINAL_STATE_INCONSISTENCY_FOUND
