case,stage,mess_id,parent_beam_count,cheap_score_evaluations,restricted_candidate_state_solves,restricted_solver_calls,full_MILP_child_solves,cheap_screen_wallclock_seconds,restricted_wallclock_seconds,full_MILP_wallclock_seconds,beam_width,K,seed_width
B2,1,MESS01,1,2209,201,201,2,10.990604900056496,89.10721220006235,126.3672272998374,2,200,2
B2,2,MESS02,2,4418,402,402,4,12.170279100071639,130.4579540998675,210.98169759986922,2,200,2
B2,3,MESS03,2,4418,402,402,4,11.095644000219181,145.51246929983608,205.70829940005206,2,200,2
B2,4,MESS04,2,4418,402,402,4,11.524677800014615,157.22434540023096,202.40177110000513,2,200,2
B3,1,MESS01,1,2209,201,201,2,5.499054900137708,50.29821330006234,114.54347740020603,2,200,2
B3,2,MESS02,2,4418,402,402,4,12.150088799884543,124.93496129987761,200.02293630014174,2,200,2
B3,3,MESS03,2,4418,402,404,4,11.512866999953985,131.40520369983278,213.74275629990734,2,200,2
B3,4,MESS04,2,4418,402,402,4,12.47101920004934,127.97659289999865,194.79142649983987,2,200,2
