issue_time,target_day,role,horizon,base_family,candidate,eligible_residual_days,eligible_residual_rows,order_statistic_k,q85_residual,delta,negative_q85_floored,base_upper_min,base_upper_mean,base_upper_max,final_upper_min,final_upper_mean,final_upper_max,library_first_day,library_last_day,latest_included_availability_ns,membership_SHA256,status
2024-11-03 08:00:00+00:00,2024-11-04,CALIBRATION,H24,B2_L0,R85_B2,58,58,51,0.5405230265548937,0.5405230265548937,False,5138.006488936954,5138.006488936954,5138.006488936954,8822.183952723804,8822.183952723804,8822.183952723804,2024-09-01,2024-10-29,1730346957000000000,e9ee08aa99b236d32f591136efa3f5c1e98e7c7321637a32bfa3eb43e69a7098,SUPPORTED
2024-11-03 08:00:00+00:00,2024-11-04,CALIBRATION,H4,B1,R85_B1,58,4698,3995,0.4000629181033002,0.4000629181033002,False,465.3847499999999,953.5408772290806,1722.9165555555553,694.8080661998213,1423.0972542379386,2570.94311094213,2024-09-01,2024-10-29,1730346957000000000,7f00a62279d66cac4dcb82f530fd17b098ffaf853bb2489bdaa2afc018898204,SUPPORTED
2024-11-03 08:00:00+00:00,2024-11-04,CALIBRATION,H4,B2_L0,R85_B2,58,4698,3995,0.8584141618529131,0.8584141618529131,False,167.2414006134977,364.27361817711653,530.9638635740004,395.95146480127414,860.8324458779795,1254.1240901289984,2024-09-01,2024-10-29,1730346957000000000,7f00a62279d66cac4dcb82f530fd17b098ffaf853bb2489bdaa2afc018898204,SUPPORTED
2024-11-04 08:00:00+00:00,2024-11-05,CALIBRATION,H24,B1,R85_B1,58,58,51,0.5135286404127459,0.5135286404127459,False,7929.739694444444,7929.739694444444,7929.739694444444,13252.676023598446,13252.676023598446,13252.676023598446,2024-09-01,2024-10-29,1730346957000000000,e9ee08aa99b236d32f591136efa3f5c1e98e7c7321637a32bfa3eb43e69a7098,SUPPORTED
2024-11-04 08:00:00+00:00,2024-11-05,CALIBRATION,H24,B2_L0,R85_B2,58,58,51,0.5405230265548937,0.5405230265548937,False,6226.129657866675,6226.129657866675,6226.129657866675,10690.387642163721,10690.387642163721,10690.387642163721,2024-09-01,2024-10-29,1730346957000000000,e9ee08aa99b236d32f591136efa3f5c1e98e7c7321637a32bfa3eb43e69a7098,SUPPORTED
2024-11-04 08:00:00+00:00,2024-11-05,CALIBRATION,H4,B1,R85_B1,58,4698,3995,0.4000629181033002,0.4000629181033002,False,294.2104166666666,1597.4918058984908,2622.731444444444,439.42990072655,2383.8195986221435,3913.393647276318,2024-09-01,2024-10-29,1730346957000000000,7f00a62279d66cac4dcb82f530fd17b098ffaf853bb2489bdaa2afc018898204,SUPPORTED
2024-11-04 08:00:00+00:00,2024-11-05,CALIBRATION,H4,B2_L0,R85_B2,58,4698,3995,0.8584141618529131,0.8584141618529131,False,298.93409946408315,720.6603083125597,1241.0115387734443,706.6693352050409,1701.6969308922125,2929.4219878008394,2024-09-01,2024-10-29,1730346957000000000,7f00a62279d66cac4dcb82f530fd17b098ffaf853bb2489bdaa2afc018898204,SUPPORTED
2024-11-05 08:00:00+00:00,2024-11-06,CALIBRATION,H24,B1,R85_B1,59,59,51,0.48659029433054,0.48659029433054,False,7315.628777777778,7315.628777777778,7315.628777777778,11901.398884500266,11901.398884500266,11901.398884500266,2024-09-01,2024-11-01,1730767592000000000,83f19eb4492b49ce0379a6ce3ddff0bcb05705b536031a787f0b77e0d62ff8fb,SUPPORTED
2024-11-05 08:00:00+00:00,2024-11-06,CALIBRATION,H24,B2_L0,R85_B2,59,59,51,0.5007582737468184,0.5007582737468184,False,9286.625217311583,9286.625217311583,9286.625217311583,15323.320875811869,15323.320875811869,15323.320875811869,2024-09-01,2024-11-01,1730767592000000000,83f19eb4492b49ce0379a6ce3ddff0bcb05705b536031a787f0b77e0d62ff8fb,SUPPORTED
2024-11-05 08:00:00+00:00,2024-11-06,CALIBRATION,H4,B1,R85_B1,59,4779,4063,0.37226681400203177,0.37226681400203177,False,397.7237222222221,1847.9729886831271,5198.926361111111,577.556128163692,2681.8969378841257,7544.1975755384165,2024-09-01,2024-11-01,1730767592000000000,ed7fefb00eb8525584f2ba89a53ab212203a05bf0eba8d83d22d0f7685fd10ba,SUPPORTED
