role,resolution,method,reference_resolution,reference_method,contrast,metric,delta,CI95_low,CI95_high,nonfinite_draws,draws,block_observed_days,N_days
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.029356060606060663,-0.04924242424242431,-0.010890151515151492,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.029356060606060663,0.010890151515151492,0.04924242424242431,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.26545074659501844,-0.32025027282212987,-0.2155574683496011,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-2.220446049250313e-16,-4.440892098500626e-16,4.440892098500626e-16,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.025429161234245982,0.0,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.013067800402774665,-0.034709747216587164,0.007296610496255414,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.05623715975180221,-0.06537176046789128,-0.04754337466736602,0,2000,1,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.029356060606060663,-0.04783380681818184,-0.010890151515151492,0,2000,7,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.029356060606060663,0.010890151515151492,0.04783380681818178,0,2000,7,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.26545074659501844,-0.3192538922421621,-0.210796373913392,0,2000,7,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-2.220446049250313e-16,-4.440892098500626e-16,4.440892098500626e-16,0,2000,7,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.02459016393442623,0.0,0,2000,7,88
