role,resolution,method,block,start_hour,end_hour,duration,Q90_coverage,calibration_error,normalized_Q90_pinball,requirement_ratio,high_load_coverage,positive_coverage,normalized_Q50_pinball,N_days,N_targets,actual_primary_GPUh,predicted_primary_GPUh,N_high_load,N_positive,Q90_pinball_GPUh,Q50_pinball_GPUh,prefix_downward_pairs_Q50,prefix_downward_pairs_Q90,max_prefix_drop_GPUh
DEVELOPMENT,H1,AGGREGATED_H1,0,0,0,1,0.8448275862068966,0.05517241379310345,0.4281775974719868,1.924118236146581,0.0,0.7857142857142857,0.43980366378360497,58,58,7936.8711111111115,15271.478442833864,2,42,63.658375262505615,65.38685544563852,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,1,1,1,1,0.8448275862068966,0.05517241379310345,0.9936820942684966,1.2889955120818055,0.0,0.7954545454545454,0.7302506810383529,58,58,13381.156111111119,17248.250173688273,3,44,147.73352931598654,108.56843553633404,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,2,2,2,1,0.8275862068965517,0.07241379310344831,1.6990285060529453,0.9937780722909492,0.0,0.7674418604651163,1.2199797846658398,58,58,21696.239166666663,21561.246735013392,9,43,252.59937665722646,181.3778474246538,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,3,3,3,1,0.8275862068965517,0.07241379310344831,2.0738255891567787,0.7619055262364237,0.0,0.7777777777777778,1.4725517944458895,58,58,26344.10722222223,20071.72087637599,7,45,308.3215197688294,218.9284429586379,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,4,4,4,1,0.7758620689655172,0.12413793103448278,1.4142748170681414,1.0378930210095076,0.0,0.723404255319149,1.093208499651533,58,58,19776.53027777778,20525.922755088777,6,47,210.26423979392206,162.5304016881244,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,5,5,5,1,0.7586206896551724,0.14137931034482765,2.6660077317863506,0.698808013483929,0.0,0.6956521739130435,1.745408214061204,58,58,31189.699166666673,21795.611715819698,7,46,396.36291493251315,259.49477911262545,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,6,6,6,1,0.7068965517241379,0.19310344827586212,2.933843576754792,0.6010743636341183,0.0,0.6530612244897959,1.9719111979173962,58,58,35323.256944444445,21231.904189366393,6,49,436.1828280443074,293.16961878085004,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,7,7,7,1,0.8103448275862069,0.08965517241379317,1.2825429281334935,1.3935968298131938,0.0,0.78,0.9105314092153522,58,58,16341.060277777779,22772.84979889743,5,50,190.67928703284457,135.37128163255002,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,8,8,8,1,0.7931034482758621,0.10689655172413792,1.3564158108716837,1.2036659013045055,0.0,0.75,1.072006375255103,58,58,19930.516388888886,23989.68297269616,3,48,201.66217758768823,159.37822184695798,0,0,0.0
DEVELOPMENT,H1,AGGREGATED_H1,9,9,9,1,0.7413793103448276,0.1586206896551724,1.4853271919949407,1.0637993289441272,0.0,0.6875,1.1036191321863773,58,58,19820.13916666667,21084.650745079227,5,48,220.8277974697258,164.07817989169217,0,0,0.0
