resolution,method,role,eligible_at_freeze,point_gate,ratio_under_2,high_load_gain,normalized_pinball_delta,preferred_coverage,directional_7day_CI,robust_five_pp_gain,direct_cum_prefix_coherent
H3,AGGREGATED_H1,EXPOSED_EVALUATION,False,False,True,-0.007575757575757576,-0.26545074659501844,False,False,False,True
H3,AGGREGATED_H1,MAY_HISTORICAL,False,True,True,0.08882655446470313,-0.4319568276574419,False,True,False,True
H6,AGGREGATED_H1,EXPOSED_EVALUATION,False,False,True,-0.007575757575757576,-0.4228478504450567,False,False,False,True
H6,AGGREGATED_H1,MAY_HISTORICAL,False,True,True,0.21325051759834368,-0.7126143675711676,False,True,True,True
CUM,DIRECT,EXPOSED_EVALUATION,False,True,True,0.052863802863802864,-0.31880459699004415,False,True,False,False
CUM,DIRECT,MAY_HISTORICAL,False,False,True,0.013250517598343683,-0.43036265093383785,False,False,False,False
