count,total,mean,median,max,top1,top3,top1_share,top3_share,day,slot,hour_AEST,weekday,train,training_tail_exceedances,classification,job_count_percentile,max_severity_percentile,total_severity_percentile,R3_CMABF_Q90,R3_CMABF_miss
7,485.51111111111106,69.35873015873015,2.026666666666667,384.19555555555553,384.19555555555553,482.37777777777774,0.7913218601244966,0.9935463200292933,2024-03-29,10,5.0,4,True,2,SEVERITY_DRIVEN,68.27594810379242,99.30379746835443,97.21806387225548,5020.524243774413,False
5,851.5433333333333,170.30866666666665,29.12,757.6,757.6,846.87,0.8896787401698094,0.9945119254060275,2024-03-30,1,0.5,5,True,4,SEVERITY_DRIVEN,64.35878243512974,99.57805907172995,98.32834331337325,5020.361997070311,False
13,596.0844444444443,45.852649572649575,2.097777777777778,192.01888888888888,192.01888888888888,576.0566666666666,0.32213370216002213,0.9664011064800663,2024-04-02,6,3.0,1,True,5,SEVERITY_DRIVEN,74.27644710578842,96.70886075949367,97.71706586826348,5019.752561035155,False
74,488.7527777777779,6.604767267267268,0.09166666666666667,216.14666666666668,216.14666666666668,416.7066666666667,0.442241305818097,0.8525919147944597,2024-04-06,27,13.5,5,True,6,SEVERITY_DRIVEN,84.21906187624751,98.41772151898734,97.24301397205589,5020.2555670166,False
35,443.2011111111112,12.662888888888888,10.45111111111111,32.022222222222226,32.022222222222226,92.28,0.07225212532058434,0.20821247439712592,2024-04-22,39,19.5,0,True,31,UNRESOLVED,79.92764471057885,80.48523206751055,97.08083832335329,5019.3776983642565,False
14,591.0822222222222,42.22015873015873,43.95,52.88666666666666,52.88666666666666,154.64,0.0894742976160489,0.2616218085846301,2024-04-22,40,20.0,0,True,14,UNRESOLVED,74.92514970059881,87.55274261603375,97.70459081836327,5019.379971923827,False
121,692.5613888888886,5.723647842056933,0.15555555555555556,192.0222222222222,192.0222222222222,576.0488888888889,0.27726382859762544,0.8317658161871735,2024-04-24,4,2.0,2,True,25,SEVERITY_DRIVEN,87.6497005988024,96.94092827004219,98.05389221556887,5019.7561163330065,False
11,936.7377777777779,85.15797979797979,46.044444444444444,249.8488888888889,249.8488888888889,642.0977777777778,0.26672233661975836,0.6854616019661615,2024-04-25,31,15.5,3,True,10,SEVERITY_DRIVEN,72.80439121756487,98.73417721518987,98.45309381237524,5019.806973876952,False
17,577.6191666666667,33.977598039215685,0.058888888888888886,192.0288888888889,192.0288888888889,576.0611111111111,0.3324489559393468,0.9973026249032787,2024-04-26,17,8.5,4,True,3,SEVERITY_DRIVEN,76.04790419161677,97.23628691983123,97.64221556886227,5020.562436523436,False
6,486.35555555555555,81.05925925925926,93.80000000000001,164.19555555555556,164.19555555555556,383.3688888888889,0.33760394772914193,0.7882481951932742,2024-04-26,25,12.5,4,True,6,SEVERITY_DRIVEN,66.56686626746507,95.35864978902954,97.23053892215569,5020.245099487303,False
