mess_id,horizon_step,departure_step,slot,source_service_id,destination_service_id,safe_total_duration_steps,safe_energy_kWh,safe_eta_sec,template_id
MESS01,3,154,1308,STA07,STA12,6,38.623687744140625,1051.1427001953125,8592
MESS01,12,163,1614,STA12,IDC10,9,41.842445373535156,1964.4173583984375,3594
MESS01,22,173,688,IDC10,STA12,9,62.251976013183594,2009.920166015625,269
MESS01,31,182,1634,STA12,STA04,10,54.190399169921875,2206.36474609375,1639
MESS01,44,195,1053,STA04,IDC07,8,34.316917419433594,1640.29052734375,3751
MESS02,5,156,1614,STA12,IDC10,9,42.49201583862305,2063.130859375,3594
MESS02,15,166,688,IDC10,STA12,9,61.965511322021484,2036.048828125,269
MESS02,25,176,1634,STA12,STA04,10,53.35382080078125,2212.4716796875,1639
MESS02,37,188,1068,STA04,IDC12,6,24.896520614624023,1127.838134765625,3213
MESS02,44,195,803,IDC12,STA04,6,36.15580749511719,1138.010498046875,3198
MESS03,4,155,1641,STA12,STA07,6,26.783477783203125,1107.33984375,6326
MESS03,12,163,1308,STA07,STA12,6,38.41035461425781,1074.96435546875,8531
MESS03,18,169,1641,STA12,STA07,6,26.44173240661621,981.15234375,2782
MESS03,24,175,1249,STA07,IDC03,6,39.550140380859375,1195.363525390625,2725
MESS03,31,182,191,IDC03,STA07,6,44.41063690185547,1182.4326171875,1598
MESS03,44,195,1308,STA07,STA12,6,37.99000549316406,1085.3895263671875,8531
MESS04,1,152,1634,STA12,STA04,10,53.45180130004883,2220.86474609375,1639
MESS04,15,166,1101,STA04,STA12,9,52.4322509765625,2087.526611328125,2462
MESS04,26,177,1608,STA12,IDC08,8,33.73381042480469,1708.4659423828125,1915
MESS04,34,185,549,IDC08,STA12,8,55.26001739501953,1634.37158203125,3241
MESS04,45,196,1605,STA12,IDC07,6,31.670942306518555,1165.1405029296875,2467
