day,rho_AIDC,status,OpenDSS_solve_count,convergence_count,rho_max_AC,Vmin_pu,Vmax_pu,transformer_phase_current_loading_max,transformer_total_kva_loading_max,voltage_error_max_pu,voltage_error_p95_pu,voltage_error_mean_pu,current_error_max_pu,current_error_p95_pu,current_error_mean_pu,physical_pass,planning_model_error_pass,anchor_physical_pass,anchor_rho_max_AC,anchor_Vmin_pu,anchor_Vmax_pu,anchor_transformer_phase_current_loading_max,anchor_transformer_total_kva_loading_max,candidate_delta_rho_max_AC,candidate_delta_Vmin_pu,candidate_delta_Vmax_pu,preexisting_anchor_violation,candidate_new_violation,candidate_resolves_anchor_violation,direction,April_performance_used
2025-01-01,0.1,PASS,96,96,0.44723461877895826,0.9825301228028998,1.0483132313683627,0.4944215662755562,0.4220809496349457,3.470870957311689e-08,2.5043402740454468e-08,1.5490281420054222e-08,4.246870792340429e-06,9.523138065410653e-07,1.6222507554575386e-07,True,True,True,0.44748105437035474,0.9824343078379945,1.0483181223302234,0.494102158788409,0.4217616312381027,-0.00024643559139647664,9.581496490529418e-05,-4.8909618606263194e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-01,0.25,PASS,96,96,0.44922260501699585,0.9826737156529467,1.048305846065262,0.4949011939746689,0.4225604044944625,2.155511417134548e-07,1.5640504760772167e-07,9.677362506485463e-08,2.720280338920633e-05,5.994392665362081e-06,1.014603478084419e-06,True,True,True,0.44748105437035474,0.9824343078379945,1.0483181223302234,0.494102158788409,0.4217616312381027,0.0017415506466411101,0.00023940781495224162,-1.2276264961474936e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-01,0.5,PASS,96,96,0.4525378489423661,0.982755502023288,1.0482934063835254,0.49570195407341267,0.4233607695789584,8.627575642794483e-07,6.249724349427499e-07,3.8704478197764875e-07,0.00011347638908426605,2.407041959187478e-05,4.071026877176535e-06,True,True,True,0.44748105437035474,0.9824343078379945,1.0483181223302234,0.494102158788409,0.4217616312381027,0.005056794572011358,0.0003211941852935274,-2.471594669795074e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-01,1.0,PASS,96,96,0.45917544963812806,0.9825266870899051,1.048268037326895,0.4973086443922011,0.4249662773905927,4.85411790873691e-06,2.5354958134715666e-06,1.563261618714143e-06,0.0004958637239924624,9.686513771687825e-05,1.6523400121279975e-05,True,True,True,0.44748105437035474,0.9824343078379945,1.0483181223302234,0.494102158788409,0.4217616312381027,0.011694395267773328,9.237925191063479e-05,-5.00850033282596e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-02,0.1,PASS,96,96,0.4711997806857238,0.9826824839540272,1.0489107669456954,0.5230019646551793,0.4458668848788534,5.4695179607655575e-06,2.5725193558701065e-08,3.7395573051495804e-08,4.348812859206186e-05,8.770096169827237e-07,1.8792084255049372e-07,True,True,True,0.4698702298998358,0.9827781996539189,1.0489059622803387,0.5229510105048933,0.446186095384495,0.001329550785888034,-9.571569989164086e-05,4.804665356683557e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-02,0.25,PASS,96,96,0.4731947013973519,0.9825387812076373,1.048917925912848,0.5234816681235771,0.4453885534894304,5.511829346271924e-06,1.6089428256371718e-07,1.187137428612643e-07,4.549869103737114e-05,5.330235558656525e-06,9.517601450665973e-07,True,True,True,0.4698702298998358,0.9827781996539189,1.0489059622803387,0.5229510105048933,0.446186095384495,0.003324471497516135,-0.00023941844628161402,1.1963632509326416e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-02,0.5,PASS,96,96,0.4765211489282944,0.9822989318600239,1.048929729115903,0.5242825378985065,0.4448526683354481,5.731753413007468e-06,6.423569929026041e-07,4.0927662491295266e-07,9.260499351647355e-05,2.1061982131097935e-05,3.6897431831726508e-06,True,True,True,0.4698702298998358,0.9827781996539189,1.0489059622803387,0.5229510105048933,0.446186095384495,0.006650919028458602,-0.0004792677938949552,2.3766835564265065e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-02,1.0,PASS,96,96,0.48317986987929984,0.9818179376455936,1.048952854394,0.5258893891380201,0.44645798623514765,6.7315325331662734e-06,2.551185674493084e-06,1.5737716349674608e-06,0.0003994502648393128,8.458988514193955e-05,1.4806641611902187e-05,True,True,True,0.4698702298998358,0.9827781996539189,1.0489059622803387,0.5229510105048933,0.446186095384495,0.01330963997946405,-0.0009602620083253299,4.689211366137869e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-03,0.1,FAIL,96,96,0.6176315448388985,0.9760513665940552,1.0503424896169116,0.6951586036203258,0.5968619293110482,3.5158162603465826e-08,2.539540219781422e-08,1.5689207136863583e-08,3.1169746960019173e-06,7.30743547467868e-07,1.253497582644779e-07,False,True,False,0.617532076402227,0.9760612579775866,1.0503377284905595,0.6948436399249976,0.596545595207065,9.946843667152372e-05,-9.891383531357434e-06,4.761126352059719e-06,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-03,0.25,FAIL,96,96,0.6179549879367733,0.9760364674319876,1.050349581562839,0.6956318086604522,0.5973371397710519,2.1898941415798845e-07,1.586031595224302e-07,9.808442293888633e-08,1.9839380542799323e-05,4.575099691952327e-06,7.840268922572819e-07,False,True,False,0.617532076402227,0.9760612579775866,1.0503377284905595,0.6948436399249976,0.596545595207065,0.0004229115345463219,-2.4790545599007174e-05,1.1853072279466303e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-03,0.5,FAIL,96,96,0.6213858471351945,0.9760114701585,1.05036126932259,0.696422506037731,0.5981310438641436,5.37023994962027e-06,6.426894129940575e-07,4.124492442005946e-07,8.185427205473217e-05,1.8542746695725243e-05,3.1911863419827555e-06,False,True,False,0.617532076402227,0.9760612579775866,1.0503377284905595,0.6948436399249976,0.596545595207065,0.003853770732967554,-4.978781908659968e-05,2.3540832030599645e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-03,1.0,FAIL,96,96,0.6282504630058338,0.9759608544525525,1.0503841491971075,0.6980114886797681,0.5997259294198896,6.431151958308234e-06,2.569575782429556e-06,1.588325148987945e-06,0.00034921670265269933,7.44357185728091e-05,1.273956885899598e-05,False,True,False,0.617532076402227,0.9760612579775866,1.0503377284905595,0.6948436399249976,0.596545595207065,0.0107183866036068,-0.00010040352503404293,4.642070654803376e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-04,0.1,PASS,96,96,0.7794507532301695,0.9734950498681577,1.0495329047886144,0.8773601323084783,0.7440783275580322,3.552669036732681e-08,2.523508541019126e-08,1.553001856194391e-08,2.076181863513993e-06,4.926154661286093e-07,8.32684435712853e-08,True,True,True,0.7808212413030585,0.9734852297592833,1.0495404763776073,0.8776730181196983,0.7443926061924475,-0.0013704880728889757,9.82010887440321e-06,-7.571588992894007e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-04,0.25,PASS,96,96,0.7773954368672958,0.9735097181801651,1.0495214823159027,0.8768915862726118,0.7436076407671585,2.1979124020798935e-07,1.578520915923587e-07,9.70735184722836e-08,1.3146200447483603e-05,3.0774274371848665e-06,5.205801730583873e-07,True,True,True,0.7808212413030585,0.9734852297592833,1.0495404763776073,0.8776730181196983,0.7443926061924475,-0.0034258044357626805,2.4488420881763062e-05,-1.899406170458029e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-04,0.5,PASS,96,96,0.7807503803809803,0.9735340002488638,1.0495152522486595,0.8761127652113557,0.7428251110149381,8.769002731723319e-07,6.315274886370403e-07,3.8830698656668525e-07,5.3758590817742924e-05,1.2283822247687702e-05,2.0861127862200535e-06,True,True,True,0.7808212413030585,0.9734852297592833,1.0495404763776073,0.8776730181196983,0.7443926061924475,-7.08609220781975e-05,4.877048958051855e-05,-2.522412894778725e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-04,1.0,PASS,96,96,0.7876026707890924,0.97358194488388,1.049537015503923,0.8745629672112466,0.7412673729234641,8.572063489031834e-06,2.553318447978681e-06,1.5750303049143767e-06,0.0002250616326537891,4.952232076699396e-05,8.454810516732693e-06,True,True,True,0.7808212413030585,0.9734852297592833,1.0495404763776073,0.8776730181196983,0.7443926061924475,0.006781429486033885,9.671512459663578e-05,-3.460873684302257e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-05,0.1,FAIL,96,96,0.8720928552624677,0.9702595050004743,1.0514162886486216,0.9859538991960722,0.8405802894874954,3.541539617124556e-08,2.5390577196304775e-08,1.563024504362284e-08,1.5659991941530116e-06,4.476388294774591e-07,7.378763111086635e-08,False,True,False,0.8707267158617942,0.970269316041651,1.051420756536834,0.9856450285293089,0.8402698966063071,0.0013661394006735383,-9.811041176699398e-06,-4.467888212511539e-06,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-05,0.25,FAIL,96,96,0.8741423942038814,0.9702447263595614,1.0514095399473748,0.9864180470545055,0.8410466707820484,2.205707380076305e-07,1.5875953401911502e-07,9.768685591185424e-08,9.84123911845769e-06,2.7975270959268387e-06,4.6115160855992725e-07,False,True,False,0.8707267158617942,0.970269316041651,1.051420756536834,0.9856450285293089,0.8402698966063071,0.003415678342087225,-2.4589682089626308e-05,-1.1216589459239756e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-05,0.5,FAIL,96,96,0.8775591732460469,0.9702199292824872,1.0513981665686059,0.9871938721757729,0.8418260790391643,8.80983863527085e-07,6.350023844525765e-07,3.9074241421384965e-07,4.0076896575230725e-05,1.1243392214720092e-05,1.8467204992065259e-06,False,True,False,0.8707267158617942,0.970269316041651,1.051420756536834,0.9856450285293089,0.8402698966063071,0.006832457384252755,-4.9386759163772e-05,-2.2589968228237112e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-05,1.0,FAIL,96,96,0.8843960034039859,0.9701697139024057,1.051374950911945,0.9887539291037558,0.8433927891219868,3.51819560695521e-06,2.5392168427618156e-06,1.5628657984316333e-06,0.00016632709701691617,4.5278041467518285e-05,7.424827130637661e-06,False,True,False,0.8707267158617942,0.970269316041651,1.051420756536834,0.9856450285293089,0.8402698966063071,0.013669287542191766,-9.960213924531391e-05,-4.580562488909479e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-06,0.1,PASS,96,96,0.5897971303597465,0.9781737982574578,1.0493892902031585,0.6762089920302572,0.5909209675747509,3.5148453925160084e-08,2.515658745205762e-08,1.5494236160590424e-08,1.4972451144734666e-06,5.993099734515061e-07,8.700342972860581e-08,True,True,True,0.589894842578798,0.9781640003560219,1.0493845770970331,0.6758976177119409,0.5906081749613156,-9.771221905152672e-05,9.797901435848466e-06,4.713106125375788e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-06,0.25,PASS,96,96,0.5896512141440386,0.9781884415979184,1.049396312132016,0.676676767615599,0.5913908541545897,2.1750605605497242e-07,1.5726423113759935e-07,9.685511033895162e-08,9.462683280836437e-06,3.7371854488446597e-06,5.438648884622076e-07,True,True,True,0.589894842578798,0.9781640003560219,1.0493845770970331,0.6758976177119409,0.5906081749613156,-0.00024362843475933538,2.4441241896488997e-05,1.1735034982862658e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-06,0.5,PASS,96,96,0.5894097551622118,0.9782127052438842,1.0494078893609011,0.6774582994506834,0.5921758545707079,8.700466485045411e-07,6.290115214524494e-07,3.874506569160465e-07,3.857302632478965e-05,1.4917311944077221e-05,2.178881120790051e-06,True,True,True,0.589894842578798,0.9781640003560219,1.0493845770970331,0.6758976177119409,0.5906081749613156,-0.0004850874165861496,4.87048878622387e-05,2.3312263867980576e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-06,1.0,PASS,96,96,0.5889333460063021,0.9782606994038358,1.0494305706566243,0.679028498700388,0.5937528116643183,3.479366411873741e-06,2.5166263972198344e-06,1.5498608169569335e-06,0.0001604067793287145,5.8810325282364156e-05,8.772336670903395e-06,True,True,True,0.589894842578798,0.9781640003560219,1.0493845770970331,0.6758976177119409,0.5906081749613156,-0.0009614965724958902,9.669904781384187e-05,4.5993559591117616e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-07,0.1,PASS,96,96,0.5179878668695667,0.981573177730621,1.0493398806521492,0.5758118232353524,0.48753753190464233,3.4860170639028354e-08,2.5282347465571675e-08,1.5622900098090348e-08,2.607880720914557e-06,6.95936116944933e-07,1.1686247478631277e-07,True,True,True,0.5170689541184462,0.981583099179769,1.0493350124881622,0.5754925845251166,0.48721799268242866,0.0009189127511204376,-9.9214491480204e-06,4.868163987037377e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-07,0.25,PASS,96,96,0.520011816254294,0.9815582341769479,1.0493471321625847,0.5762912152022394,0.48801733728232505,2.1652655135540044e-07,1.5802566785683148e-07,9.761313938768291e-08,1.6572474320797337e-05,4.359466000411474e-06,7.306435412576094e-07,True,True,True,0.5170689541184462,0.981583099179769,1.0493350124881622,0.5754925845251166,0.48721799268242866,0.0029428621358478235,-2.4865002821172766e-05,1.2119674422494953e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-07,0.5,PASS,96,96,0.5233862273190897,0.9814010273187508,1.0493590838271214,0.577091629879861,0.48881833889274784,8.648560707591457e-07,6.323141901465323e-07,3.903981305902488e-07,6.818877268562062e-05,1.7522847483920907e-05,2.9287846119099052e-06,True,True,True,0.5170689541184462,0.981583099179769,1.0493350124881622,0.5754925845251166,0.48721799268242866,0.006317273200643458,-0.00018207186101826256,2.4071338959208433e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-07,1.0,PASS,96,96,0.5301393578612483,0.9809199092002655,1.049382482957618,0.5786978167886605,0.49042532298136576,7.4101168567874964e-06,2.6030282335998134e-06,1.6036279431118376e-06,0.00028923283046208836,7.164305150852412e-05,1.1935669039792024e-05,True,True,True,0.5170689541184462,0.981583099179769,1.0493350124881622,0.5754925845251166,0.48721799268242866,0.013070403742802106,-0.0006631899795035423,4.7470469455745956e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-08,0.1,FAIL,96,96,0.6773940072791863,0.9764804180589708,1.0510192845872175,0.766209167885933,0.6572442419521771,3.492514399905389e-08,2.5319268570633824e-08,1.560933630437269e-08,2.567832755623334e-06,6.618557901308375e-07,1.1025305275374575e-07,False,True,False,0.6774918844636759,0.9764706399265176,1.0510239914232866,0.7665225557900606,0.6575591824601403,-9.787718448961424e-05,9.778132453175381e-06,-4.70683606912381e-06,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-08,0.25,FAIL,96,96,0.6772477930733434,0.976495033132289,1.05101217522225,0.7657397411197902,0.6567724653361715,2.176938785902749e-07,1.583234567059666e-07,9.763609348959792e-08,1.6298855986252025e-05,4.147665001993233e-06,6.896897702708585e-07,False,True,False,0.6774918844636759,0.9764706399265176,1.0510239914232866,0.7665225557900606,0.6575591824601403,-0.0002440913903325459,2.4393205771411353e-05,-1.1816201036518592e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-08,0.5,FAIL,96,96,0.6799263695425328,0.9765192520363404,1.051000195434924,0.7649591215163548,0.6559894866995128,8.714607618864889e-07,6.332246406670627e-07,3.906420496735647e-07,6.692659332778461e-05,1.6607366072080017e-05,2.764597143325577e-06,False,True,False,0.6774918844636759,0.9764706399265176,1.0510239914232866,0.7665225557900606,0.6575591824601403,0.0024344850788569072,4.8612109822765426e-05,-2.3795988362662612e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-08,1.0,FAIL,96,96,0.6867880769083702,0.9765671666724047,1.050975745639166,0.7634044665272359,0.6544415279124175,7.84012383947541e-06,2.586212045352365e-06,1.5891502335347734e-06,0.0002826317012420976,6.771275351081309e-05,1.122292924672241e-05,False,True,False,0.6774918844636759,0.9764706399265176,1.0510239914232866,0.7665225557900606,0.6575591824601403,0.009296192444694262,9.652674588711552e-05,-4.824578412065961e-05,True,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-09,0.1,PASS,96,96,0.7073967493476807,0.9758461830841972,1.0499407948550235,0.817477696877061,0.7111395429388543,3.529215741870928e-08,2.525835007816113e-08,1.5543949667511402e-08,1.8422075852286834e-06,6.116337144312921e-07,9.28977867372772e-08,True,True,True,0.7066011953070874,0.9758364142050585,1.049945364335528,0.8171703176513716,0.7108305397539367,0.0007955540405932826,9.768879138727371e-06,-4.569480504645895e-06,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
2025-01-09,0.25,PASS,96,96,0.709445539016236,0.9758607746972553,1.0499338925186426,0.8179395079377798,0.7116037732489456,2.187319586566261e-07,1.5781906512191135e-07,9.712927803490995e-08,1.1653595718280618e-05,3.8108213921195215e-06,5.806028246240572e-07,True,True,True,0.7066011953070874,0.9758364142050585,1.049945364335528,0.8171703176513716,0.7108305397539367,0.0028443437091485446,2.4360492196784378e-05,-1.1471816885544328e-05,False,False,False,FROZEN_SIMULTANEOUS_ALTERNATING_LOW_HIGH_ENDPOINT,False
