cohort,jobs,valid_runtime_jobs,node_hours,GPU_hours,positive_energy_jobs,total_reported_energy_joules,first_label_time_UTC,last_label_time_UTC,distinct_label_dates,distinct_users,distinct_accounts,partitions_json,qos_json,resource_configurations_json,source_archive_sha256,source_code_commit
PREISSUE_ALL_H100,622721,620624,852644.0555555556,1202336.2547222222,0,0.0,2024-02-22T23:03:15+00:00,2025-03-31T07:59:56+00:00,384,230,143,"{""gpu-h100"": 546271, ""gpu-h100-stdby"": 40626, ""gpu-h100l"": 979, ""gpu-h100s"": 34794, ""gpu-h100s-stdby"": 51}","{""high"": 1643, ""normal"": 580624, ""standby"": 40454}","{""nodes=10|gpus=40.0"": 60, ""nodes=10|gpus=NA"": 2, ""nodes=110|gpus=440.0"": 3, ""nodes=118|gpus=472.0"": 1, ""nodes=11|gpus=44.0"": 11, ""nodes=120|gpus=480.0"": 12, ""nodes=125|gpus=500.0"": 1, ""nodes=126|gpus=504.0"": 3, ""nodes=127|gpus=508.0"": 1, ""nodes=128|gpus=512.0"": 79, ""nodes=12|gpus=24.0"": 1, ""nodes=12|gpus=48.0"": 152, ""nodes=12|gpus=NA"": 2, ""nodes=14|gpus=56.0"": 3, ""nodes=15|gpus=60.0"": 4, ""nodes=16|gpus=16.0"": 1, ""nodes=16|gpus=32.0"": 4, ""nodes=16|gpus=4.0"": 14468, ""nodes=16|gpus=64.0"": 309, ""nodes=16|gpus=NA"": 5, ""nodes=17|gpus=68.0"": 5, ""nodes=18|gpus=72.0"": 7, ""nodes=1|gpus=1.0"": 155552, ""nodes=1|gpus=2.0"": 7929, ""nodes=1|gpus=3.0"": 401, ""nodes=1|gpus=4.0"": 152069, ""nodes=1|gpus=NA"": 64351, ""nodes=20|gpus=40.0"": 4, ""nodes=20|gpus=80.0"": 10, ""nodes=21|gpus=84.0"": 2, ""nodes=22|gpus=44.0"": 1, ""nodes=24|gpus=48.0"": 4, ""nodes=24|gpus=96.0"": 3, ""nodes=29|gpus=116.0"": 2, ""nodes=2|gpus=1.0"": 19021, ""nodes=2|gpus=2.0"": 551, ""nodes=2|gpus=4.0"": 55657, ""nodes=2|gpus=5.0"": 5, ""nodes=2|gpus=6.0"": 1, ""nodes=2|gpus=8.0"": 17995, ""nodes=2|gpus=NA"": 112538, ""nodes=30|gpus=120.0"": 1, ""nodes=31|gpus=124.0"": 1, ""nodes=32|gpus=128.0"": 96, ""nodes=32|gpus=32.0"": 1, ""nodes=32|gpus=NA"": 5, ""nodes=33|gpus=132.0"": 1, ""nodes=34|gpus=136.0"": 1, ""nodes=35|gpus=140.0"": 1, ""nodes=36|gpus=144.0"": 8, ""nodes=3|gpus=12.0"": 815, ""nodes=3|gpus=3.0"": 43, ""nodes=3|gpus=4.0"": 1, ""nodes=3|gpus=NA"": 242, ""nodes=40|gpus=160.0"": 2, ""nodes=42|gpus=168.0"": 1, ""nodes=43|gpus=172.0"": 1, ""nodes=48|gpus=192.0"": 1, ""nodes=4|gpus=16.0"": 17713, ""nodes=4|gpus=2.0"": 167, ""nodes=4|gpus=4.0"": 711, ""nodes=4|gpus=8.0"": 12, ""nodes=4|gpus=NA"": 21, ""nodes=52|gpus=NA"": 1, ""nodes=5|gpus=20.0"": 24, ""nodes=5|gpus=5.0"": 9, ""nodes=5|gpus=NA"": 1, ""nodes=60|gpus=240.0"": 1, ""nodes=64|gpus=256.0"": 105, ""nodes=64|gpus=64.0"": 1, ""nodes=64|gpus=NA"": 1, ""nodes=66|gpus=264.0"": 1, ""nodes=6|gpus=24.0"": 390, ""nodes=6|gpus=NA"": 5, ""nodes=73|gpus=292.0"": 4, ""nodes=74|gpus=296.0"": 1, ""nodes=76|gpus=304.0"": 3, ""nodes=79|gpus=NA"": 2, ""nodes=7|gpus=28.0"": 32, ""nodes=80|gpus=320.0"": 2, ""nodes=83|gpus=332.0"": 4, ""nodes=84|gpus=336.0"": 3, ""nodes=85|gpus=340.0"": 2, ""nodes=8|gpus=16.0"": 2, ""nodes=8|gpus=32.0"": 1011, ""nodes=8|gpus=8.0"": 5, ""nodes=8|gpus=NA"": 6, ""nodes=90|gpus=360.0"": 1, ""nodes=96|gpus=384.0"": 7, ""nodes=9|gpus=36.0"": 22}",3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_H100_POSITIVE_ENERGY,0,0,0.0,0.0,0,0.0,,,0,0,0,{},{},{},3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_EXCLUSIVE_H100_POSITIVE_ENERGY,0,0,0.0,0.0,0,0.0,,,0,0,0,{},{},{},3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_FULL_NODE_EXCLUSIVE_H100_POSITIVE_ENERGY,0,0,0.0,0.0,0,0.0,,,0,0,0,{},{},{},3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_PARTIAL_EXCLUSIVE_H100_POSITIVE_ENERGY,0,0,0.0,0.0,0,0.0,,,0,0,0,{},{},{},3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
PREISSUE_SHARED_H100_POSITIVE_ENERGY,0,0,0.0,0.0,0,0.0,,,0,0,0,{},{},{},3a90f9ac40991712f8718c686fa7b05d7a303a44a87ed1a8f21b403c11efd26f,3390c63b653c3e352c18a8d7c84dd918a27049c2
