job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8665798,1,PENDING,AIDC09,AIDC02,True,False,0,1,0,0,0,1,0,-1,0,0,53.0,81.53,71.0,99.53,53.0,81.53,71.0,99.53,71.0,99.53
8665970,1,PENDING,AIDC03,AIDC12,False,True,0,0,1,0,0,0,1,-1,0,0,79.0,107.80777777777777,59.0,87.80777777777777,79.0,107.80777777777777,59.0,87.80777777777777,59.0,87.80777777777777
8665972,1,PENDING,AIDC03,AIDC12,False,True,0,0,1,0,0,0,1,-1,0,0,79.0,101.2088888888889,59.0,81.2088888888889,79.0,101.2088888888889,59.0,81.2088888888889,59.0,81.2088888888889
8665992,1,PENDING,AIDC03,AIDC12,False,True,0,0,1,0,0,0,1,-1,0,0,83.0,110.06222222222222,63.0,90.06222222222222,83.0,110.06222222222222,63.0,90.06222222222222,63.0,90.06222222222222
8665994,1,PENDING,AIDC02,AIDC10,False,True,0,0,1,0,0,0,1,-1,0,0,89.0,97.31,72.0,80.31,89.0,97.31,72.0,80.31,72.0,80.31
8665995,1,PENDING,AIDC02,AIDC10,False,True,0,0,1,0,0,0,1,-1,0,0,89.0,100.65555555555555,72.0,83.65555555555555,89.0,100.65555555555555,72.0,83.65555555555555,72.0,83.65555555555555
8665997,1,PENDING,AIDC02,AIDC10,False,True,0,0,1,0,0,0,1,-1,0,0,89.0,108.43222222222222,72.0,91.43222222222222,89.0,108.43222222222222,72.0,91.43222222222222,72.0,91.43222222222222
8666154,1,PENDING,AIDC12,AIDC12,True,True,1,1,0,1,1,0,-1,1,0,0,96.0,103.10444444444444,96.0,103.10444444444444,98.0,105.10444444444444,96.0,103.10444444444444,96.0,103.10444444444444
8666155,1,PENDING,AIDC12,AIDC12,True,True,1,1,0,1,1,0,-1,1,0,0,96.0,110.36111111111111,96.0,110.36111111111111,99.0,113.36111111111111,96.0,110.36111111111111,96.0,110.36111111111111
8666156,1,PENDING,AIDC12,AIDC12,True,True,1,1,0,1,1,0,-1,1,0,0,96.0,121.73888888888888,96.0,121.73888888888888,100.0,125.73888888888888,96.0,121.73888888888888,96.0,121.73888888888888
