slot,feeder_gross_load_kW,feeder_net_load_before_losses_kW,total_AIDC_PCC_kW,fixed_noncontrollable_AIDC_PCC_kW,flexible_AIDC_PCC_kW,B1_controllable_load_kW,PENDING_controllable_PCC_kW,controllable_GPU,pending_controllable_GPU,AIDC_PENETRATION,FLEXIBLE_AIDC_SHARE,CONTROLLABLE_FEEDER_PENETRATION
20,1928.466403499372,1928.466403499372,291.2918199934985,258.9761092604701,32.31571073302848,32.31571073302848,16.43171734146327,59,30,0.15104842867105378,0.11093930043675704,0.0167572070088381
21,1962.423254105997,1962.423254105997,290.74409604000925,258.97610923023785,31.767986809771347,31.767986809771347,15.883993422428802,58,29,0.14815565165755276,0.10926442614814011,0.016188142258966247
22,2018.451559096581,2018.451559096581,290.19637208384324,258.9761092042614,31.22026287958183,31.22026287958183,15.336269495867535,57,28,0.1437717793008267,0.10758322943665782,0.015467432319037374
23,2076.631113825428,2076.631113825428,289.6486481464832,258.9761091841302,30.67253896235297,30.67253896235297,14.78854558140763,56,27,0.13948006760474285,0.10589567449609166,0.01477033583776471
24,2251.046854739438,2251.046854739438,372.35495871255625,258.4283852608811,113.92657345167521,113.92657345167521,98.59030398614124,208,180,0.16541413073147998,0.3059622835307053,0.05061048516685024
25,2330.168660981921,2330.168660981921,362.49592826836306,258.4283852646843,104.0675430036787,104.0675430036787,88.73127353777863,190,162,0.15556639068161235,0.28708610190687545,0.04466094868850616
26,2378.214652056338,2378.2062110509646,311.55760449263784,257.8806613573211,53.67694313531673,53.67694313531673,38.340673670073166,98,70,0.13100482928370139,0.1722857743200588,0.022570268452809603
27,2423.828848110649,2423.8204071052755,300.6031263000944,257.88066136130436,42.722464938790026,42.722464938790026,27.38619547318099,78,50,0.12401994742096235,0.14212249042326947,0.017626023789630102
28,2528.137374714973,2522.995114241696,309.91443276236896,257.88066136884345,52.0337713935255,52.0337713935255,36.697501927180596,95,67,0.12258607299665009,0.16789721901536314,0.020581860746151853
29,2568.877326110646,2563.735065637369,313.74850008202117,257.88066133674687,55.86783874527431,55.86783874527431,41.07929319355976,102,75,0.12213448143008268,0.17806567594958753,0.021747958992600017
30,2615.3215407823413,2580.484992161179,314.84394787808833,257.8806613140999,56.96328656398836,56.96328656398836,42.17474101393641,104,77,0.12038441276475191,0.18092546147987348,0.02178060543444631
31,2568.8878442014775,2534.051295580315,314.29622394574875,257.880661296194,56.41556264955483,56.41556264955483,41.62701710082456,103,76,0.12234719575445137,0.17949806059169462,0.021961084356756436
32,2557.336299172145,2476.821704490265,311.55760438205255,257.8806612820264,53.67694310002621,53.67694310002621,38.88839755234745,98,71,0.12182895322875964,0.1722857742679392,0.020989395535269406
33,2471.753333822297,2391.238739140417,311.5576043671223,257.88066127038667,53.67694309673557,53.67694309673557,38.88839754992391,98,71,0.1260472070994772,0.17228577426563346,0.02171614066915408
34,2426.7550212891256,2290.0200842820423,310.4621565372274,257.8806612612589,52.581495275968415,52.581495275968415,37.792949729841055,96,69,0.1279330438439994,0.16936523234406958,0.021667409695122996
35,2336.295889913357,2199.560952906273,310.46215652714596,257.88066125409557,52.5814952730504,52.5814952730504,37.79294972746357,96,69,0.13288648833716848,0.1693652323401703,0.022506350972093872
36,2321.4320214685613,2130.452716563301,309.91443261077166,257.88066124847006,52.03377136230157,52.03377136230157,37.245225817142014,95,68,0.13350140333410093,0.16789721899674137,0.02241451435195784
37,2249.0582983793024,2058.0789934740415,309.3667087017479,257.8806612489789,51.486047452769,51.486047452769,37.24522581713542,94,68,0.13755388596404156,0.1664240075114395,0.02289226895090734
38,2196.169672627948,1961.6786732255637,305.53264133904094,257.8806612495003,47.651980089540615,47.651980089540615,33.41115845387954,87,61,0.13912069051269568,0.15596363086018872,0.021697768020136628
39,2095.193924111811,1860.7029247094267,303.88946961260905,257.88066125003434,46.00880836257467,46.00880836257467,31.76798672688543,84,58,0.1450412136630422,0.15139981132358943,0.02195921238272901
40,2064.2496711563613,1795.1617178237884,303.3417457042129,257.8806612505815,45.46108445363143,45.46108445363143,31.220262817913337,83,57,0.14695012427168533,0.14986755069960045,0.02202305519959939
41,1999.2174023470661,1730.1294490144937,308.81898479384466,257.88066124828043,50.938323545564195,50.938323545564195,38.888397546057426,93,71,0.15446993630172162,0.16494557023289422,0.02547913172712632
42,1983.4787235646013,1688.5794744173786,307.7235369723675,257.8806612462125,49.84287572615497,49.84287572615497,37.79294972675581,91,69,0.155143351585513,0.16197290664389669,0.02512901960278154
43,1948.9269471523617,1654.027698005139,306.08036524290134,257.8806612443538,48.19970399854746,48.19970399854746,47.10425617976989,88,86,0.15705071228561182,0.15747401490551938,0.024731406207386872
44,1917.5694257727273,1599.09237083257,304.4371935137057,257.88066124268295,46.556532271022746,46.556532271022746,45.461084452313955,85,83,0.15876201895064423,0.1529265584591811,0.024278929172153314
45,1902.9440013305018,1584.4669463903444,306.08036524050357,257.88066124246944,48.19970399803416,48.19970399803416,47.10425617933368,88,86,0.16084570277764246,0.15747401490507598,0.02532901859662389
46,1883.3551278516034,1556.6357558186917,308.81898478482964,257.88066124225907,50.93832354257057,50.93832354257057,49.84287572387832,93,91,0.1639727846426437,0.1649455702280155,0.02704658446475645
47,1874.8312319055474,1548.1118598726357,308.2712608755308,257.88066124205176,50.39059963347907,50.39059963347907,49.29515181479496,92,90,0.16442613907290685,0.16346187928891964,0.02687740569707861
48,1880.7338358579532,1552.7859728892063,307.7235369662392,257.88066124184746,49.84287572439176,49.84287572439176,48.74742790571568,91,89,0.16361886573166365,0.16197290664139252,0.026501823263925296
49,1861.6081400113824,1533.6602770426355,307.17581305590375,256.78521342283824,50.390599633065435,50.390599633065435,49.295151814385704,92,90,0.1650056241449533,0.1640448156765999,0.027068317198461183
50,1867.425301917251,1544.774234750919,304.43719351086156,256.78521342290975,47.651980087951806,47.651980087951806,46.556532269268395,87,85,0.16302509835242218,0.15652483042040558,0.025517475873882825
51,1870.153840420135,1547.502773253803,294.5781631424606,249.1170786917858,45.46108445067476,45.46108445067476,44.36563663236433,83,81,0.157515471067494,0.154326050395967,0.02430874052610656
52,1863.6848695838298,1559.3818210045179,291.29181970848896,235.9717048725137,55.32011483597529,55.32011483597529,54.224667017821986,101,99,0.15629885956714124,0.18991303940954138,0.02968319147664087
53,1890.0784175564913,1585.7753689771794,288.0054762525372,235.42398096304993,52.58149528948735,52.58149528948735,51.48604747135491,96,94,0.15237752760802012,0.18257116487389752,0.02781974271600071
54,1891.8653255646523,1608.1469022729825,281.9805132515054,231.58991359938977,50.39059965211561,50.39059965211561,49.29515183399012,92,90,0.14904893569384733,0.17870241837304193,0.02663540526441853
55,1906.962914583215,1623.2444912915455,286.36230452220843,231.04218969002852,55.32011483217988,55.32011483217988,54.22466701406083,101,99,0.1501666877380233,0.19318225184868773,0.029009538889890066
56,1908.7968687994799,1656.9135024799286,288.5532001575084,228.85129405361303,59.70190610389537,59.70190610389537,58.60645828578226,109,107,0.15117019776912735,0.20690086289566964,0.031277244362541486
57,1942.291580752671,1690.4082144331198,284.7191327906824,227.75584623573144,56.963286554951,56.963286554951,55.86783873683464,104,102,0.1465892843341003,0.20006834804750837,0.02932787595818994
58,1925.5081092283847,1701.5366803067889,282.5282371534566,227.75584623590697,54.77239091754957,54.77239091754957,53.67694309942982,100,98,0.14672918581821764,0.19386519191637358,0.028445681768382008
59,1971.1004975797105,1747.1290686581146,280.88506542541893,227.75584623608998,53.12921918932895,53.12921918932895,52.03377137120566,97,95,0.14250164604509724,0.18914932023481293,0.02695408948177206
60,1976.0383645567906,1792.051978087448,279.7896176081076,227.75584623628075,52.033771371826894,52.033771371826894,50.938323553699895,95,93,0.14159118700656512,0.18597463271388767,0.026332368999069333
61,2053.931991149946,1869.9456046806035,279.7896176071739,227.75584623603865,52.03377137113526,52.03377137113526,50.93832355301295,95,93,0.1362214614762033,0.18597463271203632,0.025333736265533716
62,2061.652408731411,1925.4043229419221,278.1464458792084,227.75584623580903,50.3905996433993,50.3905996433993,49.29515182528142,92,90,0.1349143263438667,0.18116571464401382,0.024441850347802305
63,2152.266592493074,2016.0185067035848,276.5032741507141,227.20812232654112,49.29515182417304,49.29515182417304,48.19970400606831,90,88,0.12847073643903337,0.1782805356485712,0.02290383170751728
64,2188.7262800650697,2103.1465627128605,274.8601024203372,227.20812232633637,47.651980094000876,47.651980094000876,46.556532275899656,87,85,0.12557993428587416,0.17336812318118036,0.021771557516357964
65,2281.925037141903,2196.3453197896933,274.8601024203798,227.20812232645537,47.65198009392447,47.65198009392447,46.55653227582106,87,85,0.12045097798858476,0.17336812318087555,0.02088235998918189
66,2332.2806374315305,2292.952175335681,277.05099805685717,227.2081223265783,49.84287573027885,49.84287573027885,48.747427912173166,91,89,0.11878973465301541,0.17990505747988664,0.02137087404077122
67,2407.317768048085,2367.9893059522356,274.86010241987276,226.6603984176572,48.199704002215505,48.199704002215505,47.104256184115634,88,86,0.11417690928386924,0.17536086022621886,0.020022161029990264
68,2445.8861467964994,2438.3937805657374,270.4783111451678,225.56495059969924,44.91336054546859,44.91336054546859,43.81791272738053,82,80,0.11058499656634752,0.16605161558171383,0.018362817338940282
69,2508.2072025283223,2500.7148362975604,267.7396916006896,225.56495060004914,42.174741000640424,42.174741000640424,41.07929318254771,77,75,0.10674544404896162,0.1575214371410436,0.016814695754851294
70,2551.1654004964826,2551.102287748616,266.6442437826846,225.56495060042892,41.07929318225565,41.07929318225565,39.98384536415784,75,73,0.1045186030395336,0.1540603037196457,0.016102167728623634
71,2587.822633407814,2587.7595206599476,262.8101764189,225.56495060084123,37.245225818058834,37.245225818058834,36.14977799995546,68,66,0.10155648730562898,0.14171911577233864,0.014392495581898472
72,2693.301972902418,2693.301972902418,346.06421062781396,311.00988043069754,35.054330197116386,35.054330197116386,34.50660628799868,64,63,0.12849068322438434,0.1012942948752846,0.013015373155257571
73,2701.6654740783524,2701.6654740783524,342.77786716914966,312.10532825356756,30.672538915582123,30.672538915582123,30.12481500645729,56,55,0.1268765028305679,0.08948226199343912,0.011353196467096198
74,2693.6024542715886,2693.6024542715886,338.94379980234413,310.4621565253859,28.48164327695822,28.48164327695822,27.933919367825755,52,51,0.12583289685708363,0.08403057761660593,0.010573811006071535
75,2679.9467888976314,2679.9467888976314,333.46656071227244,306.6280891624363,26.83847154983618,26.83847154983618,26.290747640708986,49,48,0.12443029171091881,0.0804832469333962,0.010014553893764402
76,2662.6489923636254,2662.6489923636254,342.230143258254,316.4871195247795,25.743023733474505,25.743023733474505,25.195299824373503,47,46,0.12852995052662097,0.07522138023373437,0.009668200279986022
77,2653.838061884494,2653.838061884494,342.2301432540274,319.7734629771345,22.456680276892847,22.456680276892847,21.908956367801657,41,40,0.12895667907144617,0.0656186508393678,0.008461963297393635
78,2654.196374691245,2654.196374691245,337.8483519780783,315.9393956114301,21.908956366648162,21.908956366648162,21.361232457593413,40,39,0.12728837820727534,0.0648484926398864,0.008254459457317571
79,2631.25540069522,2631.25540069522,332.3711128841079,310.4621565181189,21.908956365989003,21.908956365989003,21.361232456941885,40,39,0.1263165532301768,0.06591714958582541,0.00832642713443944
80,2591.8405026297078,2591.8405026297078,325.2507020600877,303.88946960400347,21.361232456084245,21.361232456084245,20.813508547037443,39,38,0.1254902459198724,0.06567620706361431,0.00824172337549742
81,2538.7885823318366,2538.7885823318366,321.9643586056592,301.1508500585238,20.813508547135335,20.813508547135335,20.26578463808943,38,37,0.12681810562970947,0.06464538074112622,0.00819820472330093
82,2520.9668819317762,2520.9668819317762,315.391671695889,294.5781631488758,20.81350854701319,20.81350854701319,20.265784637968103,38,37,0.1251074236462041,0.06599257499444137,0.008256161037333475
83,2491.24674088805,2491.24674088805,314.84394778798105,294.03043924059835,20.81350854738269,20.81350854738269,20.26578463831408,38,37,0.12638007412936914,0.06610738015964247,0.008354655605074002
84,2418.9669638793252,2418.9669638793252,308.81898478858966,289.1009240592722,19.718060729317436,19.718060729317436,19.718060729317436,36,36,0.12766564793978546,0.06384989816223885,0.008151438619771538
85,2387.989974082414,2387.989974082414,306.08036524075857,288.00547623938706,18.074889001371485,18.074889001371485,18.074889001371485,33,33,0.12817489544040908,0.05905275559624358,0.007569080774016553
86,2374.193563242326,2374.193563242326,303.3417456936747,285.8145806019906,17.527165091684065,17.527165091684065,17.527165091684065,32,32,0.1277662236095927,0.057780260516413134,0.00738236568536056
87,2313.2293944869975,2313.2293944869975,296.2213348738884,279.2418936917871,16.979441182101308,16.979441182101308,16.979441182101308,31,31,0.12805532195806335,0.05732011568083048,0.007340145868182183
88,2278.5611502765296,2278.5611502765296,291.2918196911988,274.31237850930364,16.979441181895176,16.979441181895176,16.979441181895176,31,31,0.1278402467521432,0.05829014079384461,0.007451825982302263
89,2242.6972187899873,2242.6972187899873,297.86450660215445,281.9805132381935,15.883993363960919,15.883993363960919,15.883993363960919,29,29,0.13281530119472063,0.053326237305529406,0.007082540269315036
90,2223.392741431125,2223.392741431125,293.48271533142423,279.78961760380645,13.693097727617754,13.693097727617754,13.693097727617754,25,25,0.13199769427263625,0.046657254455869435,0.006158650009266449
91,2196.7330156335665,2196.7330156335665,300.60312615426466,287.4577523327464,13.145373821518271,13.145373821518271,13.145373821518271,24,24,0.13684099251704776,0.04372999705522782,0.005984056199804952
92,2208.0866047895115,2208.0866047895115,296.22133488361646,284.719132789794,11.502202093822504,11.502202093822504,11.502202093822504,21,21,0.13415295135665845,0.03882975579170099,0.005209126339914989
93,2214.305808483705,2214.305808483705,294.0304392472138,283.0759610630291,10.954478184184682,10.954478184184682,10.954478184184682,20,20,0.1327867352922484,0.03725627255542212,0.004947138801792696
94,2172.9977340541986,2172.9977340541986,295.1258870656746,284.7191327909186,10.406754274755956,10.406754274755956,10.406754274755956,19,19,0.13581509195366404,0.03526208553992464,0.004789123390082832
95,2118.216855582545,2118.216855582545,293.48271533958746,283.62368497382954,9.859030365757956,9.859030365757956,9.859030365757956,18,18,0.13855177979823732,0.03359322321367417,0.004654400865414017
