slot,feeder_gross_load_kW,feeder_net_load_before_losses_kW,total_AIDC_PCC_kW,fixed_noncontrollable_AIDC_PCC_kW,flexible_AIDC_PCC_kW,B1_controllable_load_kW,PENDING_controllable_PCC_kW,controllable_GPU,pending_controllable_GPU,AIDC_PENETRATION,FLEXIBLE_AIDC_SHARE,CONTROLLABLE_FEEDER_PENETRATION
0,2111.818230965714,2111.818230965714,323.6075304042065,263.9056242768925,59.70190612731398,59.70190612731398,36.697501936420565,109,67,0.1532364507793002,0.1844886182121364,0.028270381064005153
1,2076.214330010108,2076.214330010108,323.05980650088424,261.71472864413647,61.34507785674776,61.34507785674776,38.34067366509862,112,70,0.15560041265070715,0.18988768216382823,0.029546601701977995
2,2044.366411978433,2044.366411978433,318.6780152292526,260.07155691505665,58.60645831419593,58.60645831419593,35.60205412173431,107,65,0.15588106582168523,0.18390493072462263,0.028667296611217363
3,2012.4972347771359,2012.4972347771359,312.1053283188035,259.5238330070661,52.58149531173741,52.58149531173741,30.12481502962958,96,55,0.15508360604200586,0.16847355857387813,0.026127486986366116
4,2002.0944694316518,2002.0944694316518,320.86891090120116,259.52383301062343,61.34507789057771,61.34507789057771,43.81791279150647,112,80,0.16026661868372696,0.1911842369467402,0.030640451201082514
5,1970.3483098005286,1970.3483098005286,319.7734630849078,258.9761091012761,60.797353983631716,60.797353983631716,43.270188884230656,111,79,0.16229286035080803,0.19012632692253298,0.03085614542425072
6,1928.102858402791,1928.102858402791,309.9144326773574,258.97610910334186,50.93832357401558,50.93832357401558,33.41115847427427,93,61,0.16073542514950964,0.16436254076313359,0.026418882868215886
7,1906.9787516726856,1906.9787516726856,313.7485000429033,258.9761091054857,54.77239093741757,54.77239093741757,37.792949748622036,100,69,0.1645264792634434,0.17457419216323827,0.028722077206877406
8,1894.767937606248,1894.767937606248,319.2257392253361,258.97610910771084,60.24963011762527,60.24963011762527,43.270188928532505,110,79,0.16847748628712253,0.18873675494912417,0.03179789404381707
9,1881.7408978493795,1881.7408978493795,314.2962240535013,258.97610911345225,55.32011494004907,55.32011494004907,38.34067375016345,101,70,0.1670241766083242,0.17601266164315155,0.029398369883586954
10,1863.8701844598158,1863.8701844598158,311.0098805568729,258.97610911973095,52.0337714371419,52.0337714371419,35.05433024639688,95,64,0.1668624151778088,0.16730584682381736,0.027917057674390695
11,1855.3178758624804,1855.3178758624804,307.72353708477283,258.9761091265979,48.74742795817491,48.74742795817491,31.76798676649828,89,58,0.16586027714615836,0.15841306264702718,0.026274434474207676
12,1847.9165778256588,1847.9165778256588,304.4371936395286,258.97610913410915,45.46108450541935,45.46108450541935,28.48164331273278,83,52,0.16474617809735922,0.14932828660629402,0.024601264500214017
13,1836.4223893043472,1836.4223893043472,301.150850201684,258.9761091503059,42.17474105137819,42.17474105137819,25.195299856565494,77,46,0.1639877905843669,0.14004523322160076,0.02296570837788269
14,1846.576156237407,1846.576156237407,299.5076785022331,258.97610916951766,40.53156933271544,40.53156933271544,23.55212813542805,74,43,0.1621962232592191,0.1353273129270148,0.021949579060580298
15,1841.1632983850882,1841.1632983850882,298.959954630841,258.97610919567757,39.98384543516344,39.98384543516344,23.00440423445927,73,42,0.16237557792568605,0.13374314792272404,0.021716620937552833
16,1857.851917458809,1857.851917458809,296.7690590726071,258.9761092489268,37.79294982368033,37.79294982368033,20.81350861548546,69,38,0.15973773597549754,0.1273480124302108,0.020342283186581392
17,1847.4715634925906,1847.4715634925906,294.57816344011775,258.9761092517531,35.60205418836463,35.60205418836463,19.718060798016953,65,36,0.15944936271886448,0.12085775052909468,0.019270691301499655
18,1858.9491763821156,1858.9491763821156,292.93499171592777,258.97610925461873,33.958882461309074,33.958882461309074,18.07488907056114,62,33,0.1575809578000607,0.1159263434606697,0.018267784236791134
19,1885.6250753702498,1885.6250753702498,291.83954389835066,258.97610925752423,32.86343464082648,32.86343464082648,16.979441249672732,60,31,0.15477071646443122,0.11260788788880852,0.017428403488097242
