job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8206515,4,RUNNING,AIDC04,AIDC04,False,False,0,0,0,0,0,0,0,0,0,0,0.0,188.9388888888889,0.0,188.9388888888889,0.0,188.9388888888889,0.0,188.9388888888889,0.0,188.9388888888889
8568682,4,RUNNING,UNASSIGNED,UNASSIGNED,False,False,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
8571138,4,RUNNING,AIDC03,AIDC03,False,False,0,0,0,0,0,0,0,0,0,0,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556
8571147,4,RUNNING,AIDC03,AIDC03,False,False,0,0,0,0,0,0,0,0,0,0,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556,0.0,66.28555555555556
8571212,4,RUNNING,AIDC03,AIDC03,False,False,0,0,0,0,0,0,0,0,0,0,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111
8571220,4,RUNNING,AIDC03,AIDC03,False,False,0,0,0,0,0,0,0,0,0,0,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111
8571235,4,RUNNING,AIDC03,AIDC03,False,False,0,0,0,0,0,0,0,0,0,0,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111,0.0,66.32111111111111
8571245,4,RUNNING,AIDC04,AIDC04,False,False,0,0,0,0,0,0,0,0,0,0,0.0,149.83777777777777,0.0,149.83777777777777,0.0,149.83777777777777,0.0,149.83777777777777,0.0,149.83777777777777
8571256,4,RUNNING,AIDC04,AIDC04,False,False,0,0,0,0,0,0,0,0,0,0,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445
8571265,4,RUNNING,AIDC04,AIDC04,False,False,0,0,0,0,0,0,0,0,0,0,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445
8571280,4,RUNNING,AIDC04,AIDC04,False,False,0,0,0,0,0,0,0,0,0,0,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445,0.0,187.88444444444445
