slot,feeder_gross_load_kW,feeder_net_load_before_losses_kW,total_AIDC_PCC_kW,fixed_noncontrollable_AIDC_PCC_kW,flexible_AIDC_PCC_kW,B1_controllable_load_kW,PENDING_controllable_PCC_kW,controllable_GPU,pending_controllable_GPU,AIDC_PENETRATION,FLEXIBLE_AIDC_SHARE,CONTROLLABLE_FEEDER_PENETRATION
0,2112.3659548474197,2112.3659548474197,324.15525428591235,263.9056242768925,60.24963000901984,60.24963000901984,37.24522581812643,110,68,0.15345601151261062,0.18586658464551153,0.028522344753171232
1,2088.26425599566,2088.26425599566,335.1097324864359,261.71472864413647,73.39500384229947,73.39500384229947,52.58149529343291,134,96,0.1604728575534898,0.21901782230472894,0.035146415800382316
2,2061.8935770522035,2061.8935770522035,336.2051803030232,260.07155691505665,76.1336233879666,76.1336233879666,55.86783874905841,139,102,0.16305651467408935,0.226449881942173,0.036924128497849734
3,2025.0948846524097,2025.0948846524097,324.7029781940774,259.5238330070661,65.17914518701127,65.17914518701127,45.46108445805548,119,83,0.16033963675228477,0.2007346700345114,0.0321857240769233
4,2002.6421932877738,2002.6421932877738,321.41663475732315,259.52383301062343,61.89280174669972,61.89280174669972,46.55653229224477,113,85,0.16049628627350934,0.1925625342740278,0.03090557162639682
5,1978.5641683830615,1978.5641683830615,327.98932166744083,258.9761091012761,69.0132125661647,69.0132125661647,53.67694311163366,126,98,0.16577138457707083,0.21041298605489195,0.03488045203131534
6,1962.609464684207,1962.609464684207,344.4210389587732,258.97610910334186,85.44492985543138,85.44492985543138,69.560936491718,156,127,0.1754913777582297,0.24808278296163855,0.043536389380033826
7,1926.6968123991314,1926.6968123991314,333.4665607693492,258.9761091054857,74.49045166386347,74.49045166386347,59.154182210430236,136,108,0.17307682175179143,0.22338207312902575,0.038662259253498026
8,1907.9133113494086,1907.9133113494086,332.37111296849673,258.97610910771084,73.39500386078589,73.39500386078589,58.05873440730501,134,106,0.17420661148038263,0.2208224511609182,0.038468730955535844
9,1894.8862715714113,1894.8862715714113,327.44159777553295,258.97610911345225,68.46548866208076,68.46548866208076,52.58149529935191,125,96,0.17280277064015495,0.20909221408397557,0.03613171391299541
10,1875.9201104014269,1875.9201104014269,323.0598064984837,258.97610911973095,64.08369737875276,64.08369737875276,48.19970401588205,117,88,0.17221405363011558,0.19836481075541518,0.034161208157760796
11,1875.0359365626148,1875.0359365626148,327.44159778490706,258.9761091265979,68.46548865830911,68.46548865830911,52.03377138610453,125,95,0.17463217178929652,0.20909221406647108,0.036514227446660344
12,1866.5391907047851,1866.5391907047851,323.05980651865474,258.97610913410915,64.0836973845456,64.0836973845456,47.651980112145395,117,87,0.17307957321628528,0.19836481076096094,0.03433289678763631
13,1865.4517565923368,1865.4517565923368,330.1802174896737,258.9761091503059,71.20410833936785,71.20410833936785,54.224667157474215,130,99,0.17699745722334917,0.21565225464058804,0.03816990071586628
14,1871.2237322290384,1871.2237322290384,324.15525449386445,258.97610916951766,65.17914532434683,65.17914532434683,48.1997041418896,119,88,0.17323169266762364,0.20107385094255978,0.03483236354997708
15,1858.6904634496927,1858.6904634496927,316.4871196954454,258.97610919567757,57.511010499767906,57.511010499767906,40.5315693165588,105,74,0.17027424733651,0.1817167490263445,0.0309416826688983
16,1876.474530321476,1876.474530321476,315.39167193527425,258.9761092489268,56.415562686347485,56.415562686347485,39.43612150185942,103,72,0.16807671345330844,0.17887461117846282,0.030064656767114454
