day,case,anchor,max_aggregate_PCC_shift_kw,L1_over_2_shifted_energy_kwh,critical_slot,critical_slot_AIDC_delta_kw,sensitivity_weighted_delivered_AIDC_actuation_pu,critical_slot_execution_retention
2025-04-04,B1,B0,32.7477180373881,27.946104820326347,27,1.3883807483335406,-0.0013268055039602875,0.4272104876407385
2025-04-04,B3,B2,23.487500455439623,22.54406547823512,63,-1.5189912317288456,-0.0016799869049061496,0.7143214961321596
