K,first_stage_primary_grid_objective,expected_executable_service,expected_unexecuted_service,aggregate_recourse_headroom,expected_recourse_movement_mass,relative_error_first_stage_primary_grid_objective,relative_error_expected_executable_service,relative_error_expected_unexecuted_service,relative_error_aggregate_recourse_headroom,relative_error_expected_recourse_movement_mass,structurally_stable,within_one_percent,selected,April_rows_used
8,29.887984485019803,0.17831055883701594,0.821689441162984,0.0125,0.8706797159597837,0.0,0.09529776932794351,0.018530900224539976,0.142857142857143,0.01230411125242366,False,False,False,0
16,29.887984485019803,0.20366858730724988,0.7963314126927501,0.009375000000000001,0.870712728031525,0.0,0.2510630375159535,0.04881986358219906,0.14285714285714268,0.01234249305382795,False,False,False,0
32,29.887984485019803,0.16686140580686587,0.8331385941931342,0.0078125,0.916275482958107,0.0,0.02496973123301509,0.004855429475167081,0.28571428571428564,0.06531646647564132,False,False,False,0
64,29.887984485019803,0.1627964228818108,0.8372035771181892,0.0109375,0.8600969869445436,0.0,0.0,0.0,0.0,0.0,True,True,True,0
