day,case,slot,aidc_id,rack_id,h_REC_nodeh,derivation
2025-04-04,B0,1,AIDC03,AIDC03_LP01,0.301964925123572,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC03,AIDC03_LP02,0.3181568013276599,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC03,AIDC03_LP03,0.3584822239945956,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC03,AIDC03_LP04,0.4734757786523457,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC04,AIDC04_LP01,0.13268155800884218,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC04,AIDC04_LP02,0.13979617028033536,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC04,AIDC04_LP03,0.157514916603686,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC04,AIDC04_LP04,0.2080423875896671,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC05,AIDC05_LP01,0.2058851762206172,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC05,AIDC05_LP02,0.21692509181431352,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC05,AIDC05_LP03,0.24441969817813358,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC05,AIDC05_LP04,0.32282439453569034,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC06,AIDC06_LP01,0.26536311601768436,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC06,AIDC06_LP02,0.2795923405606707,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC06,AIDC06_LP03,0.315029833207372,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC06,AIDC06_LP04,0.4160847751793342,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC07,AIDC07_LP01,0.08235407048824686,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC07,AIDC07_LP02,0.08677003672572542,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC07,AIDC07_LP03,0.09776787927125344,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC07,AIDC07_LP04,0.12912975781427602,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC08,AIDC08_LP01,0.24248698532650464,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC08,AIDC08_LP02,0.2554895525813026,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC08,AIDC08_LP03,0.2878720889653572,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC08,AIDC08_LP04,0.38021539800870197,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC09,AIDC09_LP01,0.5444519104500762,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC09,AIDC09_LP02,0.5736463539089627,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC09,AIDC09_LP03,0.6463543129599529,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC09,AIDC09_LP04,0.8536911766610471,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC10,AIDC10_LP01,0.06862839207353905,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC10,AIDC10_LP02,0.0723083639381045,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC10,AIDC10_LP03,0.08147323272604454,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC10,AIDC10_LP04,0.10760813151189672,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC11,AIDC11_LP01,0.04575226138235937,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC11,AIDC11_LP02,0.048205575958736355,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC11,AIDC11_LP03,0.054315488484029645,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC11,AIDC11_LP04,0.0717387543412645,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC12,AIDC12_LP01,0.09607974890295462,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC12,AIDC12_LP02,0.10123170951334631,physical_capacity_minus_x_DA_allocation
