day,case,slot,da_authorized_nodeh,actual_available_nodeh,executed_original_rack_nodeh,executed_same_site_recourse_nodeh,executed_cross_site_recourse_nodeh,source_unavailable_nodeh,true_rack_capacity_limit_nodeh,grid_safety_blocked_nodeh,other_explicit_nodeh,terminal_backlog_nodeh,executed_total_nodeh,authorization_identity_error_nodeh
2025-04-04,B1,0,12.653253688440104,9.594523400010381,0.8833341724546622,0.5447310064883301,1.6101292655014627,3.0587302884297234,6.556328955565927,0.0,0.0,74.96069444444443,3.038194444444455,-1.7763568394002505e-15
2025-04-04,B1,1,4.783914079465716,4.783914079465716,0.32397125208603983,0.663689484493236,1.247130930087391,0.0,2.549122412799049,0.0,0.0,74.93034722222221,2.2347916666666667,8.881784197001252e-16
2025-04-04,B1,2,3.54111118232319,2.9705321989849276,0.0486701259641807,0.0,0.18434292429050636,0.5705789833382626,0.7203238656515945,2.017195283078646,0.0,74.8101119497453,0.23301305025468705,0.0
2025-04-04,B1,3,2.670098254112731,2.670098254112731,0.010991681528808195,0.0,0.08967529497752443,0.0,0.48405658744606317,2.0853746901603354,0.0,74.71694497323897,0.10066697650633262,0.0
2025-04-04,B1,4,1.6041920902406135,1.5881082546578655,0.004286212371817411,0.0,0.018276473072297614,0.016083835582747952,0.0,1.5655455692137505,0.0,74.70188228779486,0.022562685444115025,0.0
2025-04-04,B1,5,1.7232089083342506,1.7232089083342506,0.17548049006481142,0.022684813018509848,0.5679121158147304,0.0,6.661338147750939e-16,0.957131489436198,0.0,73.9358048688968,0.7660774188980517,2.220446049250313e-16
2025-04-04,B1,6,4.4212331142926615,2.364142473793602,0.16053554097247813,0.22390734292265319,0.8910318411756686,2.0570906404990597,0.0,1.088667748722803,0.0,72.660330143826,1.2754747250707998,-8.881784197001252e-16
2025-04-04,B1,7,2.5068251706381903,1.3385939615898956,0.15782443581252373,0.09938168209577858,0.3838202868688654,1.1682312090482947,2.220446049250313e-16,0.6975675568127278,0.0,72.01930373904884,0.6410264047771677,0.0
2025-04-04,B1,8,2.241106568144769,0.5881408400299326,0.020668986494367363,0.0,0.5674718535355653,1.6529657281148362,0.0,0.0,0.0,71.90782956568557,0.5881408400299326,0.0
2025-04-04,B1,9,1.5489377593160547,1.5489377593160547,0.08338825629564506,0.2543869205666106,1.2111625824537986,0.0,0.0,4.440892098500626e-16,0.0,70.35889180636953,1.5489377593160543,0.0
2025-04-04,B1,10,0.9247146974340602,0.9247146974340602,0.0,0.0,0.924714697434133,0.0,0.0,0.0,0.0,69.4341771089354,0.924714697434133,-7.283063041541027e-14
2025-04-04,B1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.4341771089354,0.0,0.0
2025-04-04,B1,12,4.886052376594165,3.7611296420946334,0.9662950329792835,0.6222359699337416,1.3779853654716845,1.1249227344995316,1.3322676295501878e-15,0.7946132737099219,0.0,66.4876607405507,2.96651636838471,0.0
2025-04-04,B1,13,3.315463504939693,2.8303704106755125,0.2778079791151281,0.08639810356395033,0.37638435016934246,0.48509309426418046,8.881784197001252e-16,2.0897799778270905,0.0,65.74707030770227,0.740590432848421,0.0
2025-04-04,B1,14,2.7050182434367205,1.6500885869791817,0.0,0.0,1.2635610584607186,1.0549296564575388,0.0,0.38652752851846284,0.0,64.49045369368599,1.2635610584607186,0.0
2025-04-04,B1,15,1.9005670595976518,1.9005670595976518,0.24299021823622746,0.27847123619573244,1.379105605165692,0.0,0.0,2.220446049250313e-16,0.0,70.51127552297723,1.9005670595976518,-2.220446049250313e-16
2025-04-04,B1,16,3.03019404193711,2.2266363746795443,0.5454906095719467,0.39510578035640076,1.2860399847511959,0.8035576672575657,4.440892098500626e-16,0.0,0.0,68.28463914829767,2.2266363746795435,4.440892098500626e-16
2025-04-04,B1,17,1.156100195717178,1.156100195717178,0.23663857677902628,0.0,0.9194616189381517,0.0,0.0,0.0,0.0,67.1285389525805,1.156100195717178,0.0
2025-04-04,B1,18,3.6082091677418937,2.8815141341128774,0.6075246862573418,0.07790926548110419,1.985045025276858,0.7266950336290163,0.0,0.21103515709757303,0.0,64.45805997556519,2.6704789770153043,0.0
2025-04-04,B1,19,1.5504712787921786,0.8566167621754474,0.0777863375151269,0.0,0.33712928861566094,0.6938545166167313,0.0,0.44170113604465955,0.0,64.04314434943443,0.4149156261307878,0.0
2025-04-04,B1,20,0.9877485028158518,0.9776451356751397,0.0,0.0,0.11732955131808921,0.010103367140712138,0.0,0.8603155843570505,0.0,68.09914813144965,0.11732955131808921,0.0
2025-04-04,B1,21,2.585244046830274,1.8600158635412536,0.18983219082936842,0.0,1.5683674147937925,0.7252281832890206,0.0,0.10181625791809301,0.0,84.60094852582648,1.7581996056231608,-4.440892098500626e-16
