scenario_id,source_day,executable_service_factor,rack_residual_capacity_factor,background_loading_factor,recourse_deliverable_factor,unexecuted_factor,April_rows_used
0,2025-02-01,1.5,0.5818434343434343,1.529451247551019,0.5818434343434343,0.41815656565656567,0
1,2025-03-21,0.0,0.05,1.1624689161699318,0.0,1.0,0
2,2025-02-26,1.5,0.05,1.335203999445123,0.05,0.95,0
3,2025-01-18,0.0,0.05,1.4943992242509903,0.0,1.0,0
4,2025-03-24,1.5,0.34345615634345666,1.2442343510000955,0.34345615634345666,0.6565438436565434,0
5,2025-03-16,1.5,0.10622123519458546,1.1051300101076498,0.10622123519458546,0.8937787648054145,0
6,2025-01-24,0.7919221983743973,0.11224556489262372,1.2535892689045112,0.11224556489262372,0.8877544351073763,0
7,2025-02-21,1.5,0.23271807992202728,1.416230909558373,0.23271807992202728,0.7672819200779727,0
8,2025-01-20,0.0,0.05,1.3356431911284679,0.0,1.0,0
9,2025-03-07,1.5,0.6160532407407407,1.3928672321236113,0.6160532407407407,0.38394675925925925,0
10,2025-03-20,1.2520463869822793,0.14245949074074074,1.2413050322036823,0.14245949074074074,0.8575405092592593,0
11,2025-01-15,0.4191506306089882,0.05,1.1118260959350956,0.05,0.95,0
12,2025-03-23,1.5,0.4813245884773662,1.3252614965998037,0.4813245884773662,0.5186754115226337,0
13,2025-02-25,1.1420743319382114,0.09169232253086419,1.3379499686060128,0.09169232253086419,0.9083076774691358,0
14,2025-01-23,1.5,0.20833333333333334,1.1691636791374531,0.20833333333333334,0.7916666666666666,0
15,2025-02-23,1.4349074975165215,0.24234995039682541,1.3224716462579746,0.24234995039682541,0.7576500496031746,0
16,2025-02-24,0.21059529525562565,0.05,1.270631044239896,0.05,0.95,0
17,2025-02-08,1.5,0.13350033068783068,1.2839356732956537,0.13350033068783068,0.8664996693121694,0
18,2025-01-21,1.5,0.11101459034792366,1.383495410375918,0.11101459034792366,0.8889854096520764,0
19,2025-03-31,0.5879934992020178,0.13853395061728394,1.2386069795596844,0.13853395061728394,0.8614660493827161,0
20,2025-02-28,1.5,0.0619139010454656,1.2549229830916973,0.0619139010454656,0.9380860989545344,0
21,2025-02-09,0.0,0.05,1.2650319973109667,0.0,1.0,0
