mess_id,previous_origin,previous_destination,next_origin,next_destination,planned_next_departure,old_r2_previous_actual_arrival,old_r2_previous_connection_ready,old_r2_applied_departure,old_r2_departure_shift,old_r2_unnecessary_shift,corrected_previous_actual_arrival,corrected_previous_connection_ready,corrected_actual_next_departure,corrected_shift_slots,arrival_requires_departure_delay,next_departure_before_previous_connection_ready
MESS04,STA08,IDC05,IDC05,IDC12,41,40.505915300786874,42,42,1,True,40.505915300786874,42,41,0,False,True
MESS04,IDC05,IDC12,IDC12,STA03,43,42.99124335309637,44,44,1,True,42.036034189754474,43,43,0,False,False
MESS04,IDC12,STA03,STA03,STA05,45,44.43759088319795,46,46,1,True,43.4193232556995,45,45,0,False,False
MESS04,STA03,STA05,STA05,STA06,47,46.76698342251195,48,48,1,True,45.7569314464188,47,47,0,False,False
