role,model,reference,metric,delta,CI95_low,CI95_high,block_observed_days,N_days,draws
EXPOSED_EVALUATION,C1,C0,Q90_pinball,-0.32553514478345846,-1.77154978084507,0.9975506788385227,1,88,2000
EXPOSED_EVALUATION,C1,C0,coverage,0.004734848484848508,0.0018939393939393367,0.008049242424242431,1,88,2000
EXPOSED_EVALUATION,C1,C0,positive_coverage,0.006116207951070374,0.002372234005208798,0.010726060531132994,1,88,2000
EXPOSED_EVALUATION,C1,C0,burst_coverage,0.03787878787878788,0.0070921985815602835,0.07971014492753623,1,88,2000
EXPOSED_EVALUATION,C1,C0,requirement_ratio,0.08574236921810341,0.05993581846513916,0.11743912420656205,1,88,2000
EXPOSED_EVALUATION,C1,C0,Q90_pinball,-0.32553514478345846,-1.976534917142424,0.9668022417562754,7,88,2000
EXPOSED_EVALUATION,C1,C0,coverage,0.004734848484848508,0.0009469696969697239,0.009469696969697017,7,88,2000
EXPOSED_EVALUATION,C1,C0,positive_coverage,0.006116207951070374,0.0012578418699524447,0.012534056348737048,7,88,2000
EXPOSED_EVALUATION,C1,C0,burst_coverage,0.03787878787878788,0.007872477854330708,0.07353543876567017,7,88,2000
EXPOSED_EVALUATION,C1,C0,requirement_ratio,0.08574236921810341,0.05411203740829016,0.12805689994785224,7,88,2000
EXPOSED_EVALUATION,C2,C0,Q90_pinball,1.2078382748083527,-2.1704375620048326,4.179528469969485,1,88,2000
EXPOSED_EVALUATION,C2,C0,coverage,0.006628787878787845,0.0028409090909091717,0.010890151515151492,1,88,2000
EXPOSED_EVALUATION,C2,C0,positive_coverage,0.008562691131498434,0.003749417701863278,0.014168909504971527,1,88,2000
EXPOSED_EVALUATION,C2,C0,burst_coverage,0.06818181818181818,0.027586206896551724,0.11690221543162709,1,88,2000
EXPOSED_EVALUATION,C2,C0,requirement_ratio,0.21235354424003905,0.1409202861828782,0.30564812386827445,1,88,2000
EXPOSED_EVALUATION,C2,C0,Q90_pinball,1.2078382748083527,-2.1340164223628713,4.361862395707379,7,88,2000
EXPOSED_EVALUATION,C2,C0,coverage,0.006628787878787845,0.0018939393939394478,0.013257575757575801,7,88,2000
EXPOSED_EVALUATION,C2,C0,positive_coverage,0.008562691131498434,0.0025446842806971376,0.016919980724980667,7,88,2000
EXPOSED_EVALUATION,C2,C0,burst_coverage,0.06818181818181818,0.020689655172413793,0.12142857142857141,7,88,2000
EXPOSED_EVALUATION,C2,C0,requirement_ratio,0.21235354424003905,0.12743068009518957,0.32360756472900265,7,88,2000
MAY_HISTORICAL,C1,C0,Q90_pinball,-0.8568937130508516,-6.391000363532443,4.632861983563449,1,31,2000
MAY_HISTORICAL,C1,C0,coverage,0.008064516129032251,0.0026881720430107503,0.014784946236559127,1,31,2000
MAY_HISTORICAL,C1,C0,positive_coverage,0.009389671361502261,0.003115143675237278,0.01666666666666661,1,31,2000
MAY_HISTORICAL,C1,C0,burst_coverage,0.07246376811594203,0.016129032258064516,0.14285714285714285,1,31,2000
MAY_HISTORICAL,C1,C0,requirement_ratio,0.25569883992587394,0.16806033967034242,0.3871289239829443,1,31,2000
MAY_HISTORICAL,C1,C0,Q90_pinball,-0.8568937130508516,-4.437090296096633,2.8570485344058913,7,31,2000
MAY_HISTORICAL,C1,C0,coverage,0.008064516129032251,0.005376344086021501,0.010752688172043001,7,31,2000
MAY_HISTORICAL,C1,C0,positive_coverage,0.009389671361502261,0.006172601723449097,0.012658729362675342,7,31,2000
MAY_HISTORICAL,C1,C0,burst_coverage,0.07246376811594203,0.045454545454545456,0.11363636363636363,7,31,2000
MAY_HISTORICAL,C1,C0,requirement_ratio,0.25569883992587394,0.18245861306193425,0.33659852489529224,7,31,2000
MAY_HISTORICAL,C2,C0,Q90_pinball,0.29381052450946754,-6.877555931999512,6.6188348702375475,1,31,2000
MAY_HISTORICAL,C2,C0,coverage,0.009408602150537626,0.0026881720430107503,0.017473118279569877,1,31,2000
MAY_HISTORICAL,C2,C0,positive_coverage,0.010954616588419341,0.0031201248049922414,0.020408163265306038,1,31,2000
MAY_HISTORICAL,C2,C0,burst_coverage,0.08695652173913042,0.03125,0.14285714285714285,1,31,2000
MAY_HISTORICAL,C2,C0,requirement_ratio,0.2735856283191247,0.17882572803110855,0.42017448165661514,1,31,2000
MAY_HISTORICAL,C2,C0,Q90_pinball,0.29381052450946754,-3.2107390707446513,4.0361443498450775,7,31,2000
MAY_HISTORICAL,C2,C0,coverage,0.009408602150537626,0.0026881720430107503,0.017473118279569877,7,31,2000
MAY_HISTORICAL,C2,C0,positive_coverage,0.010954616588419341,0.00312000330480513,0.02050554168473205,7,31,2000
MAY_HISTORICAL,C2,C0,burst_coverage,0.08695652173913042,0.0394672342621259,0.13415089188205312,7,31,2000
MAY_HISTORICAL,C2,C0,requirement_ratio,0.2735856283191247,0.18022057965273072,0.3689187991917218,7,31,2000
