model,role,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst
C0,DEVELOPMENT,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83
C0,CALIBRATION,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,280.7899284790907,0.9946505125306836,248575.1924999999,247245.44262253822,38
C1,DEVELOPMENT,1392,0.8139367816091954,0.7247608926673751,0.0,161.10387108456047,1.0985330576738896,329015.0525,361433.91164356034,83
C1,CALIBRATION,624,0.8573717948717948,0.8223552894211577,0.05263157894736842,286.6716863180046,1.2169769678277196,248575.1924999999,302510.28404584154,38
C2,DEVELOPMENT,1392,0.8182471264367817,0.7311370882040382,0.024096385542168676,158.1120730121142,1.2268162043940614,329015.0525,403640.9978965628,83
C2,CALIBRATION,624,0.8589743589743589,0.8243512974051896,0.07894736842105263,287.0633199770681,1.2350587752073645,248575.1924999999,307004.9727959847,38
