day,authority_scope_end,source_DAY_RESULT_SHA256,B0_planning_objective,B0_planning_rho,B0_fresh_rho_AC,B0_Fresh_Vmin,B0_Fresh_Vmax,B0_Fresh_voltage_violations,B0_Fresh_line_current_violations,B0_Fresh_transformer_current_violations,B0_Fresh_transformer_kVA_violations,B0_MESS_MOVE,B0_MESS_sum_abs_P,B0_MESS_sum_abs_Q,B0_MESS_throughput_kWh,B0_solver_termination,B0_solver_MIP_gap,B0_unresolved_absolute_gap,B0_source_CASE_RESULT_SHA256,B0_checkpoint_SHA256,B0_schedule_SHA256,B1_planning_objective,B1_planning_rho,B1_fresh_rho_AC,B1_Fresh_Vmin,B1_Fresh_Vmax,B1_Fresh_voltage_violations,B1_Fresh_line_current_violations,B1_Fresh_transformer_current_violations,B1_Fresh_transformer_kVA_violations,B1_MESS_MOVE,B1_MESS_sum_abs_P,B1_MESS_sum_abs_Q,B1_MESS_throughput_kWh,B1_solver_termination,B1_solver_MIP_gap,B1_unresolved_absolute_gap,B1_source_CASE_RESULT_SHA256,B1_checkpoint_SHA256,B1_schedule_SHA256,B2_planning_objective,B2_planning_rho,B2_fresh_rho_AC,B2_Fresh_Vmin,B2_Fresh_Vmax,B2_Fresh_voltage_violations,B2_Fresh_line_current_violations,B2_Fresh_transformer_current_violations,B2_Fresh_transformer_kVA_violations,B2_MESS_MOVE,B2_MESS_sum_abs_P,B2_MESS_sum_abs_Q,B2_MESS_throughput_kWh,B2_solver_termination,B2_solver_MIP_gap,B2_unresolved_absolute_gap,B2_source_CASE_RESULT_SHA256,B2_checkpoint_SHA256,B2_schedule_SHA256,B3_planning_objective,B3_planning_rho,B3_fresh_rho_AC,B3_Fresh_Vmin,B3_Fresh_Vmax,B3_Fresh_voltage_violations,B3_Fresh_line_current_violations,B3_Fresh_transformer_current_violations,B3_Fresh_transformer_kVA_violations,B3_MESS_MOVE,B3_MESS_sum_abs_P,B3_MESS_sum_abs_Q,B3_MESS_throughput_kWh,B3_solver_termination,B3_solver_MIP_gap,B3_unresolved_absolute_gap,B3_source_CASE_RESULT_SHA256,B3_checkpoint_SHA256,B3_schedule_SHA256,B1_B0_AIDC_shifted_workload_nodeh,B1_B0_AIDC_sum_abs_Delta_P,B1_B0_AIDC_max_abs_Delta_P,B1_B0_AIDC_sum_abs_Delta_Q,B1_B0_AIDC_max_abs_Delta_Q,B3_B2_AIDC_shifted_workload_nodeh,B3_B2_AIDC_sum_abs_Delta_P,B3_B2_AIDC_max_abs_Delta_P,B3_B2_AIDC_sum_abs_Delta_Q,B3_B2_AIDC_max_abs_Delta_Q
2025-04-01,2025-04-20,5abb44bdc74226870b8b331aa4a21b96aea27ed2c7dae933be2f00174dd40efd,0.5670071217020519,0.5670071217020519,0.5670020672576839,0.9828918328370533,1.0482301868956658,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,e847e14c7220d718ce90d42bce4eb7c0f8af1419486915a22faba371351b11e5,1057ecb9901fb3114a358b7839432be60fdaf439ced9e596a74c464e773907a4,3c1d0fa371c7dfe7ca4681333d0dc866e1dc3fb7ca35641c9f02f1d588fcb9a3,0.5670036511595943,0.5670036511595943,0.5670001813302211,0.9828894942121035,1.0482324347951946,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,9555ae5fa7aff0cad15bcaaac4c0b6133e6f396f2394866aff1efd60e1b3a995,8353847010ffbaea92d669da21875e69dc3ee5d00e7688ab022174c20726c4ca,e2933424b8a1a347fad827686900eccaa14c3007e396400c598dd29216f447f7,0.5433242969659046,0.5433242969660724,0.5947217272600733,0.9471218570195168,1.049636328715664,82,0,0,0,0,8322.422316840999,57581.14166078401,2080.6055792102497,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.20658770700963613,0.25865223024460143,0.3714713343513068,0.3559756500638375]",0.1934102198079154,e8790ebb30379097b1cd95c9f7a2385e50adb16b329ba36eb04b1cd7cf7a5267,aca9349452798d94e38b67da5f57fd3c4e29b6a3e1b907f574a08cc35f4c403b,02fa66cb9cc9a31077f9fdafe678573c44979411f2ecb08cf2a3c7254c5b3fff,0.5438275585814096,0.5438275585815804,0.5945973549353846,0.9471216543980804,1.0496463545174481,83,0,0,0,0,8247.733255197,57898.089449382,2061.93331379925,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.20660022029455583,0.2593455909353191,0.37056826909572577,0.3530659621979344]",0.19200700024029893,78043c15d69c4c515bfa72863a56321b0c22f3f6a8df5831615249c39a8555ca,d8f15ab9c8cc0c8203b4e091511c0c27c49b533a60b01c8d2fb1eaee8f4845ed,bb9654c15b958b4e210e5c7cce0827bfb7c3f76c741e5585f21c5f47fdfd0073,95.31637565438977,212.1867823001971,7.320756075219705,69.74242267112253,2.4062161598163136,95.31637565438977,212.1867823001971,7.320756075219705,69.74242267112253,2.4062161598163136
2025-04-02,2025-04-20,a755f6ffe30562d47e255915c665f34ef12c03da75476f985ec1539fba0c3629,0.5886085324690455,0.5886085324690455,0.5886030272080948,0.9800241002469132,1.0493773462242824,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,fb721fe3a0a8a31c0ae07dd9261e19d3fc9ba2bb82c7c4657c8b2eda6133b466,84dc76b9ddf278086208dfac43eb16097b771b6ef0df42dfea08a029bc0b576a,9b5470df45ba47af76d95067b0a037500f38f2ad8c93ed8b9aaead3f863b24a7,0.5885884794593548,0.5885884794593548,0.5885862692436019,0.9800154254209786,1.0493369238482912,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,d7dc2ed4b81bfafa9b7a0d026665dfc60c6e8708fc70a9b901ea769a14d5d9b6,fec4c30ff8c96e6952e5f275b0814fd350ee8eabc73594dfe0aab4e7f4f7c9fb,06390c5176453c089f22fddcfd318a8332599df3b1157612c748e2bd40f1167c,0.554342348666039,0.5543423486661732,0.618391938451761,0.9472301539016417,1.049691237445377,86,0,0,0,0,12181.234685042,61819.590323667,3045.3086712605,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.19836961396710104,0.23982100513932633,0.34521137799145857,0.3538769983176202]",0.19616900638627754,2766944e3a30fa4fb79a0f9fb57eaf91a01714f7e6a4eb30114cf5f4487e004a,5fa80818159304864f927f51908eb96f28f9fa67067d728ea346d8fc5a09056b,f616444d18b617cab07285a6f8cf51fe8930b9b7eb7d779d70423c11223c3314,0.5448846351482995,0.5448846351484439,0.5730046535689722,0.9471695464283105,1.049185280993206,72,0,0,0,0,10527.798241264,54055.130053749,2631.949560316,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.1989955984544783,0.22688064872460037,0.3519362469200263,0.3502215487405975]",0.1908303408065929,d231137ad2b9df1471e10e16413f194df38f606a5178f256c7566270b6265821,be17b7b682a3c35057eacd62892a2a7cd1fb985adbf1c877b0d7abc3aea4bb33,46df8626d313b461bde13e4ac7723f9076a51c7c1188843729d8425de5064773,134.15735429905666,313.23195171088344,7.234134293527703,102.95436376152064,2.377744957011881,134.15735429905666,313.23195171088344,7.234134293527703,102.95436376152064,2.377744957011881
2025-04-03,2025-04-20,19ff7e040e693e4aded25be190166e1393230222976f0534f897af82150808f8,0.5780131222992347,0.5780131222992347,0.578012691275339,0.9798286849337372,1.0485322833393471,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,d50d3ad1accf271edc28d704cabc66ec34af6e9df2ce208b62e38c51e22f244d,e08b011351d3781a69062f2f057cd575536a05ddb2c2e8664e8a48c86ff9048a,1453dc84fc5592a6143e232533b2a6428259d24ae018ebeb1e97694c7b24b583,0.5777976818881205,0.5777976818881205,0.5777953219677238,0.9798190256943069,1.0485324213165685,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,26e17eaa59ae3122f182d49897c4bd421277f8909256618add4aa3568f52aa82,114065775b15624e69a6766ec8fcd6d3ab46511fe63ba1ecd9983a93b553b623,879136aba78bcf76e95631d10fb219e81da3905626708b9f93d9a5101d17be71,0.521951252193773,0.5219512521939271,0.6017016164559423,0.9468395823184698,1.0496956563026663,80,0,0,0,0,17526.722481844998,67915.996646149,4381.680620461249,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.17330707043990604,0.18389559085042062,0.2781645780111589,0.30738855934914566]",0.16044184346232648,bd14770ac16ba3983668d651d10be8945200c1bb85a28c0823f3b0e70730b15f,a453943fc817ce3c2522afdc990be20b9ddc183836072f2c57085c05f6b92b23,cd2293983b84103fde5602b2dcf73d586efba45a20a19c4361c2dc4857cebf52,0.5217141928949305,0.521714192895087,0.6013991389942005,0.947093400641387,1.0496942008796306,79,0,0,0,0,17558.141013285,67971.427641652,4389.53525332125,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.17306210014316994,0.1839019935521424,null,0.30718079516994173]",0.1602605806249091,4eea20666c7142edf4d9dd1170ccf78ea7381016dd607024b4fc247264d14e4d,fb1d7281501664ef5c4809a8cee7fc3cd28b24c289bd26053c14ea830bf7fd23,36c1cf83a71c8e04d800bc89976ea1cf01e1271a1bdb4105cff92ee98bf606c5,87.63759179989731,174.45524727419334,7.362514884430638,57.34066684407557,2.419941616655148,87.63759179989731,174.45524727419334,7.362514884430638,57.34066684407557,2.419941616655148
2025-04-04,2025-04-20,052fbb9c4d4d41b9559196af0c7e6bb593de94a55ff02ed64a6401151c85ce17,0.5887477851108596,0.5887477851108596,0.5887472973626195,0.97826431339329,1.0487749086652518,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,765fe68d91b03c47591427c2900c6303a79e0e443ecfee066fe783398fbf9315,ffa0cd761c30689b3f3ac06d998ca5b4e2def8619a05b5c69f982a369ad32d1a,67851c2e18e3e487c3ed4328de4a6aed8aeb5cca0af04a9cd36942f1cb6f5c54,0.5886122537243288,0.5886122537243288,0.5886103917783154,0.9782743119963129,1.048775136870519,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,181af360d433e2eaa66d8f697e1f2778a96319038b415eaf2b74b030f7ccf702,69b688fa88fa05bea843c015c36ed7bcb58f6ef517c9a8cc1d802a96994472ed,01c625ef574abffe454c43b219a09c8ae23eaa4f0c52e7c3a3aa94ffb9f25084,0.5703119275348478,0.570311927534976,0.5867990146629499,0.9469207601975366,1.049723289172226,85,0,0,0,0,8371.010176165,54724.604366103005,2092.75254404125,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.19148635215878143,0.2550191866632354,0.36431708152023684,0.35868933337354486]",0.204564805102456,e971c4ef21aa9944f71aad9e13899e55381b778f10410f43805ae981aba1ba79,1c68b0cbc5d79cd93fbfc1e4febdab03979af824554106ba13d59ebc5f6da5c5,d62b0438ed3f30edc689282bdee68be7d0c71b2890487f8a8a832fbfef598c4d,0.5703831018368267,0.5703831018370059,0.6148020816816764,0.9450031405181099,1.0496890599001194,87,0,0,0,0,9130.941215288,55011.881885168,2282.735303822,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.19136455964651103,0.2551380041808828,0.35811550510110307,0.35812830400428036]",0.20427033289352348,39fd5cbd5d7ece7ee88bcc9c59d1b3aa81efb6676e55bac1f1763387334c0424,2f4c8ec32a26fd72f35e6705afac66497191b09863dd473933f412de8f57febe,e86063ee34c75c100bcd9d1013b03218f13dd522965c094883f62a198084fd2d,90.17626685697552,216.1329523177526,7.108039390294664,71.03946603222643,2.3362995665751143,90.17626685697552,216.1329523177526,7.108039390294664,71.03946603222643,2.3362995665751143
2025-04-05,2025-04-20,8e0c0eb24ebd167fb8f4e754a1252dde52c98961dc32c29cd907377b91efd483,0.5616287392951825,0.5616287392951825,0.5616241417715712,0.9832815677233112,1.0485536909939428,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,f72cc094074e5d03bf35c8d5066b38f03cd115f42b9ba343e7d00a457460ec04,4863fc91a589d208095b042610da31e81eee385b2e66af056926ccfa66a3e7a1,62449dbe19ce5bc03c744fd950a915b7466de4824ced01bc7cfdc33e5c1c3c27,0.5616286990858357,0.5616286990858357,0.561626719917836,0.9834756549144176,1.0484983315979708,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,046b08b8b3b8e2f3bd857922faedefbe8073e277ebe7a39e84c57fc2b9360486,f10dab901c6a5f2898229c5859044b2c2896ea0b1c7871da0f37a2413edbd159,b208215c737c51a6d65913915f23320c79913731f0412f4a053a0651a66cb687,0.5156199350152196,0.515619935015362,0.5663739205209336,0.9472559484207518,1.0496618364343142,94,0,0,0,0,12594.836766653001,56476.831163665,3148.7091916632503,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.1629646980116454,0.17880228735083006,0.28836582066094174,0.3062889639457577]",0.15792869568559054,529db3937ddb9d4a25af4c7b79ce125f25acd5e64a1b9ad33553636dce537e63,42d2d6dfaa213c203fc6e3ff14db984b8234748e813042650d0c7978e9bac459,23ef2890702bbbda7dcd0d9053810bb5ff339d571b2d525273572b1ef1766627,0.5156405386577506,0.5156405386580666,0.5721615039698627,0.9472558078062084,1.0496548752419768,93,0,0,0,0,13950.012385283999,55924.94311522,3487.5030963209997,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.1632132452845253,0.17894730495089323,0.2884022086292811,0.31414530756424486]",0.16198605560923196,19feccaf08f14addf6b64dc4f9a7c8e6aecd81d5e17b05a62b950cff81be35b6,0e3ed9a07eb4ca8df62564a2962ff5adbe67759a6c5f760539904e983a008518,e3314cf8654d26628dd162e96f4fda56a34a53e3e93ada72e25034adfebe0363,134.96846429373193,317.5066928070242,6.279717762600171,104.35940321357694,2.0640434135760515,134.96846429373193,317.5066928070242,6.279717762600171,104.35940321357694,2.0640434135760515
2025-04-06,2025-04-20,93f3f26b09bde7b9f888ac0006521e2ec76cf862c8eb3e9a4d520562f2d39dfe,0.5703661518793225,0.5703661518793225,0.5703613854875792,0.9821595568049174,1.0480415561757277,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,a715b6d9891f9dde59d7100fd1eb19c24a553843a00f13df8c03eef13e2e5b21,18e58cae58465b7f33a3b529dcb256381cc0b090d9ef4facef666e1e208f3d1b,0756f648c20edaf06100199e52b1d1fd7787d9e61755cd8dda1a089b39fcd81e,0.5703657403556276,0.5703657403556276,0.5703612279281444,0.9820905527579131,1.0480177662820587,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,3e0ae1e48f29fb0cafe0176494604b5e53f5481695eb70d41ca588168cb3d7b5,149bdaa9754eea2c9abd84589880506689b028255d0e0f485c8f4bb56bfb8074,fee1f35eaefdb3ea7941d8ca96394e223ff348f06932264c241b5258c276db5b,0.5229121488093338,0.5229121488093436,0.5485988835227684,0.9472176042919654,1.0492857518657308,94,0,0,0,0,10331.279033341001,44712.927091588004,2582.8197583352503,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.15046770923744335,0.16637075473305143,0.29634331977218714,0.29634331977218714]",0.1549615221273659,e2605b73ddc4ddea03d058ece59f91e4fa91e4a53d1aeeec6b00f25bc473bbb0,8709ae48112e6a7181b5ae5640f30bb43a985a576b16b8fb302f32558bf35522,9aecfd1d131f6f07a1c81ef04dba2a76e83a8c55c996442a589603028ef8c534,0.5286286411503708,0.5286286411505612,0.5750649294264346,0.9472535950430421,1.0489625501645734,94,0,0,0,0,8419.773190886,44618.736264473,2104.9432977215,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.15073830962721674,0.14910982574476775,0.31357515402453634,0.3075906079543734]",0.16260120511353682,bac1872155a9d17970e39085caf2c7333634d086c5fbf6236c6808c5122ea274,2f0fc7fb5b5ff9cbf2aacf7533026e8eed2eb6694f174e660c9a1b8e84ea1796,ec98a3fc1728a1b186bcbb83c21403b8eed025f964fe197ce984300c50ca0355,80.90137567996297,183.00829002863506,7.269833382500266,60.15191604837581,2.389478680126526,80.90137567996297,183.00829002863506,7.269833382500266,60.15191604837581,2.389478680126526
2025-04-07,2025-04-20,301b678d2558e94056fde5b6ab0becff1b502f8d3a77b245671d26bf92e2c646,0.6512871029206265,0.6512871029206265,0.6512866231302535,0.9790040308763015,1.0493480115103506,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,89dedc11ef7c9da43133b8ea114e4f05bcd3f7e55c3122a8876adda98baa80b2,ba6fb1281903869993d30e8e8474aee760d77afb392d07d262c95cd01a45754d,a5b5464e6b4ea526efd0db7c601cea80a6f5af7d1add93135a1265cad78e210c,0.651287096636062,0.651287096636062,0.6512866641915595,0.9790062300255927,1.0493478607889923,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,1ca075a7ec4d7a7d4d7d7c024d8ffe297f80293e89397a1198abd6d8be8af41d,0e25ba0be7446341b15401d0e9dbc8335c24d476f39c09d2a8943fd79051e7ad,67191085123a9f39ec96c3e719a10cef1f08700ebf2a008c675aeaca255712e6,0.5805375052254816,0.580537505225689,0.6497617411806542,0.9480515149889296,1.0497758198323062,52,0,0,0,0,11243.650034043,57456.611019403994,2810.91250851075,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.2713631430759272,0.2880458999321493,0.34425150768032753,0.3745680030269101]",0.21745077401453305,26f7b6acc5373498a96b79be7eec2e3d4472011346bd5a2ac553efda53f8c543,5f1a7404983dd03b66d008ebbee732909350c91127bd4ff234b609508879f7dd,92899e7772a022112240a78ceea2770309273b4926b8f3f843b791232ca6a698,0.5637794604820314,0.5637794604821985,0.6705853522786043,0.9450875805947064,1.0498088024662597,62,0,0,0,0,16309.402177433,60898.438806598,4077.35054435825,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.27139604979957893,0.28807199791425964,0.25204449901526316,0.009752200421620652]",0.005498090292213931,f843aa8b70dffdf3b477a18fc7dec4065131274cf1a0eb150610d18ba8047d30,d41387fc7c3b93c37c6dbef3c28dfb992465cb36b8376143bd17b2522e932f31,bdf9f360476231d8a61fe5910ba4a5a5e6284cf84a5cf6ef8a5b357e69793c5a,72.32304472078587,148.98071619999428,7.182791097884291,48.967593393101296,2.360869264694802,72.32304472078587,148.98071619999428,7.182791097884291,48.967593393101296,2.360869264694802
2025-04-08,2025-04-20,c20ffaf13ed27e9c0b2f3581fe116fff620c9524e5367966f951d9cc2e2421c1,0.6322923096440728,0.6322923096440728,0.6322859861079695,0.978613322794473,1.0486365478732713,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,be2535d00b16bd660d14de4a13c9284f76d86e316a0f63b7aa5586994bc1f430,c724fe39a527e09be6db689b82b25796a2e6adbb81003133297a4fa27a1651bf,a69693548e2ec3ddbcd2224c284bf760221504a87e77407f189b649efe9ee023,0.6322858875597762,0.6322858875597762,0.6322801250582885,0.9786330134912966,1.0486202941512341,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,cb41e5978a6fe7edfebb9ea9973a6710941cb763906bcc90813f8e6c1ebf4431,9aaa6fe3e83a96a941b1a91d110379e9a4f85ebe9d8c0a2efa4272b22986fcb7,e5d42540390d12c985896787a9f0ab1c019f20b78b7fc6f3bac3767d38000bd4,0.5475866657492001,0.5475866657493467,0.6191660983055671,0.9443986253559328,1.0497495974933617,73,0,0,0,0,19041.951712424,67037.381302591,4760.487928106,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.21055727531680907,0.2292122316526539,0.316486909015668,0.31262859034066987]",0.17119124740252,4a22aaa9fa381e787faada6ee56bb13f5709a1b3c453a863858a5d962b9cfbce,a6b5a6defdd938b45637cfe5711598a875b85f0051532ec81de455ef24bf4f7a,a061941ae8483135419a912a632f5ae513ff66b70f6a00b5b0b9d2fcbe8e082c,0.5477222743880145,0.5477222743881839,0.619156267312621,0.9443999466923936,1.0497509525659645,75,0,0,0,0,18739.996914068,66226.39836605501,4684.999228517,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.21057856867175997,0.2292219068594202,0.31373135564612914,0.3130396044787704]",0.1714587641386366,6b2db01c07c9d183ec4f478f5a5dcb36a7136dd6344da579b797cc67c8925b3f,b8b339d7b94d418471c70b6a32ab85b4f4dd46e123c7bf13dc7ad131e7079f42,48a3c4273c0c7d226aa1ca081e3d3c4c6fe28dcf4f8c300dcd630007500f7e81,161.92163954969647,367.2534941313037,7.1106547290605135,120.71038609235845,2.3371591868571073,161.92163954969647,367.2534941313037,7.1106547290605135,120.71038609235845,2.3371591868571073
2025-04-09,2025-04-20,68060f4275423cfd483a0111079daaf8be4c90c7ee6892df3e0332e84aca2e68,0.620845507787117,0.620845507787117,0.6208393383676516,0.9797738837894426,1.0487888426663337,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,320a998081e9750df44db9b7606350609b7e6938d3c609e1bd1da50ce3f37792,c72421986bd31f608183677a37b1e6b4a1ad64bcf3d3d7ee7b13ee6545ff8183,a032c94342392b75a1a1e657d4bc34de160dd19c4f69af868354d7dfbe1f66bf,0.6208175307271963,0.6208175307271963,0.6208171669645667,0.9798114121500224,1.0487750205473858,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,0c3e29f00e1acc69472fc08dece5093983c6abc1936d2aca8d82fc641966ab8f,fffae016c62bad70ab13a32c216a70488a144612d5df62fd9e56811132fc357f,fc5dcf5661b0fd3e5daa6e6443d61c720a6b7a87adff1b7f65092aa647b95c53,0.5378401737220853,0.5378401737222288,0.6242109219689138,0.9442912733115264,1.0497083937267893,71,0,0,0,0,15910.836316893,61349.996225840994,3977.70907922325,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.1892311419998992,0.20879757379698763,0.2934507175106655,0.2775984319277525]",0.14930358885300088,0c55024a75ffe0c35c533a67a0c99010822497f7e3ef41977536ba6bfe437a2b,0f3a9355d92caa5f5843fa3e8a4788ba8aeb211b34b6ed43b5942644b2426ce3,341460ced9b8598c321c823dafa8c80b29eafb907ea4a54e5b601c29458cfb63,0.539321950705407,0.5393219507055684,0.6260147883729406,0.9442658899111473,1.049693617575442,75,0,0,0,0,15456.673297886,61715.492166747,3864.1683244715,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.19005448898135904,0.20917910711578727,0.26950790783231415,0.27472265057063217]",0.14816395580871322,5508b0a28b9b17a7ed191e22505bf4dc8a3e01ad9707b8ebf1c262bc5e48a104,d5f1ba425c1b6aefbea4f2bf629d4f6910b5aa5443b661a4bb1e5304d324939b,46c8c6c41c51988e46ede607ab2845e0769aed36731b5b6ae22b385300fab4d1,172.2567143542937,422.4212161832328,7.332216970045792,138.84313944975298,2.4099831737767765,172.2567143542937,422.4212161832328,7.332216970045792,138.84313944975298,2.4099831737767765
2025-04-10,2025-04-20,2382c154194a09fd4807f308d39d64cd699419aae9dbe64fa61cc5b507022bef,0.637146358352602,0.637146358352602,0.6371459149867978,0.980761446161339,1.0487952048109677,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,963963dece3fb2e60d492458a166c7db51a94564fef8a2069ea4cc685d2bf1b2,9eec2719aebf2695d09bc18d3a6cc504cc88cc6e1f2966c9a32f0837cbbf762b,be24a7a014cb9553549e102b450816d3d4d7bfb3248fecb7a5420d4bb0adf290,0.63714635200285,0.63714635200285,0.6371459665554248,0.9807614364513696,1.0488297780798992,0,0,0,0,0,0.0,0.0,0.0,[],[],0.0,856c60ebc55703eeb0b85e33af2813336c4a398c6d6d7d7a599bed4de94e446e,1bef9abc166ea2f2fcfb549def23e3111acaf6402f63c07b52b9d2724f3c09f2,636038ec2023ccb368be0a03e15095022e5a9ce066f1361a84c9290cbbf030bc,0.5801877141980822,0.5801877141982164,0.6390224433645482,0.9444387261206474,1.0496941657399141,85,0,0,0,0,10774.947441614,63134.919830864,2693.7368604035,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.22318582437310858,0.24435636954459863,0.28217534420008533,0.35885427007486587]",0.2082028386849577,6f3d5c8c1c524431fab89bfb6012d919d041c8fbc64987858b4d52d63f85a0b2,05392c24f6adea49ba888c5eac3a7ae9ac87e5d39ee96d290bd5fc1d9a102921,f2b65ceb7823d96ba74982baa5491d3cba16abc5ca29d9116e3633006afb3eee,0.5803543974335905,0.5803543974336969,0.6390224722229657,0.9444387124566236,1.0497052936515383,72,0,0,0,0,8316.30000318,60367.794174337,2079.075000795,"[""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT"",""WORK_LIMIT""]","[0.22327194179799692,0.24439480925332943,0.28249114994406593,0.35921683862643206]",0.2084730719290423,5bfd5477b0b8d53df25122d37ca603e602e79ce9f49ddbd2306d195cc0ebdc4e,492f4c5a5658c26f2b62511ee2c399de74ea0619cb14dec68b4dc21d7d573951,6833e8c6a1c006441a61dd0024fb800e3e0f9927efcc1b3d5ea2342fc033b943,124.6733810573611,260.70343404690016,7.5726137384576475,85.68907493676214,2.4889977704901156,124.6733810573611,260.70343404690016,7.5726137384576475,85.68907493676214,2.4889977704901156
