day,case,classification,checkpoint_code_HEAD,storage_reference_count,forecast_authority_readable,AIDC_schedule_readable,MESS_trajectory_readable,Planning_Fresh_axes_equal,all_numeric_arrays_finite,day_case_identity,schedule_identity,AIDC_schedule_identity,MESS_trajectory_identity,SHA_integrity,Actual_terminal_SoC_capacity_consistent,Actual_terminal_SoC,errors,status
2025-04-07,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-07,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-07,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-08,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-08,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-08,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-08,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-09,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-09,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-09,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-09,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-10,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-10,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-10,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-10,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-11,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-11,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-11,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-11,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-12,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-12,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-12,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-12,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-13,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-13,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-13,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-13,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-14,B0,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-14,B1,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-14,B2,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
2025-04-14,B3,VALID_PASS,fa6976ef4a30ff8ceef63f17fcbfd9a459e37821,12,True,True,True,True,True,True,True,True,True,True,True,"[0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333]",[],PASS
