day,metric,D10_B1_minus_B0,D20_B2_minus_B0,D31_B3_minus_B1,D32_B3_minus_B2,D30_B3_minus_B0,left_residual_D10_plus_D31_minus_D30,right_residual_D20_plus_D32_minus_D30,max_abs_residual,tolerance,status,authority
2025-04-06,fresh_rho_AC,-1.5755943483242163e-07,-0.021762501964810776,0.004703701498290247,0.02646604590366619,0.0047035439388554146,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-06,fresh_losses_kWh,0.034500869815929036,148.71323301741836,147.39614216530015,-1.2825899823022837,147.43064303511608,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-07,planning_objective,-6.2845645354414614e-09,-0.07074959769514488,-0.08750763615403057,-0.016758044743450218,-0.0875076424385951,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-07,planning_rho,-6.2845645354414614e-09,-0.0707495976949375,-0.08750763615386348,-0.01675804474349052,-0.08750764243842801,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-07,fresh_rho_AC,4.1061305910972123e-08,-0.0015248819495993216,0.019298688087044824,0.020823611097950057,0.019298729148350735,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-07,fresh_losses_kWh,0.03289718478060877,203.87030509961585,210.7807155169187,6.9433076020834505,210.8136127016993,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-08,planning_objective,-6.4220842965756475e-06,-0.08470564389487267,-0.08456361317176175,0.00013560863881434404,-0.08457003525605833,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-08,planning_rho,-6.4220842965756475e-06,-0.08470564389472612,-0.08456361317159233,0.00013560863883721463,-0.08457003525588891,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-08,fresh_rho_AC,-5.861049681032959e-06,-0.013119887802402364,-0.013123857745667489,-9.83099294615819e-06,-0.013129718795348522,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-08,fresh_losses_kWh,-0.06444702311046058,247.2856935610721,248.95626417271842,1.6061235885358656,248.89181714960796,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-09,planning_objective,-2.7977059920747394e-05,-0.08300533406503174,-0.08149558002178925,0.0014817769833217476,-0.08152355708171,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-09,planning_rho,-2.7977059920747394e-05,-0.08300533406488819,-0.08149558002162782,0.0014817769833396222,-0.08152355708154857,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-09,fresh_rho_AC,-2.2171403084914054e-05,0.003371583601262218,0.005197621408373876,0.0018038664040267438,0.005175450005288962,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-09,fresh_losses_kWh,-0.019866335706524296,217.59188832655025,218.73317738172,1.1214227194632258,218.71331104601347,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-10,planning_objective,-6.349752057488445e-09,-0.05695864415451979,-0.05679195456925945,0.00016668323550828035,-0.05679196091901151,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
2025-04-10,planning_rho,-6.349752057488445e-09,-0.056958644154385674,-0.05679195456915309,0.00016668323548052477,-0.05679196091890515,0.0,0.0,0.0,1e-10,PASS,ONE_SAME_DAY_SAME_METRIC_CANONICAL_CASE_ROW
