operating_day,status,reasons,D1_demand_vintage,D1_rooftop_PV_vintage,AIDC_cohort,AIDC_per_day_causal,D1_AC_anchor,traffic_Safe_ETA,travel_energy,case_fingerprints
2025-05-01,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-02,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-03,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-04,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-05,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-06,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-07,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-08,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-09,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-10,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-11,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-12,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-13,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-14,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-15,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-16,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-17,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-18,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-19,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-20,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-21,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-22,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-23,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-24,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-25,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-26,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-27,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-28,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-29,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-30,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
2025-05-31,READY,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4
