operating_day,slot15,actual_GPUh,safe_GPUh,shortfall_GPUh,burst_probability,burst_flag,false_negative,actual_N_label_only
2024-12-30,15,22570.464999999975,36.685352146000845,22533.779647853975,0.010521146,False,True,1523
2025-01-08,53,20603.61888888887,1609.3172222222217,18994.301666666648,0.025860475,True,False,1225
2024-12-03,40,20379.681388888806,1609.3172222222217,18770.364166666586,0.055173367,True,False,1752
2025-02-03,71,17252.945277777795,1609.3172222222217,15643.628055555573,0.036161516,True,False,999
2025-01-30,38,16860.66305555557,1609.3172222222217,15251.34583333335,0.11409955,True,False,709
2025-01-24,60,14930.805555555713,1609.3172222222217,13321.488333333491,0.03417731,True,False,1336
2025-01-19,39,13618.387777777796,1609.3172222222217,12009.070555555574,0.034670692,True,False,952
2024-12-20,11,10265.120277777796,1609.3172222222217,8655.803055555574,0.016571242,True,False,483
2025-01-14,34,10246.734444444639,1609.3172222222217,8637.417222222417,0.13530439,True,False,800
2024-12-01,15,10238.736111111131,1609.3172222222217,8629.41888888891,0.02370321,True,False,530
2025-01-07,15,7680.117777777777,1609.3172222222217,6070.800555555555,0.059040416,True,False,8
2024-12-26,10,7219.689166666672,1609.3172222222217,5610.37194444445,0.020234134,True,False,481
2025-01-15,45,6997.862222222223,1609.3172222222217,5388.545000000001,0.035067413,True,False,424
2025-01-18,64,6974.6752777777765,1609.3172222222217,5365.3580555555545,0.028954983,True,False,462
2025-01-07,9,6788.536388888891,1609.3172222222217,5179.2191666666695,0.06069708,True,False,451
2024-12-18,7,4643.464444444445,68.16919747283949,4575.295246971606,0.008472227,False,True,364
2025-02-10,51,5811.230000000002,1609.3172222222217,4201.91277777778,0.022948377,True,False,130
2025-02-23,57,5793.630277777777,1609.3172222222217,4184.313055555555,0.028912159,True,False,27
2025-01-31,30,5630.868333333335,1609.3172222222217,4021.5511111111127,0.06454927,True,False,126
2025-02-07,34,5472.58583333334,1609.3172222222217,3863.268611111118,0.05995355,True,False,114
2025-01-23,22,5315.569999999997,1609.3172222222217,3706.252777777775,0.062057666,True,False,436
2025-01-20,38,5076.498333333334,1609.3172222222217,3467.181111111112,0.04848607,True,False,8
2025-01-25,79,3419.9408333333317,2.4738266766533257,3417.467006656678,0.004621538,False,True,739
2024-12-14,41,3300.385277777776,10.796312291387927,3289.588965486388,0.004983759,False,True,166
2025-01-31,8,4815.825833333333,1609.3172222222217,3206.5086111111113,0.05618131,True,False,7
2025-01-29,7,4808.4925,1609.3172222222217,3199.1752777777783,0.035326518,True,False,10
2025-01-20,26,4808.236944444436,1609.3172222222217,3198.9197222222137,0.057688516,True,False,338
2024-12-30,76,3135.7977777777796,0.0,3135.7977777777796,0.009284692,False,True,359
