N,MAE,RMSE,WAPE,bias,role,model,large_count_N,N_high,P90_coverage,large_count_recall_using_P90,large_count_PR_AUC,large_count_ROC_AUC,probability_Brier,mean_NB_log_likelihood
5568,10.686108117816092,46.86199278079255,1.608375682543115,-0.32338062739463624,DEVELOPMENT,N0,37,180.84999999999945,0.7934626436781609,0.05405405405405406,0.007825085825158881,0.5166946009469965,0.008237797333971904,
5568,11.804730143555865,41.139454910682744,1.7767404833032128,2.162239286551101,DEVELOPMENT,N1,37,180.84999999999945,0.9583333333333334,0.0,0.013261310294964052,0.6735525074885047,0.006687310774007144,-2.0564192058116286
2496,11.573417467948717,75.67423024486341,1.5585244132721878,-0.9720552884615387,CALIBRATION,N0,15,180.84999999999945,0.7704326923076923,0.0,0.006009615384615385,0.48851269649334944,0.007665041844729344,
2496,10.219133404507586,71.78536585098091,1.3761509024899343,-1.3697379622539654,CALIBRATION,N1,15,180.84999999999945,0.9647435897435898,0.0,0.01177198892173078,0.608652425097407,0.006029489019256083,-2.2025829166026143
8448,29.229817708333332,104.45995863093154,1.7105040765293047,-0.12458570075757668,EXPOSED_EVALUATION,N0,175,180.84999999999945,0.779592803030303,0.06285714285714286,0.02116082338360564,0.500033154323013,0.02555174137205387,
8448,22.69590168218446,93.95904700110869,1.3281448668363385,-5.966551539827333,EXPOSED_EVALUATION,N1,175,180.84999999999945,0.9343039772727273,0.04,0.033697341213717896,0.5104225449396488,0.020621749626746448,-2.8914386194635058
