job_uid,B0_start_slot,B0_end_slot,B0_AIDC_site,B0_migration_selected,B1_start_slot,B1_end_slot,B1_AIDC_site,B1_migration_selected,delta_start,site_changed,migration_changed,T_DA_seconds,requested_GPU
8206515,0,189,AIDC04,False,0,189,AIDC04,False,0,False,False,170034,4
8568682,0,13,UNASSIGNED,False,0,13,UNASSIGNED,False,0,False,False,11301,4
8571138,0,67,AIDC03,False,0,67,AIDC03,False,0,False,False,59643,4
8571147,0,67,AIDC03,False,0,67,AIDC03,False,0,False,False,59653,4
8571212,0,67,AIDC03,False,0,67,AIDC03,False,0,False,False,59658,4
8571220,0,67,AIDC03,False,0,67,AIDC03,False,0,False,False,59658,4
8571235,0,67,AIDC03,False,0,67,AIDC03,False,0,False,False,59658,4
8571245,0,150,AIDC04,False,0,150,AIDC04,False,0,False,False,134831,4
8571256,0,188,AIDC04,False,0,188,AIDC04,False,0,False,False,169091,4
8571265,0,188,AIDC04,False,0,188,AIDC04,False,0,False,False,169093,4
8571280,0,188,AIDC04,False,0,188,AIDC04,False,0,False,False,169093,4
8571292,0,476,AIDC04,False,0,476,AIDC04,False,0,False,False,428293,4
8589184,0,134,AIDC04,False,0,134,AIDC04,False,0,False,False,120053,4
8615869,0,232,AIDC05,False,0,232,AIDC05,False,0,False,False,208360,4
8620025,0,307,AIDC06,False,0,307,AIDC06,False,0,False,False,275711,4
8620712,0,327,AIDC06,False,0,327,AIDC06,False,0,False,False,293470,4
8632471,0,11,UNASSIGNED,False,0,11,UNASSIGNED,False,0,False,False,9678,1
8632477,0,11,UNASSIGNED,False,0,11,UNASSIGNED,False,0,False,False,9678,1
8632478,0,11,UNASSIGNED,False,0,11,UNASSIGNED,False,0,False,False,9678,1
8632483,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632484,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632485,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632486,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632487,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632488,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632489,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632490,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632491,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632492,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632493,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632494,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632495,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632496,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632497,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632498,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632499,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632500,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632501,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632502,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632503,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632504,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632505,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632506,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632507,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632508,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632509,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
8632510,0,25,AIDC01,False,0,25,AIDC01,False,0,False,False,22012.74609375,1
