day,policy,forecast_artifact,forecast_SHA,forecast_canonical_SHA,route_cache_SHA,route_canonical_SHA,checkpoint_SHA,model_SHA,data_SHA,graph_SHA,normalization_SHA,safe_eta_calibration_SHA,identity_status,M1_identity_SHA,M1_receipt_SHA,final_decision_SHA,departures_matched
2025-05-06,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-06\TRAFFIC_FORECAST.npz,1a8d5b1cf760848cf0eef3e39c5793b9b73e11056a66f50ea9d417c23264c6f2,6225dcdea702b04881232da498f34c0212dd3b6c765832764b41c5833ab813e0,b2595c909083608b4b3f11912c2096da03bddd95256e53c1bbd0d4f6c901a3d8,0c45bb7eb925ea271c3e7aeb7bbd2f31ef47f9d986cd672b43a3461e042809b4,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,bc0976e7793bd699129624163925e1c6a4332e30b4d02cfe7c9078332c276025,8ec30610bc513f150364c490568e508a9a8329f805e9bf81f492eac034a14950,093bc9f0e89f75448f65a2047bd71c2daf289ff3e7ead9d04634f6bea6a1fa8d,2
2025-05-06,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-06\TRAFFIC_FORECAST.npz,1a8d5b1cf760848cf0eef3e39c5793b9b73e11056a66f50ea9d417c23264c6f2,6225dcdea702b04881232da498f34c0212dd3b6c765832764b41c5833ab813e0,b2595c909083608b4b3f11912c2096da03bddd95256e53c1bbd0d4f6c901a3d8,0c45bb7eb925ea271c3e7aeb7bbd2f31ef47f9d986cd672b43a3461e042809b4,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,96ac7df968c47325d653a1a97cff60e3e84f0d68330bbed74482703ae1dbad60,f667cc1f844e747ffa81f963e8c4d838782f341341dcede464a00106c01c26ff,316df770b144fd370b599d09518a107e62cf9fc910105626ad11385c7d9b81f5,1
2025-05-07,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-07\TRAFFIC_FORECAST.npz,982792de6ad8fd8f56f706a5cf412be4238c5582dcd536944a3f661b510cc433,4372d4184c681cca70e4b51576d541557c8608de410b566ef0ca9d10313e11dc,d65f515363edbd487194025f1f858581166e3ce29ef48eee48d57fe2f610bec0,b2c9bcfb1b35a72402c9cebeb2425d01d3f5ee7573b9f6a38fd830c7f2e116eb,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,23c11b1946b4df7a8e7d640f0f46e0e31d31d41cd4890d2b5199ef5eb8c1b21a,ec0944590112b5b2ba810c9e169f0cf843f46ab0090567a84a799bf0b4be5373,1d90de4fadcea1dd902f4bfd312d04ab1a3800575701666ff7f17fe8a7add548,2
2025-05-07,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-07\TRAFFIC_FORECAST.npz,982792de6ad8fd8f56f706a5cf412be4238c5582dcd536944a3f661b510cc433,4372d4184c681cca70e4b51576d541557c8608de410b566ef0ca9d10313e11dc,d65f515363edbd487194025f1f858581166e3ce29ef48eee48d57fe2f610bec0,b2c9bcfb1b35a72402c9cebeb2425d01d3f5ee7573b9f6a38fd830c7f2e116eb,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,03bc637029a5609c26093f8d643ffdf926f18df4752a96f5dad29fd12ab8781c,e2f11775a6e377748f9d1111e1be59a9165a3d838e00847bd8249bc5bc25ad8f,7686163732eba9b6d7338a556ba7761a514cb8ec4dc6f1afecd89d533afee908,1
2025-05-08,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-08\TRAFFIC_FORECAST.npz,1d6394e5ec9b63be31080b240ad195c5029b8ed70b27ae29d450a5876cec74d3,4151f423cf6d0da28639b739131078e589762752be9223d7f4f4ff60d329f79b,815a903bbc7f0a8d6aea4c4590995322e53c5204c869af6fceb9bdd4e5b61a00,b32c2ecc4ad4e2e1f2c5290312f3746aacbe8ab7a511148e93bbcdcfff0da245,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,0da400825b855dc0bfe667361bd5d47ba9cd83b7c9f0a84965b731c4910da84b,7e20b6fff9e2648ac9304a9d1e2573633ec4608a57245dd08908cfebc36d5796,829b71844fba0182531dd3f096faae0a7c5602aab80d0e0458a54e87a71f9cb2,2
2025-05-08,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-08\TRAFFIC_FORECAST.npz,1d6394e5ec9b63be31080b240ad195c5029b8ed70b27ae29d450a5876cec74d3,4151f423cf6d0da28639b739131078e589762752be9223d7f4f4ff60d329f79b,815a903bbc7f0a8d6aea4c4590995322e53c5204c869af6fceb9bdd4e5b61a00,b32c2ecc4ad4e2e1f2c5290312f3746aacbe8ab7a511148e93bbcdcfff0da245,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,d35cacbf499c4e4f9e1cae4f397634422c051a4dcf2618f93167ae1af1c6d19c,aeb2d01e3b5f931078659fd11954847d0b913b12453d848c368608b17c7e19c1,e0ae83b730298f71824a2e0e52a686d56eb9ef8dd93648fdc16e9b499e7d1647,1
2025-05-09,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-09\TRAFFIC_FORECAST.npz,476af042e1d69a0dfcb9ecbbe9ea3823289ae41c98ffe427875e50e72be99eb9,645f99c43176e05e3facf9b02fd59765ba8eeba1e91a0ab17563bf2e590b38a0,49a6fda54228acc49bf3c60d72789fe011da7f98b2d162fbec357e41dd51aaeb,caa04e77e1cb312e19b1c94ef0045c1ab85f50ff2ea5e98fb85e04f0d443737c,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,76bb408e6a4270b5bc942e72d8ba3a8e87e0a799d8ed90730517668a95c781e6,07598333e50fc1a6ced87800e0c56c82d4bcaab356606bfb3f331a09b2837fa3,bed98dc74c1675a211f2da708df21eca19bbd3935d881b58e6ce0c6e761a9f5a,2
2025-05-09,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-09\TRAFFIC_FORECAST.npz,476af042e1d69a0dfcb9ecbbe9ea3823289ae41c98ffe427875e50e72be99eb9,645f99c43176e05e3facf9b02fd59765ba8eeba1e91a0ab17563bf2e590b38a0,49a6fda54228acc49bf3c60d72789fe011da7f98b2d162fbec357e41dd51aaeb,caa04e77e1cb312e19b1c94ef0045c1ab85f50ff2ea5e98fb85e04f0d443737c,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,4a16bff60f8c0dafa15a91510a53b16b0fcc9782dadfaf7bf8f45b93abba7f53,489ee496ae62c4c3546216bd09d7da1f1b7e76522fc7de9594e1ff023782548f,2e351b0b08c13dc54a3809d27d158ed733f263e418608fee99111e677383c9f2,1
2025-05-10,B2,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-10\TRAFFIC_FORECAST.npz,d43807d088adef9dd879aa874eea5a86ae5953b3f50fe3ebd971ce607d21ac1d,7ae69a361e9a4c434a7ddfc5e0f2282c927a6c5653044f4eee42ef1cff4ab4b5,03d7625940077c48ef70d3c0046d03849a1d8c245ae2cc599bea8a22d154aff6,3a51aad482fcd532dc4c386d32747221356e4d36452131b4791d28242048f14a,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,c28791290432527c64f4bf1fcef324ef3f7d3d841cee486a7919a3c22f516eb9,8ca8aa17ec3a3ad71bfb94768e81ae72b6cd8b5e423080f43e829c55ff9eab91,25ab0b2eec5d1b257c35113339d0462c4aa7d87317f53c07dfb941321e502761,2
2025-05-10,B3,C:\codex_mobileess_workspace\MobileESS_v40a_bounded_iterative_coopt\dayahead\cache\v37_may_locked_final\traffic\shared\traffic\2025-05-10\TRAFFIC_FORECAST.npz,d43807d088adef9dd879aa874eea5a86ae5953b3f50fe3ebd971ce607d21ac1d,7ae69a361e9a4c434a7ddfc5e0f2282c927a6c5653044f4eee42ef1cff4ab4b5,03d7625940077c48ef70d3c0046d03849a1d8c245ae2cc599bea8a22d154aff6,3a51aad482fcd532dc4c386d32747221356e4d36452131b4791d28242048f14a,3da2ced5322dd2bf6d02a665043ce182db60cc82b671d9ac92d7eebd3963520b,93a30f54be207f6579a51af32ab6f84fbbb2608ffead3da6332886847a6163e6,c2e532212eba796b652bdd283a8127c2343b9305146d387975f4c69c2a848183,658fb2e56867a50597e9a21899748d8171439deda852e7db4f3339a99f71dd3d,1572bb955df254e71ef0dc81b2264885f676f9cfad854f497155c795c2d417c2,353f124bdda33b1fd408f4f810b762f433bbe25d8c5c13b191fe1b0d6e36ff99,PASS,1fa90c581a73f3458668f0da662ab23e60903a4e6132d553704329822cd5c8b0,38b0b923e50241736a740214effda56030b6c8eb5d613f51dd23c8c7c90929cd,5e3a0eef2d62979e962c752c22554e7c45bdaa92ddef4def88e948738ddacc7f,1
