validation_month,train_label_cutoff_aest,validation_label_cutoff_aest,train_row_count,candidate,fixed_train_factor,validation_row_count,validation_requested_nodeh,validation_realized_nodeh,predicted_nodeh,MAE_nodeh,WAPE_vs_realized,bias_prediction_minus_realized_over_realized,overstatement_ratio_prediction_over_realized,fraction_realized_ge_prediction
2024-03,2024-03-01T00:00:00+10:00,2024-04-01T00:00:00+10:00,81,RAW_WALLCLOCK_REQ,1.0,6538,22276.583333333336,2056.709722222222,22276.583333333336,3.09792643859828,9.847886085583028,9.831175198250174,10.831175198250175,0.03150810645457326
2024-03,2024-03-01T00:00:00+10:00,2024-04-01T00:00:00+10:00,81,HISTORICAL_MEDIAN_REALIZATION_FRACTION,0.0020833333333333333,6538,22276.583333333336,2056.709722222222,46.40954861111111,0.3095196830070358,0.9839209031955708,-0.9774350516703123,0.02256494832968786,0.9275007647598654
2024-03,2024-03-01T00:00:00+10:00,2024-04-01T00:00:00+10:00,81,HISTORICAL_P25_REALIZATION_FRACTION,0.0006944444444444445,6538,22276.583333333336,2056.709722222222,15.469849537037037,0.3126150450216965,0.9937606373268345,-0.9924783505567709,0.007521649443229287,0.9557968797797491
2024-03,2024-03-01T00:00:00+10:00,2024-04-01T00:00:00+10:00,81,FIXED_SIMPLE_LIGHTGBM_Q50_RATIO,,6538,22276.583333333336,2056.709722222222,1148.2274300204267,0.38030657712586025,1.2089427955649157,-0.4417163406123271,0.5582836593876731,0.4106760477210156
2024-04,2024-04-01T00:00:00+10:00,2024-05-01T00:00:00+10:00,6619,RAW_WALLCLOCK_REQ,1.0,75133,141261.19999999998,16148.309444444443,141261.19999999998,1.7652883996823407,8.213331171887031,7.747739228430414,8.747739228430413,0.025754328989924535
2024-04,2024-04-01T00:00:00+10:00,2024-05-01T00:00:00+10:00,6619,HISTORICAL_MEDIAN_REALIZATION_FRACTION,0.01888888888888889,75133,141261.19999999998,16148.309444444443,2668.2671111111104,0.19842680707939647,0.9232174641925308,-0.8347649256852033,0.16523507431479667,0.7547815207698348
2024-04,2024-04-01T00:00:00+10:00,2024-05-01T00:00:00+10:00,6619,HISTORICAL_P25_REALIZATION_FRACTION,0.01188888888888889,75133,141261.19999999998,16148.309444444443,1679.4387111111114,0.20301343706050157,0.9445576095220424,-0.8959991002842161,0.10400089971578383,0.8085395232454448
2024-04,2024-04-01T00:00:00+10:00,2024-05-01T00:00:00+10:00,6619,FIXED_SIMPLE_LIGHTGBM_Q50_RATIO,,75133,141261.19999999998,16148.309444444443,4928.503746196077,0.19737530212930893,0.9183251426967902,-0.6947975413059942,0.3052024586940057,0.4232361279331319
2024-05,2024-05-01T00:00:00+10:00,2024-06-01T00:00:00+10:00,81752,RAW_WALLCLOCK_REQ,1.0,158703,193239.43333333335,50147.14611111112,193239.43333333335,0.9460390792864658,2.9939737680652097,2.853448268126214,3.853448268126214,0.01455549044441504
2024-05,2024-05-01T00:00:00+10:00,2024-06-01T00:00:00+10:00,81752,HISTORICAL_MEDIAN_REALIZATION_FRACTION,0.02888888888888889,158703,193239.43333333335,50147.14611111112,5582.472518518519,0.29890945327412183,0.9459726154277032,-0.8886781611430205,0.11132183885697951,0.7294254046867419
2024-05,2024-05-01T00:00:00+10:00,2024-06-01T00:00:00+10:00,81752,HISTORICAL_P25_REALIZATION_FRACTION,0.018518518518518517,158703,193239.43333333335,50147.14611111112,3578.508024691358,0.3022059977239884,0.9564053425996139,-0.9286398468865514,0.0713601531134484,0.8627310132763716
2024-05,2024-05-01T00:00:00+10:00,2024-06-01T00:00:00+10:00,81752,FIXED_SIMPLE_LIGHTGBM_Q50_RATIO,,158703,193239.43333333335,50147.14611111112,34712.431445368646,0.30295298965144274,0.958769382610986,-0.3077884957110768,0.6922115042889231,0.45488743123948505
2024-06,2024-06-01T00:00:00+10:00,2024-07-01T00:00:00+10:00,240459,RAW_WALLCLOCK_REQ,1.0,8901,230898.9,32215.405277777776,230898.9,22.335425826061993,6.171197399615379,6.167344256856962,7.167344256856961,0.0295472418829345
