day,cutoff_fixed_aest,cutoff_known_strict_fullnode_queued_job_count,cutoff_known_requested_service_nodeh,pre_day_queue_bridge_v1_reference_service_nodeh,D0_0000_predicted_carryin_nodeh,D0_realized_queued_service_nodeh_ex_post,D0_new_strict_fullnode_requested_service_nodeh,D0_total_flexible_requested_service_nodeh,carryin_fraction_of_D0_total_flexible_service,node_class_job_count_json,node_class_queue_nodeh_json,node_class_predicted_carryin_nodeh_json,requested_wallclock_P25_hours,requested_wallclock_P50_hours,requested_wallclock_P75_hours,requested_wallclock_P90_hours,requested_wallclock_P95_hours,queue_age_P25_hours,queue_age_P50_hours,queue_age_P75_hours,queue_age_P90_hours,queue_age_P95_hours,N01_queue_job_count,N01_queue_nodeh,N01_predicted_carryin_nodeh,N02_queue_job_count,N02_queue_nodeh,N02_predicted_carryin_nodeh,N04_queue_job_count,N04_queue_nodeh,N04_predicted_carryin_nodeh,N08_queue_job_count,N08_queue_nodeh,N08_predicted_carryin_nodeh,N16_queue_job_count,N16_queue_nodeh,N16_predicted_carryin_nodeh
2024-01-01,2023-12-31T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-02,2024-01-01T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-03,2024-01-02T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-04,2024-01-03T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-05,2024-01-04T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-06,2024-01-05T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-07,2024-01-06T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-08,2024-01-07T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-09,2024-01-08T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
2024-01-10,2024-01-09T18:00:00+10:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},{},"{""1"":0.0,""16"":0.0,""2"":0.0,""4"":0.0,""8"":0.0}",,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
