day,case,slot,da_authorized_nodeh,actual_available_nodeh,executed_original_rack_nodeh,executed_same_site_recourse_nodeh,executed_cross_site_recourse_nodeh,source_unavailable_nodeh,true_rack_capacity_limit_nodeh,grid_safety_blocked_nodeh,other_explicit_nodeh,terminal_backlog_nodeh,executed_total_nodeh,authorization_identity_error_nodeh,planning_Vmin_pu,planning_Vmax_pu,planning_rho_max,planning_transformer_kva_loading_max,planning_voltage_violation,planning_current_violation,planning_transformer_violation
2025-04-04,B1,0,12.653253688440104,9.594523400010381,0.8833341724546622,0.5447310064883301,1.6101292655014612,3.0587302884297234,6.556328955565927,4.440892098500626e-16,0.0,74.96069444444443,3.0381944444444535,0.0,0.9822955006868793,1.0372609314834447,0.5160690991454583,0.4669780341170269,False,False,False
2025-04-04,B1,1,4.783914079465716,4.783914079465716,0.32397125208603983,0.663689484493236,1.2471309300873903,0.0,2.549122412799049,8.881784197001252e-16,0.0,74.93034722222221,2.2347916666666663,0.0,0.9884430887987665,1.045344212968152,0.5181422573500689,0.4636314020431695,False,False,False
2025-04-04,B1,2,3.54111118232319,2.9705321989849276,0.27879097300772904,0.23530156756655296,1.7361157927590505,0.5705789833382626,0.7203238656515945,8.881784197001252e-16,0.0,72.79291666666666,2.2502083333333323,0.0,0.9891755058870833,1.0464843548791667,0.5052492109926494,0.45599816190418907,False,False,False
2025-04-04,B1,3,2.670098254112731,2.670098254112731,0.49067258574112815,0.3853815653200459,1.3099875156054943,0.0,0.48405658744606317,0.0,0.0,70.61437499999998,2.1860416666666684,-4.440892098500626e-16,0.9887776941358115,1.0457303208437938,0.5066262886913481,0.4611813183898113,False,False,False
2025-04-04,B1,4,1.6041920902406135,1.5881082546578655,0.2908828128850498,0.2446290472897319,1.0525963944830843,0.016083835582747952,0.0,0.0,0.0,69.03376674534212,1.588108254657866,-4.440892098500626e-16,0.9893828490179596,1.0466070246342407,0.4960620294062568,0.45633454432530457,False,False,False
2025-04-04,B1,5,1.7232089083342506,1.7232089083342506,0.2518086071512108,0.48357294715590593,0.9878273540271335,0.0,6.661338147750939e-16,0.0,0.0,67.31055783700786,1.7232089083342501,-2.220446049250313e-16,0.9888520343529826,1.045799828372728,0.49741196920344777,0.4487970270847,False,False,False
2025-04-04,B1,6,4.4212331142926615,2.364142473793602,0.4380479549155372,0.507328396330978,1.418766122547089,2.0570906404990597,0.0,0.0,0.0,64.94641536321426,2.364142473793604,-1.7763568394002505e-15,0.9893627094713267,1.046624862770907,0.4888728134919886,0.442848217661979,False,False,False
2025-04-04,B1,7,2.5068251706381903,1.3385939615898956,0.08882985324025763,0.09938168209577858,1.1503824262538598,1.1682312090482947,2.220446049250313e-16,0.0,0.0,63.60782140162436,1.338593961589896,-4.440892098500626e-16,0.9889971242913078,1.0459263503017917,0.48681548933064256,0.43489361483138667,False,False,False
2025-04-04,B1,8,2.241106568144769,0.5881408400299326,0.018455859882609674,0.0,0.5696849801473229,1.6529657281148362,0.0,0.0,0.0,63.4963472282611,0.5881408400299326,0.0,0.9894872180628584,1.0465615759523914,0.47894388113047165,0.44229986985447134,False,False,False
2025-04-04,B1,9,1.5489377593160547,1.5489377593160547,0.1183009491872416,0.2543869205666106,1.1762498895622022,0.0,0.0,2.220446049250313e-16,0.0,61.94740946894505,1.5489377593160545,0.0,0.9888827161104153,1.0457572319230246,0.4823879180118907,0.4354641019036941,False,False,False
2025-04-04,B1,10,0.9247146974340602,0.9247146974340602,0.16495444332977557,0.0,0.7597602541042847,0.0,0.0,0.0,0.0,61.022694771510984,0.9247146974340603,-1.1102230246251565e-16,0.9890824378364386,1.0460189735308867,0.47914308031746533,0.4321594381196541,False,False,False
2025-04-04,B1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.022694771510984,0.0,0.0,0.9896084869439522,1.0467300048156756,0.47565955195809984,0.4352438278164687,False,False,False
2025-04-04,B1,12,4.886052376594165,3.7611296420946334,0.9663065644569511,0.622224438456074,2.1725986391816083,1.1249227344995316,1.3322676295501878e-15,0.0,0.0,57.28156512941635,3.7611296420946334,-1.7763568394002505e-15,0.9888492478539352,1.0461180793477771,0.48586888952171375,0.4426850013004237,False,False,False
2025-04-04,B1,13,3.315463504939693,2.8303704106755125,0.8631761740795315,0.8562506464563817,1.110943590139598,0.48509309426418046,8.881784197001252e-16,4.440892098500626e-16,0.0,54.45119471874084,2.8303704106755116,-4.440892098500626e-16,0.988407286770739,1.0453916461700765,0.48524760416903207,0.4380994237538016,False,False,False
2025-04-04,B1,14,2.7050182434367205,1.6500885869791817,0.029263932625762462,0.056580994522713826,1.5642436598307061,1.0549296564575388,0.0,0.0,0.0,52.8080505762061,1.6500885869791824,-8.881784197001252e-16,0.9883860000362048,1.0450772897455352,0.4879379034710568,0.4408161079110957,False,False,False
2025-04-04,B1,15,1.9005670595976518,1.9005670595976518,0.24299021823622746,0.27847123619573244,1.3791056051656922,0.0,0.0,0.0,0.0,58.828872405497336,1.9005670595976523,-4.440892098500626e-16,0.988339325936898,1.0449717772201603,0.4875921543927611,0.44419049380027215,False,False,False
2025-04-04,B1,16,3.03019404193711,2.2266363746795443,0.5501903541150583,0.39040603581419686,1.286039984750289,0.8035576672575657,4.440892098500626e-16,0.0,0.0,56.60223603081779,2.2266363746795443,-4.440892098500626e-16,0.9875671606194077,1.0438062297447726,0.49993422624488726,0.45913829635849435,False,False,False
2025-04-04,B1,17,1.156100195717178,1.156100195717178,0.23663892205023188,0.0,0.9194612736669462,0.0,0.0,0.0,0.0,55.44613583510061,1.1561001957171781,-2.220446049250313e-16,0.9881042202806082,1.0445359841719895,0.4964839547910625,0.45222840514407203,False,False,False
