day,case,slot,aidc_id,rack_id,h_REC_nodeh,leverage_pu_per_kw,grid_effective_contribution
2025-04-04,B1,0,AIDC01,AIDC01_LP01,0.46263791397252396,0.0006980364630815757,0.0003229381331568189
2025-04-04,B1,0,AIDC01,AIDC01_LP02,0.4874453508869111,0.0006980364630815757,0.000340254628678657
2025-04-04,B1,0,AIDC01,AIDC01_LP03,0.549227590711808,0.0006980364630815757,0.0003833808848472857
2025-04-04,B1,0,AIDC01,AIDC01_LP04,0.7254082455523523,0.0006980364630815757,0.0005063614060155751
2025-04-04,B1,0,AIDC02,AIDC02_LP01,0.8224674026178204,0.0007154654685699712,0.000588447025597486
2025-04-04,B1,0,AIDC02,AIDC02_LP02,0.866569512687842,0.0007154654685699712,0.0006200005624436585
2025-04-04,B1,0,AIDC02,AIDC02_LP03,0.976404605709881,0.0007154654685699712,0.000698583778738098
2025-04-04,B1,0,AIDC02,AIDC02_LP04,1.2896146587597377,0.0007154654685699712,0.0009226747561042393
2025-04-04,B1,0,AIDC03,AIDC03_LP01,0.8481695089496274,0.0007128936759553846,0.0006046546790683733
2025-04-04,B1,0,AIDC03,AIDC03_LP02,0.8936498099593372,0.0007128936759553846,0.0006370772980387428
2025-04-04,B1,0,AIDC03,AIDC03_LP03,1.0069172496383147,0.0007128936759553846,0.0007178249394775439
2025-04-04,B1,0,AIDC03,AIDC03_LP04,1.3299151168459795,0.0007128936759553846,0.0009480880763569652
2025-04-04,B1,0,AIDC04,AIDC04_LP01,0.3726805418111998,0.0007143129303330354,0.0002662105298992614
2025-04-04,B1,0,AIDC04,AIDC04_LP02,0.3926643104366784,0.0007143129303330354,0.0002804851942252244
2025-04-04,B1,0,AIDC04,AIDC04_LP03,0.4424333369622898,0.0007143129303330354,0.00031603585340255646
2025-04-04,B1,0,AIDC04,AIDC04_LP04,0.5843566422505062,0.0007143129303330354,0.00041741350548553233
2025-04-04,B1,0,AIDC05,AIDC05_LP01,0.5782973924656549,0.0007120362238247687,0.0004117686915789552
2025-04-04,B1,0,AIDC05,AIDC05_LP02,0.6093066886086389,0.0007120362238247687,0.0004338484337080695
2025-04-04,B1,0,AIDC05,AIDC05_LP03,0.6865344883897602,0.0007120362238247687,0.0004888374246385143
2025-04-04,B1,0,AIDC05,AIDC05_LP04,0.9067603069404405,0.0007120362238247687,0.0006456461848680595
2025-04-04,B1,0,AIDC06,AIDC06_LP01,0.7453610836223996,0.0007148367318544416,0.0005328114810681213
2025-04-04,B1,0,AIDC06,AIDC06_LP02,0.7853286208733568,0.0007148367318544416,0.0005613817447768662
2025-04-04,B1,0,AIDC06,AIDC06_LP03,0.8848666739245796,0.0007148367318544416,0.0006325352013151563
2025-04-04,B1,0,AIDC06,AIDC06_LP04,1.1687132845010124,0.0007148367318544416,0.000835439184767574
2025-04-04,B1,0,AIDC07,AIDC07_LP01,0.23131895698626198,0.0007116470090842543,0.0001646174438837626
2025-04-04,B1,0,AIDC07,AIDC07_LP02,0.24372267544345555,0.0007116470090842543,0.00017344451302534757
2025-04-04,B1,0,AIDC07,AIDC07_LP03,0.274613795355904,0.0007116470090842543,0.00019542808611830459
2025-04-04,B1,0,AIDC07,AIDC07_LP04,0.36270412277617614,0.0007116470090842543,0.0002581173041561939
2025-04-04,B1,0,AIDC08,AIDC08_LP01,0.6811058177928825,0.0007118595769876473,0.0004848516993378669
2025-04-04,B1,0,AIDC08,AIDC08_LP02,0.7176278776946192,0.0007118595769876473,0.0005108502774502347
2025-04-04,B1,0,AIDC08,AIDC08_LP03,0.8085850641034952,0.0007118595769876473,0.0005755990216912438
2025-04-04,B1,0,AIDC08,AIDC08_LP04,1.0679621392854077,0.0007118595769876473,0.0007602390767105332
2025-04-04,B1,0,AIDC09,AIDC09_LP01,1.5292753267425097,0.0007097850947136372,0.0010854568326351607
2025-04-04,B1,0,AIDC09,AIDC09_LP02,1.6112776876539563,0.0007097850947136372,0.0011436608861414338
2025-04-04,B1,0,AIDC09,AIDC09_LP03,1.81550231374181,0.0007097850947136372,0.001288616481712058
2025-04-04,B1,0,AIDC09,AIDC09_LP04,2.3978772561313866,0.0007097850947136372,0.0017019775353548927
2025-04-04,B1,0,AIDC10,AIDC10_LP01,0.0,0.0006816928252959655,0.0
2025-04-04,B1,0,AIDC10,AIDC10_LP02,0.0,0.0006816928252959655,0.0
2025-04-04,B1,0,AIDC10,AIDC10_LP03,5.551115123125783e-17,0.0006816928252959655,3.784155351826776e-20
2025-04-04,B1,0,AIDC10,AIDC10_LP04,0.0,0.0006816928252959655,0.0
2025-04-04,B1,0,AIDC11,AIDC11_LP01,0.0,0.0006832141478268789,0.0
2025-04-04,B1,0,AIDC11,AIDC11_LP02,0.0,0.0006832141478268789,0.0
2025-04-04,B1,0,AIDC11,AIDC11_LP03,0.0,0.0006832141478268789,0.0
2025-04-04,B1,0,AIDC11,AIDC11_LP04,0.0,0.0006832141478268789,0.0
2025-04-04,B1,0,AIDC12,AIDC12_LP01,0.0,0.000686914448618652,0.0
2025-04-04,B1,0,AIDC12,AIDC12_LP02,0.0,0.000686914448618652,0.0
2025-04-04,B1,0,AIDC12,AIDC12_LP03,0.0,0.000686914448618652,0.0
2025-04-04,B1,0,AIDC12,AIDC12_LP04,0.0,0.000686914448618652,0.0
2025-04-04,B1,1,AIDC01,AIDC01_LP01,0.0,0.0006937199032885071,0.0
2025-04-04,B1,1,AIDC01,AIDC01_LP02,0.0,0.0006937199032885071,0.0
2025-04-04,B1,1,AIDC01,AIDC01_LP03,0.0,0.0006937199032885071,0.0
2025-04-04,B1,1,AIDC01,AIDC01_LP04,0.0,0.0006937199032885071,0.0
2025-04-04,B1,1,AIDC02,AIDC02_LP01,0.8224674026178204,0.0007110729543447197,0.0005848343258316815
2025-04-04,B1,1,AIDC02,AIDC02_LP02,0.866569512687842,0.0007110729543447197,0.0006161941435320078
