day,variant,case,total_rack_headroom_nodeh,top_quartile_headroom_fraction,top_quartile_recourse_execution_fraction,grid_effective_headroom_metric,unused_high_leverage_headroom_nodeh,used_low_leverage_recourse_nodeh,headroom_semantics
2025-04-04,E0_CURRENT,B1,2988.1959309202243,0.28149585036544067,0.33592462669195877,2.1057852605000895,841.1647546329381,39.305399772462714,DERIVED_RESIDUAL
2025-04-04,E2_FULL_GRID_ENVELOPE_PLUS_ENDOGENOUS_HEADROOM,B1,1023.940243233097,0.33546961892726795,0.3143774663865629,0.7254371916533582,343.50084320170106,87.57059397297871,ENDOGENOUS_SOLVER_VARIABLE
2025-04-04,E0_CURRENT,B3,2988.195930920224,0.28323063424807393,0.29124612557156193,2.1058404173089076,846.3486287720486,44.2180457863728,DERIVED_RESIDUAL
2025-04-04,E2_FULL_GRID_ENVELOPE_PLUS_ENDOGENOUS_HEADROOM,B3,1023.9402432330971,0.33546961892726784,0.3027316723431763,0.7248901798139977,343.50084320170106,89.37779704458538,ENDOGENOUS_SOLVER_VARIABLE
