phase,track,horizon_minutes,unit,primary_baseline,causal_validity,fold,method,missing_baseline_rows,N,actual_sum,predicted_sum,MAE,RMSE,WAPE,bias,median_signed_error,underprediction_rate,shortfall,overreservation,normalized_shortfall,normalized_overreservation,zero_actual_fraction,max_abs_error,max_underprediction,relative_bias,Tweedie_deviance_p1_7,Tweedie_domain,GPUh_shortfall,GPUh_overreservation,skill_MAE,skill_RMSE,skill_WAPE
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,prediction,0,26061,1018452.9066666667,1018778.7966666666,4.210676873489121,14.267528845358665,0.10774621907570969,0.012504892367906077,0.0,0.24684394305667473,54704.28,55030.17,0.05371311686766521,0.05403310220804449,0.05444917693104639,299.8466666666667,299.8466666666667,0.00031998534037927984,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B0_PERSISTENCE,0,26061,1018452.9066666667,1018778.7966666666,4.210676873489121,14.267528845358665,0.10774621907570969,0.012504892367906077,0.0,0.24684394305667473,54704.28,55030.17,0.05371311686766521,0.05403310220804449,0.05444917693104639,299.8466666666667,299.8466666666667,0.00031998534037927984,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B1_DAILY_SEASONAL,0,26061,1018452.9066666667,1019792.2533333333,34.10129081769695,65.87414188883983,0.8726115210458824,0.051392758016448506,-1.0,0.5161735927247612,443687.1966666667,445026.5433333333,0.4356482207103983,0.4369633003354839,0.05444917693104639,384.26000000000005,356.0,0.0013150796250857226,,,,,-7.098766977918059,-3.61706737044861,-7.098766977918057
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B2_WEEKLY_SEASONAL,0,26061,1018452.9066666667,1066348.9666666668,47.371647800672775,82.4956133495151,1.2121841915832388,1.837844288400291,-1.6533333333333324,0.5377767545374315,593328.2266666667,641224.2866666666,0.5825779697645453,0.6296062218186936,0.05444917693104639,511.73333333333335,378.26000000000005,0.0470282520541483,,,,,-10.250364068287883,-4.782053377544181,-10.250364068287883
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,prediction,0,8591,183172.16666666666,183169.94333333333,3.7991972218988868,15.543257351386371,0.17818702441145992,-0.0002587979668645477,0.0,0.20498195786287976,16320.563333333334,16318.339999999998,0.08909958117727129,0.0890874432341886,0.11093004306832732,273.56,256.0,-1.2137943082691763e-05,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B0_PERSISTENCE,0,8591,183172.16666666666,183169.94333333333,3.7991972218988868,15.543257351386371,0.17818702441145992,-0.0002587979668645477,0.0,0.20498195786287976,16320.563333333334,16318.339999999998,0.08909958117727129,0.0890874432341886,0.11093004306832732,273.56,256.0,-1.2137943082691763e-05,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B1_DAILY_SEASONAL,0,8591,183172.16666666666,181197.97,26.707403484266482,52.85003021138641,1.2526100854114481,-0.22979823846661193,0.0,0.4686299615877081,115708.74999999999,113734.55333333333,0.6316939527748484,0.6209161326365996,0.11093004306832732,299.68,299.68,-0.010777820138248786,,,,,-6.029749161302498,-2.4001901285300717,-6.029749161302498
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B2_WEEKLY_SEASONAL,0,8591,183172.16666666666,158766.2,27.37764327008885,49.299606988384,1.284045156059918,-2.8408761106584413,-1.0,0.5551158188802235,129803.65,105397.68333333333,0.7086428705962423,0.5754022854636758,0.11093004306832732,287.0,287.0,-0.13324058513256654,,,,,-6.206165321526835,-2.1717680453889385,-6.206165321526835
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,prediction,0,8591,369903.36,370215.45999999996,3.918756062546075,13.583280518983381,0.0910130509042506,0.03632871609824234,0.0,0.2641136072634152,16676.966666666667,16989.066666666666,0.04508465850828353,0.04592839239596706,0.020137353043883133,299.8466666666667,299.8466666666667,0.0008437338876835289,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B0_PERSISTENCE,0,8591,369903.36,370215.45999999996,3.918756062546075,13.583280518983381,0.0910130509042506,0.03632871609824234,0.0,0.2641136072634152,16676.966666666667,16989.066666666666,0.04508465850828353,0.04592839239596706,0.020137353043883133,299.8466666666667,299.8466666666667,0.0008437338876835289,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B1_DAILY_SEASONAL,0,8591,369903.36,373852.38,30.003260000776006,63.36510789408148,0.6968252644870991,0.4596694214876036,-2.0,0.5666395064602491,126904.49333333332,130853.51333333332,0.3430747245262474,0.35375053996085176,0.020137353043883133,384.26000000000005,300.8166666666667,0.010675815434604332,,,,,-6.656322445669771,-3.664934056653344,-6.656322445669769
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B2_WEEKLY_SEASONAL,0,8591,369903.36,407231.13,53.85773677879951,95.28895492164808,1.2508451306488988,4.344985449889421,-7.0,0.6212315213595623,212682.02333333332,250009.79333333333,0.5749664543012892,0.6758786763476097,0.020137353043883133,511.73333333333335,378.26000000000005,0.10091222204632047,,,,,-12.743579829719568,-6.015165061818206,-12.743579829719566
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,prediction,0,8879,465377.38,465393.39333333337,4.891261778728836,13.608975296365502,0.09332106629964124,0.0018035064008709548,0.0,0.27063858542628677,21706.75,21722.763333333332,0.046643328474624185,0.046677737825017045,0.03299921162293051,219.55333333333334,219.55333333333334,3.4409350392864404e-05,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B0_PERSISTENCE,0,8879,465377.38,465393.39333333337,4.891261778728836,13.608975296365502,0.09332106629964124,0.0018035064008709548,0.0,0.27063858542628677,21706.75,21722.763333333332,0.046643328474624185,0.046677737825017045,0.03299921162293051,219.55333333333334,219.55333333333334,3.4409350392864404e-05,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B1_DAILY_SEASONAL,0,8879,465377.38,464741.9033333334,45.22045613244735,78.41729426386361,0.8627673953555716,-0.0715707474565457,-1.0,0.513346097533506,201073.95333333334,200438.47666666665,0.4320664518188085,0.4307009435367629,0.03299921162293051,356.0,356.0,-0.0013655082820455717,,,,,-8.245151492218733,-4.7621747821679286,-8.245151492218733
DIAGNOSTIC_CLONE,B,15,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B2_WEEKLY_SEASONAL,0,8879,465377.38,500351.6366666666,60.441419454142725,94.01067342836946,1.1531702794264158,3.93898599692158,5.0,0.44025228066223676,250842.55333333332,285816.81,0.5390089078530919,0.614161371573324,0.03299921162293051,360.0,360.0,0.0751524637202322,,,,,-11.35701996507137,-5.907990600400057,-11.357019965071371
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,prediction,0,26061,1018253.55,1002495.7432119874,6.5324868690623585,19.10252113104539,0.16719130544119795,-0.6046508878405479,-5.911845413208994e-08,0.5014389317370784,93000.47354132333,77242.66675331081,0.09133331628583403,0.07585798915536392,0.05433406239208012,309.5770948910762,309.5770948910762,-0.015475327130470125,,,,,0.016269921825213918,0.013726097308805696,0.016269921825213918
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B0_PERSISTENCE,0,26061,1018253.55,1018778.7966666666,6.640527736208638,19.36837330778127,0.16995648415203984,0.02015450929230141,0.0,0.2819538774413875,86266.77333333333,86792.01999999999,0.08472032661544203,0.08523615753659781,0.05433406239208012,308.95000000000005,308.95000000000005,0.0005158309211558034,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B1_DAILY_SEASONAL,0,26061,1018253.55,1019272.8866666667,34.09473299822212,65.8713510727866,0.8726145238252954,0.03911349014491632,-1.0,0.5162503357507386,443761.75,444781.08666666667,0.43580673006246823,0.4368077937628272,0.05433406239208012,384.26000000000005,356.0,0.0010010637003589767,,,,,-4.134340876601513,-2.4009748793060846,-4.134340876601513
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B2_WEEKLY_SEASONAL,0,26061,1018253.55,1065431.0499999998,47.35421383165138,82.48078506776874,1.211975314661723,1.8102720540270913,-1.6666666666666665,0.5380069836153639,593460.3333333335,640637.8333333334,0.5828217670670861,0.6291535475946373,0.05433406239208012,511.73333333333335,378.26000000000005,0.04633178052755134,,,,,-6.131091942202764,-3.2585292919066147,-6.131091942202763
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,prediction,0,8591,183213.46000000002,179872.155343341,5.808760741710109,19.969035777138,0.2723766230495922,-0.38893081790932105,-7.86395639948978e-05,0.5071586544057735,26622.18409434526,23280.879437686286,0.14530692283386415,0.12706970021572805,0.11058084041438715,277.322154882477,261.91635592076466,-0.018237222618136116,,,,,0.006731910071998248,0.020695993606075103,0.006731910071998248
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B0_PERSISTENCE,0,8591,183213.46000000002,183169.94333333333,5.848129825786676,20.3910487925702,0.2742226653725841,-0.005065378496876553,0.0,0.24246304271912467,25142.399999999998,25098.88333333333,0.13723009215589288,0.13699257321669123,0.11058084041438715,287.68,256.0,-0.0002375189392016638,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B1_DAILY_SEASONAL,0,8591,183213.46000000002,181042.69,26.686766383424516,52.836576270371694,1.2513600802037141,-0.25267954836456763,0.0,0.4688627633570015,115718.39,113547.62,0.6316041954559451,0.619755884747769,0.11058084041438715,299.68,299.68,-0.011848310708176137,,,,,-3.5632992389724656,-1.5911652121407083,-3.5632992389724656
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B2_WEEKLY_SEASONAL,0,8591,183213.46000000002,158832.72,27.38057967640554,49.3000919908486,1.283893443200079,-2.8379397043417534,-1.0,0.5551158188802235,129803.65000000001,105422.91,0.708483154021544,0.5754102891785352,0.11058084041438715,287.0,287.0,-0.1330728648430088,,,,,-3.68193772916496,-1.4177320397963968,-3.68193772916496
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,prediction,0,8591,369585.5233333334,366622.7651575217,6.123868826276992,18.16519050105038,0.14234907420628579,-0.34486767265878926,-0.0056037002029007965,0.5565126294959841,27786.457631178648,24823.699455366987,0.07518275440165909,0.06716631980462669,0.020137353043883133,309.5770948910762,309.5770948910762,-0.008016434597032399,,,,,0.004211276804293784,0.009052469504427063,0.004211276804293673
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B0_PERSISTENCE,0,8591,369585.5233333334,370215.45999999996,6.149767198230707,18.331132519161702,0.1429510807769103,0.07332518527140809,0.0,0.2989174717727855,26101.356666666667,26731.293333333335,0.07062331995922243,0.07232776081768787,0.020137353043883133,308.95000000000005,308.95000000000005,0.0017044408584654435,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B1_DAILY_SEASONAL,0,8591,369585.5233333334,373476.02,29.996447833003533,63.363190749774155,0.6972661726820703,0.4528572537151279,-2.0,0.5666395064602491,126904.49333333333,130794.98999999999,0.34336976239969424,0.353896410282376,0.020137353043883133,384.26000000000005,300.8166666666667,0.010526647882681761,,,,,-3.8776558308798315,-2.4565889850798923,-3.8776558308798315
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B2_WEEKLY_SEASONAL,0,8591,369585.5233333334,406610.17,53.84188879835487,95.28054922203435,1.2515524485234841,4.309701625732356,-7.0,0.6215807240135025,212765.50999999998,249790.15666666665,0.5756868074296957,0.6758656410937884,0.020137353043883133,511.73333333333335,378.26000000000005,0.10017883366409275,,,,,-7.755110081865412,-4.197744826864173,-7.755110081865411
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,prediction,0,8879,465454.56666666665,456000.82271112484,7.628102227284262,19.129754329015547,0.14551349267255437,-1.0647307079110129,0.0,0.44261741187070613,38591.83181579942,29138.087860257536,0.08291213488820875,0.06260135778434558,0.03299921162293051,231.25849186212116,231.25849186212116,-0.020310777103863167,,,,,0.03222040201184995,0.010330163042087115,0.032220402011849836
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B0_PERSISTENCE,0,8879,465454.56666666665,465393.39333333337,7.882065547922063,19.329430497566097,0.15035809080399326,-0.0068896647520366614,0.0,0.30375042234485866,35023.01666666666,34961.84333333334,0.07524475894066854,0.07511333186332474,0.03299921162293051,229.0,229.0,-0.00013142707734381848,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B1_DAILY_SEASONAL,0,8879,465454.56666666665,464754.1766666667,45.22776701580508,78.42068423397615,0.8627637842490462,-0.07888163081428072,-1.0,0.513346097533506,201138.8666666667,200438.47666666668,0.43213426416054795,0.4306295200884985,0.03299921162293051,356.0,356.0,-0.0015047440720494206,,,,,-4.738060250936178,-3.0570612902356666,-4.7380602509361776
DIAGNOSTIC_CLONE,B,30,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B2_WEEKLY_SEASONAL,0,8879,465454.56666666665,499988.16,60.40274129969592,93.9804772727459,1.152241224832757,3.8893561587265846,5.0,0.44059015654916095,250891.17333333334,285424.76666666666,0.5390239806434384,0.6132172441893183,0.03299921162293051,360.0,360.0,0.07419326354587995,,,,,-6.663313751002718,-3.86204067339592,-6.663313751002718
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,prediction,0,26061,1017791.7433333334,981519.9764126514,9.881421412390644,25.115972706123504,0.2530180905033862,-1.391802575522123,0.0,0.4906565365872376,146895.7451744973,110623.97825381525,0.14432790021798006,0.10869019028540614,0.05410383331414758,322.71525434024466,322.71525434024466,-0.03563770993257391,,,,,0.030364705703100126,0.028158246860420566,0.030364705703100237
