role,arm,state,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,Q95_fraction,Q95_GPU_fraction
EXPOSED_EVALUATION,R1,RUNNING,2767,6396.0,0.8384531984098301,0.8858661663539712,2483,0.15827627869512687,8597.0,169741.42404667707,352907.24648226576,247131.02388888889,60355.12666666666,1.4280167699257957,2.812377894327625,8597.99070936692,5625.206745303955,0,2767,0.0,0.0
EXPOSED_EVALUATION,R2,RUNNING,2767,6396.0,0.9078424286230574,0.9313633520950594,2483,0.08538058799838905,2162.0,205558.0820250492,390973.9223265967,247131.02388888889,60355.12666666666,1.5820511572127833,3.4058098023771723,8358.573542534188,4639.942751778928,0,2767,1.0,1.0
EXPOSED_EVALUATION,R3,RUNNING,2767,6396.0,0.9056740151788941,0.9285490931832395,2483,0.0877970197341925,2771.0,177240.24865939922,362406.7240914773,247131.02388888889,60355.12666666666,1.4664558030335229,2.9366229258083334,7674.958642911528,4349.1059702541825,0,2767,0.6447415973979038,0.4208880550343965
MAY_HISTORICAL,R0,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,0.0,0.0
MAY_HISTORICAL,R0,RUNNING,7073,14897.0,0.5406475328714831,0.5635362824729812,6531,0.48767416934619506,136902.0,137364.85059615085,349553.08816150425,512235.53777777776,200667.56555555554,0.6824069444263163,0.684539378428453,32197.51370538495,32940.43179685887,0,7073,0.0,0.0
MAY_HISTORICAL,R1,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,0.0,0.0
MAY_HISTORICAL,R1,RUNNING,7073,14897.0,0.8194542626890994,0.8153319460294018,6531,0.19277292910733426,42242.0,280850.4447606413,554706.1214997787,512235.53777777776,200667.56555555554,1.0829122163336233,1.3995806645837185,15114.684675853257,12700.421761375721,0,7073,0.0,0.0
MAY_HISTORICAL,R2,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,0.0,0.0
MAY_HISTORICAL,R2,RUNNING,7073,14897.0,0.9122013289975965,0.8949452909981875,6531,0.09355382024192313,16467.0,333653.8457598946,627822.9558042532,512235.53777777776,200667.56555555554,1.2256528676786587,1.6627193579398925,10499.770333078306,7194.2922483038,0,7073,1.0,1.0
MAY_HISTORICAL,R3,PENDING,40419,102201.0,0.9122195007298548,0.9369967025762957,13230,0.22600151171579744,17373.0,1720482.8263951635,2198873.9284868934,2774467.533333333,2273332.5769444443,0.7925390735587727,0.7568108792544738,2827.757643463754,1681.437067436764,0,40419,0.0,0.0
MAY_HISTORICAL,R3,RUNNING,7073,14897.0,0.8758659691785664,0.8514465999865745,6531,0.13290460878885316,25803.0,295973.481805542,581002.0636046292,512235.53777777776,200667.56555555554,1.1342478620776295,1.4749442989759134,12311.482812618002,9529.317231517274,0,7073,0.4952636787784533,0.35604484124320335
