role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,block_days,draws,nonfinite_draws,N_days,N_pairs,interpretation
EXPOSED_EVALUATION,RUNNING,R3,R2,reserved_GPUh,-28567.19823511946,-29609.62412660435,-27380.063861218747,7,2000,0,13,2767,candidate-minus-reference
EXPOSED_EVALUATION,RUNNING,R3,R2,reserve_vs_requested,-0.1155953541792607,-0.12844291810696684,-0.10447291208613385,7,2000,0,13,2767,candidate-minus-reference
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q90,-683.6148996226611,-840.1055033478424,-526.6648512086304,7,2000,0,13,2767,candidate-minus-reference
EXPOSED_EVALUATION,RUNNING,R3,R2,pinball_Q95,-290.8367815247457,-363.87310508573046,-216.37161891305004,7,2000,0,13,2767,candidate-minus-reference
EXPOSED_EVALUATION,RUNNING,R3,R2,overreserve_vs_requested,-0.4691868765688385,-0.5860473430575133,-0.3912293657683019,7,2000,0,13,2767,candidate-minus-reference
EXPOSED_EVALUATION,RUNNING,R3,R2,missed_slots_reduction,-0.2816836262719704,-0.7181571815718157,-0.040554414784394144,7,2000,0,13,2767,relative reduction
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q95,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
