role,arm,elapsed_regime,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,Q95_fraction,Q95_GPU_fraction
EXPOSED_EVALUATION,R1,<1h,325,534.0,0.7015384615384616,0.795880149812734,161,0.2670807453416149,615.0,2477.530350888659,9141.85327941976,13205.966944444444,6014.0327777777775,0.6922517160521595,0.41195823874510407,5933.239080350775,5353.831342364825,0,325,0.0,0.0
EXPOSED_EVALUATION,R1,1-2h,351,588.0,0.8717948717948718,0.8503401360544217,290,0.15517241379310345,1619.0,4169.217248377055,12899.229953597305,16473.07361111111,7185.840833333334,0.783049372455712,0.5801989419299534,4135.936686906005,3010.028494397995,0,351,0.0,0.0
EXPOSED_EVALUATION,R1,2-4h,318,644.0,0.7452830188679245,0.8291925465838509,259,0.3127413127413127,679.0,3287.3489178822715,11814.020296270803,14695.791944444445,5982.260277777777,0.8039049777604493,0.5495161970958942,2740.902009498957,2135.9729505039572,0,318,0.0,0.0
EXPOSED_EVALUATION,R1,4-8h,442,896.0,0.8393665158371041,0.8616071428571429,442,0.16063348416289594,1578.0,4773.219433714308,17178.50352284804,18495.355277777777,5612.815833333333,0.9288009483920573,0.8504144043649466,2949.5741402257695,2321.2200599158,0,442,0.0,0.0
EXPOSED_EVALUATION,R1,>8h,1331,3734.0,0.8850488354620586,0.919925013390466,1331,0.1149511645379414,4106.0,155034.10809581482,301873.63943012984,184260.8361111111,35560.17694444444,1.638295178732919,4.35976762258591,13700.454699924718,8311.955831488156,0,1331,0.0,0.0
EXPOSED_EVALUATION,R2,<1h,325,534.0,0.76,0.848314606741573,161,0.21739130434782608,279.0,3745.126711214254,10639.257185973702,13205.966944444444,6014.0327777777775,0.8056401496938079,0.6227313434427442,5263.219993068655,4270.650868054585,0,325,1.0,1.0
EXPOSED_EVALUATION,R2,1-2h,351,588.0,0.9088319088319088,0.8809523809523809,290,0.1103448275862069,501.0,5575.723006158179,14584.946485835655,16473.07361111111,7185.840833333334,0.8853810060071661,0.7759318826397855,3859.1340382824787,2400.2330176312125,0,351,1.0,1.0
EXPOSED_EVALUATION,R2,2-4h,318,644.0,0.8742138364779874,0.9130434782608695,259,0.15444015444015444,110.0,5096.931514181461,13778.33632579547,14695.791944444445,5982.260277777777,0.9375701818508796,0.8520076488672625,2102.903787669736,1198.971046896098,0,318,1.0,1.0
EXPOSED_EVALUATION,R2,4-8h,442,896.0,0.8733031674208145,0.8850446428571429,442,0.12669683257918551,711.0,5701.75815541594,18378.832924483355,18495.355277777777,5612.815833333333,0.993699912678378,1.0158462926138423,2500.248253531524,1629.6930540080768,0,442,1.0,1.0
EXPOSED_EVALUATION,R2,>8h,1331,3734.0,0.9631855747558227,0.9654525977504017,1331,0.03681442524417731,561.0,185438.54263807938,333592.5494045085,184260.8361111111,35560.17694444444,1.8104365335851884,5.214781212359811,13740.974691561025,7142.510255508242,0,1331,1.0,1.0
EXPOSED_EVALUATION,R3,<1h,325,534.0,0.7507692307692307,0.8314606741573034,161,0.2360248447204969,358.0,3121.58707359835,9913.247148031855,13205.966944444444,6014.0327777777775,0.7506642406220932,0.5190505587420153,5508.1645761834025,4617.906575159825,0,325,0.7138461538461538,0.5112359550561798
EXPOSED_EVALUATION,R3,1-2h,351,588.0,0.905982905982906,0.8741496598639455,290,0.11379310344827587,895.0,5208.375618050551,14118.338256767453,16473.07361111111,7185.840833333334,0.8570554949286825,0.7248108800142341,3956.7994237951893,2576.934195066289,0,351,0.792022792022792,0.6632653061224489
EXPOSED_EVALUATION,R3,2-4h,318,644.0,0.8742138364779874,0.9130434782608695,259,0.15444015444015444,110.0,4001.9267048838838,12683.331516497892,14695.791944444445,5982.260277777777,0.8630587289508179,0.6689656616496256,2051.243876083306,1173.1410911028827,0,318,0.7830188679245284,0.6195652173913043
EXPOSED_EVALUATION,R3,4-8h,442,896.0,0.8733031674208145,0.8850446428571429,442,0.12669683257918551,711.0,5348.803028377,18025.877797444417,18495.355277777777,5612.815833333333,0.9746164659568644,0.9529625035283688,2470.7264458328295,1614.9321501587294,0,442,0.8438914027149321,0.609375
EXPOSED_EVALUATION,R3,>8h,1331,3734.0,0.9616829451540195,0.96411355115158,1331,0.03831705484598046,697.0,159559.55623448946,307665.9293727356,184260.8361111111,35560.17694444444,1.669730453123582,4.487029310449407,12256.396572706144,6417.576110411147,0,1331,0.4898572501878287,0.29030530262453136
MAY_HISTORICAL,R0,<1h,684,1612.0,0.7807017543859649,0.8269230769230769,301,0.292358803986711,446.0,21068.194092001126,28220.940265428002,38974.39111111111,31441.35861111111,0.7240893176489566,0.670078998575965,3036.8022063163876,2014.0598595169454,0,684,0.0,0.0
MAY_HISTORICAL,R0,1-2h,732,1433.0,0.6598360655737705,0.7885554780181437,651,0.38095238095238093,712.0,21178.063304851017,35529.750167922284,45576.45722222222,30462.338055555556,0.7795636680289983,0.6952212028580215,5183.436995252968,4190.341283629916,0,732,0.0,0.0
MAY_HISTORICAL,R0,2-4h,1204,2224.0,0.7624584717607974,0.7823741007194245,1126,0.2531083481349911,2252.0,29155.833583643733,52847.423192394905,71310.07833333334,44547.120833333334,0.7410933268838072,0.6544942307882501,6146.642864883002,5280.235987347886,0,1204,0.0,0.0
MAY_HISTORICAL,R0,4-8h,788,1396.0,0.565989847715736,0.6926934097421203,788,0.434010152284264,3013.0,17929.241391440435,33112.76477277779,44535.91027777778,27290.3425,0.7435070837499007,0.6569811790174651,7769.743931587177,7102.1512106212485,0,788,0.0,0.0
MAY_HISTORICAL,R0,>8h,3665,8232.0,0.3937244201909959,0.39176384839650147,3665,0.606275579809004,130479.0,48033.51822421453,199842.20976298128,311838.7008333333,66926.40555555555,0.640851213236005,0.7177065289176773,56845.41599485194,59096.542442815764,0,3665,0.0,0.0
MAY_HISTORICAL,R1,<1h,684,1612.0,0.8581871345029239,0.8604218362282878,301,0.26245847176079734,831.0,7116.446266870738,14070.875572938663,38974.39111111111,31441.35861111111,0.36102874661529305,0.22634029129885774,2702.2070610387145,1895.5824272221482,0,684,0.0,0.0
MAY_HISTORICAL,R1,1-2h,732,1433.0,0.674863387978142,0.7306350314026517,651,0.3655913978494624,3203.0,14522.332959721693,27682.625474839137,45576.45722222222,30462.338055555556,0.6073887081627225,0.47673073988072256,5869.8922659811815,5140.449474458194,0,732,0.0,0.0
MAY_HISTORICAL,R1,2-4h,1204,2224.0,0.9036544850498339,0.8745503597122302,1126,0.10301953818827708,1124.0,21698.569246726704,45729.60146286784,71310.07833333334,44547.120833333334,0.6412782390885678,0.48709251778378204,6255.803694394901,5084.170966892576,0,1204,0.0,0.0
MAY_HISTORICAL,R1,4-8h,788,1396.0,0.8578680203045685,0.8932664756446992,788,0.14213197969543148,1412.0,17682.21893608503,33624.04998406575,44535.91027777778,27290.3425,0.754987374780195,0.6479295353689691,6105.943607848229,4837.7097670722915,0,788,0.0,0.0
MAY_HISTORICAL,R1,>8h,3665,8232.0,0.8051841746248295,0.7920310981535471,3665,0.19481582537517053,35672.0,219830.87735123717,433598.9690050673,311838.7008333333,66926.40555555555,1.3904591311031997,3.2846658284786523,24124.862955750483,20419.43753945307,0,3665,0.0,0.0
MAY_HISTORICAL,R2,<1h,684,1612.0,0.922514619883041,0.9398263027295285,301,0.14285714285714285,276.0,12076.411240135585,19234.9349348351,38974.39111111111,31441.35861111111,0.493527528884254,0.3840931745191152,2719.395678228137,1682.603948447589,0,684,1.0,1.0
MAY_HISTORICAL,R2,1-2h,732,1433.0,0.8579234972677595,0.875785066294487,651,0.1597542242703533,1677.0,17334.872638920482,31057.657872410502,45576.45722222222,30462.338055555556,0.6814408088144985,0.5690591643788498,4897.684647613149,3835.5222441280257,0,732,1.0,1.0
MAY_HISTORICAL,R2,2-4h,1204,2224.0,0.9476744186046512,0.8997302158273381,1126,0.05595026642984014,498.0,26746.70968202519,51853.47566164555,71310.07833333334,44547.120833333334,0.7271549390152198,0.6004138804412112,5418.782538943154,3913.768267963427,0,1204,1.0,1.0
MAY_HISTORICAL,R2,4-8h,788,1396.0,0.8972081218274112,0.917621776504298,788,0.10279187817258884,636.0,22079.920401195937,38599.50555618516,44535.91027777778,27290.3425,0.866705211938719,0.8090745068954682,5221.078881298373,3561.647407811597,0,788,1.0,1.0
MAY_HISTORICAL,R2,>8h,3665,8232.0,0.91268758526603,0.8843537414965986,3665,0.08731241473396999,13380.0,255415.9317976174,487077.38177917706,311838.7008333333,66926.40555555555,1.561952959903789,3.8163700810974652,15874.837496466935,10752.515835424123,0,3665,1.0,1.0
MAY_HISTORICAL,R3,<1h,684,1612.0,0.9166666666666666,0.8901985111662531,301,0.15614617940199335,614.0,10179.380083903343,17225.115772302514,38974.39111111111,31441.35861111111,0.4419598428926283,0.32375764068624047,2699.1489014104804,1697.4356290422902,0,684,0.6710526315789473,0.5366004962779156
MAY_HISTORICAL,R3,1-2h,732,1433.0,0.8565573770491803,0.8702023726448012,651,0.16129032258064516,2383.0,16694.515427999922,30200.85203485513,45576.45722222222,30462.338055555556,0.66264150123827,0.5480378885413645,4910.50568187795,3873.0627692819157,0,732,0.7008196721311475,0.45917655268667135
MAY_HISTORICAL,R3,2-4h,1204,2224.0,0.9443521594684385,0.897931654676259,1126,0.05950266429840142,922.0,23427.982789596743,47775.84190616728,71310.07833333334,44547.120833333334,0.6699732074734637,0.5259146349154457,5795.453141394896,4398.230466080384,0,1204,0.45099667774086377,0.3129496402877698
MAY_HISTORICAL,R3,4-8h,788,1396.0,0.8946700507614214,0.9140401146131805,788,0.10532994923857868,868.0,20049.207596366257,36327.44216352148,44535.91027777778,27290.3425,0.8156887764714197,0.734663099093251,5269.812369966818,3676.424609903213,0,788,0.633248730964467,0.44412607449856734
MAY_HISTORICAL,R3,>8h,3665,8232.0,0.8455661664392906,0.8174198250728864,3665,0.15443383356070942,21016.0,225622.39590767576,449472.8117277828,311838.7008333333,66926.40555555555,1.4413631487260783,3.3712014568059656,19238.21888026586,15064.73145631047,0,3665,0.4062755798090041,0.29944120505344995
