issue_time,role,N_training,N_queries,learned,latest_training_end,membership_sha256,feature_available_time
2025-04-04 08:00:00+00:00,CALIBRATION,4751,242,True,2025-04-04 04:12:43+00:00,c1c245cd3a60bff9033433ab23cf0adfc59bdac3a6afdfd9ef0e9940e8bd3238,2025-04-04 08:00:00+00:00
2025-04-05 08:00:00+00:00,CALIBRATION,4957,206,True,2025-04-05 07:03:47+00:00,09d7d51fccc65b854f5fd2d076263d49fb566c51ef597e7c7b70c62e14b79fdc,2025-04-05 08:00:00+00:00
2025-04-06 08:00:00+00:00,CALIBRATION,5117,305,True,2025-04-06 06:55:29+00:00,6ef66a306a767b1a4f9580fd614c0d75feaddc5fbcf3bb4a8829614cdc97ba59,2025-04-06 08:00:00+00:00
2025-04-07 08:00:00+00:00,CALIBRATION,5351,237,True,2025-04-06 20:06:33+00:00,2b05b5101805cc1be881a0a06dde522773dd7a777e10b5bf7b704378b116231c,2025-04-07 08:00:00+00:00
2025-04-10 08:00:00+00:00,EXPOSED_EVALUATION,5574,124,True,2025-04-09 19:28:55+00:00,f692148ba897e6818503dd6f8018456c29ab46aef557a5104f18ef21ee22df1d,2025-04-10 08:00:00+00:00
2025-04-11 08:00:00+00:00,EXPOSED_EVALUATION,5659,146,True,2025-04-11 07:12:19+00:00,a669bc4503a4deffb5bb41efdb966acbb518f8e383158f93fd8226060908fc15,2025-04-11 08:00:00+00:00
2025-04-12 08:00:00+00:00,EXPOSED_EVALUATION,5771,248,True,2025-04-12 07:16:26+00:00,a0fa7b8c64a9a13f6ca2df243fa9e0194cc34c952a996bdaf7c6f2e6863820e8,2025-04-12 08:00:00+00:00
2025-04-13 08:00:00+00:00,EXPOSED_EVALUATION,5868,226,True,2025-04-13 03:13:48+00:00,66c120e927b4c9b0dfa14b50e57f8a018917a0883f0ea35335e2de893c15839d,2025-04-13 08:00:00+00:00
2025-04-14 08:00:00+00:00,EXPOSED_EVALUATION,6052,200,True,2025-04-14 07:09:22+00:00,6fe7d23ef5d828af4be01020e18cbc99acc2df70ef9d633d9d2cf37ca389e735,2025-04-14 08:00:00+00:00
2025-04-16 08:00:00+00:00,EXPOSED_EVALUATION,6228,220,True,2025-04-16 02:36:54+00:00,a3f43f455b940fa54cc815ecf34f6bc56f3114618ad965c11628350678a35ea3,2025-04-16 08:00:00+00:00
2025-04-17 08:00:00+00:00,EXPOSED_EVALUATION,6382,145,True,2025-04-17 07:52:27+00:00,05dc2bb68f8dc3fbf2bf9718a3ac519ce03a36fe6ea27780caa82b98d66b173c,2025-04-17 08:00:00+00:00
2025-04-18 08:00:00+00:00,EXPOSED_EVALUATION,6489,167,True,2025-04-18 07:59:05+00:00,5d97666565ac2a1b8e1f375f99fa8253cb745eaa83e72d59679a0a2c03a73d67,2025-04-18 08:00:00+00:00
2025-04-19 08:00:00+00:00,EXPOSED_EVALUATION,6619,143,True,2025-04-19 07:53:48+00:00,14b5b28cbb319aeda737c740ba00bc80cd05f30f1eafeca340251a3f0548cb24,2025-04-19 08:00:00+00:00
