role,arm,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,Q95_fraction,Q95_GPU_fraction
CALIBRATION,R1,1466,3092.0,0.742837653478854,0.8460543337645536,1273,0.23959151610369206,4243.0,91138.35332658599,181282.17057629573,129050.91583333333,38680.696388888886,1.4047337006923533,2.356171471431049,8272.28938146319,5727.90430160184,0,1466,0.0,0.0
CALIBRATION,R2,1466,3092.0,0.9365620736698499,0.9495472186287193,1273,0.06284367635506677,1190.0,96545.91506997228,187647.13642798888,129050.91583333333,38680.696388888886,1.4540550542882733,2.49597148146757,7273.135773790898,4304.699304208756,0,1466,1.0,1.0
DEVELOPMENT,R1,2522,4129.0,0.8191911181601903,0.8147251150399613,2335,0.19528907922912206,7518.0,63276.29420513928,131194.6133686731,133485.26277777777,62156.72027777778,0.9828396831122993,1.0180121139332663,6442.945930339915,4570.07052695626,0,2522,0.0,0.0
DEVELOPMENT,R2,2522,4129.0,0.8703409992069786,0.861467667716154,2335,0.14004282655246253,4236.0,73004.55675073926,142653.6885611488,133485.26277777777,62156.72027777778,1.0686849289021092,1.174523952108197,6059.798002361406,3654.1910570212954,0,2522,1.0,1.0
