u_hours,body,classifier,policy,role,body_gate,tail_gate,nontrivial_flagging_gate,hybrid_gate,temporal_gate,PASS_gate,reference_only_gate,tail_N,tail_recall,GPU_tail_recall,ECE,mass_capture,flagged_fraction,GPU_mass_ratio,overreservation_ratio
4,B2,C3,R0,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.46711776035023894,0.9362844555075606,0.9760820045558086,1.0197705889719544,1.7673419549163296
4,B2,C3,R1,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.46711776035023894,0.9362844555075606,0.9760820045558086,0.09709700926339099,12.902842426930073
4,B3,C0,R0,CALIBRATION,True,False,False,False,True,False,,574,1.0,1.0,0.2518283851125871,1.0,1.0,1.0,1.0
4,B3,C0,R1,CALIBRATION,True,False,False,False,False,False,,574,1.0,1.0,0.2518283851125871,1.0,1.0,0.007447076110998035,12.14239875297792
4,B3,C1,R0,CALIBRATION,True,False,False,False,True,False,,574,1.0,1.0,0.32498955028314797,1.0,0.9464692482915718,1.0,0.973902311835634
4,B3,C1,R1,CALIBRATION,True,False,False,False,False,False,,574,1.0,1.0,0.32498955028314797,1.0,0.9464692482915718,0.007447076110998035,11.907519559498626
4,B3,C2,R0,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.483885295516087,0.9354776525665578,0.9760820045558086,1.0197705889719544,1.7673419549163296
4,B3,C2,R1,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.483885295516087,0.9354776525665578,0.9760820045558086,0.09709700926339099,12.902842426930073
4,B3,C3,R0,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.46711776035023894,0.9354776525665578,0.9760820045558086,1.0197705889719544,1.7673419549163296
4,B3,C3,R1,CALIBRATION,True,False,False,False,False,False,,574,0.9233449477351916,0.9486581096849475,0.46711776035023894,0.9354776525665578,0.9760820045558086,0.09709700926339099,12.902842426930073
6,B0,C0,R0,DEVELOPMENT,False,False,False,False,True,False,True,1569,1.0,1.0,0.14337457026068587,1.0,1.0,1.0,1.0
6,B0,C0,R1,DEVELOPMENT,False,False,False,False,False,False,True,1569,1.0,1.0,0.14337457026068587,1.0,1.0,7.072675619741094e-05,5.184922368093814
6,B0,C1,R0,DEVELOPMENT,False,False,True,False,True,False,True,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9759322095758145,0.7634606534744592,1.0,1.0
