N,coverage,GPU_coverage,underprediction_rate,positive_residual_mean_sec,positive_residual_P95_sec,positive_residual_max_sec,MAE_sec,WAPE,log_MAE,completion_slot_MAE,positive_error_sec,GPU_underprediction_sec,overreservation_GPU_hours,overreservation_P95_sec,candidate,u_hours,subgroup,role,Q50_MAE_sec,scheduler_coverage,upper_warning,gate_threshold,coverage_gate,GPU_coverage_gate
2554,0.9949099451840251,0.9748853461454466,0.005090054815974941,9.71799939184704,0.0,3681.5901489257812,34901.88796351828,12.098292663699985,4.535616382921225,38.49060297572436,24819.770446777344,230625.77044677734,41704.05340399848,42503.87109375,B0,4,OVERALL,DEVELOPMENT,29415.14988227001,0.9949099451840251,True,0.9,PASS,PASS
568,1.0,1.0,0.0,0.0,0.0,0.0,39821.57562169895,6.715252204519497,2.488779002726721,43.96302816901409,0.0,0.0,11796.967527126737,41599.23046875,B0,4,2025-03-22,DEVELOPMENT,34245.12640294895,1.0,True,0.88,PASS,PASS
242,1.0,1.0,0.0,0.0,0.0,0.0,32084.903562435433,6.014561792180206,2.4258065606578705,35.36776859504132,0.0,0.0,4883.396475694444,41479.23046875,B0,4,2025-03-23,DEVELOPMENT,26833.74218321733,1.0,True,0.88,PASS,PASS
702,1.0,1.0,0.0,0.0,0.0,0.0,40056.566651086185,18.564785822129096,3.481105082005749,44.25925925925926,0.0,0.0,15622.060993923611,41481.23046875,B0,4,2025-03-24,DEVELOPMENT,34480.117432336185,1.0,True,0.88,PASS,PASS
79,1.0,1.0,0.0,0.0,0.0,0.0,33105.03565071202,3.5203758988808094,2.0278619443179715,37.075949367088604,0.0,0.0,726.4716156684028,42371.27109375,B0,4,2025-03-25,DEVELOPMENT,27528.586431962027,1.0,True,0.88,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
109,1.0,1.0,0.0,0.0,0.0,0.0,9731.39669491829,220.9377712447602,5.963529821825301,10.128440366972477,0.0,0.0,294.64506659613716,55192.51796875,B0,4,2025-03-26,DEVELOPMENT,4154.947476168291,1.0,True,0.88,PASS,PASS
130,0.9615384615384616,0.7213930348258707,0.038461538461538464,53.05384615384615,0.0,2718.0,9900.298501352163,28.181891549536473,5.400204641541675,10.438461538461539,6897.0,109800.0,397.6277510579427,55165.967968749996,B0,4,2025-03-27,DEVELOPMENT,4720.8341313288765,0.9615384615384616,False,0.88,PASS,FAIL
142,0.9436619718309859,0.7293577981651376,0.056338028169014086,126.21669328716439,21.84999999999974,3681.5901489257812,10605.802042786505,16.889166770314155,5.158652165392583,11.26056338028169,17922.770446777344,120825.77044677734,478.2305917697483,54863.11796875,B0,4,2025-03-28,DEVELOPMENT,5642.713911889305,0.9436619718309859,False,0.88,PASS,FAIL
535,1.0,1.0,0.0,0.0,0.0,0.0,42034.14161799065,675.1408257715632,8.92208858937907,46.4803738317757,0.0,0.0,6369.958158637152,42503.87109375,B0,4,2025-03-29,DEVELOPMENT,36473.943022597836,1.0,True,0.88,PASS,PASS
47,1.0,1.0,0.0,0.0,0.0,0.0,35726.84973404255,6.035982118464945,2.584220485122235,39.340425531914896,0.0,0.0,1134.6952235243054,41859.030468749996,B0,4,2025-03-30,DEVELOPMENT,30214.2983813996,1.0,True,0.88,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
989,0.9969666329625885,0.9969666329625885,0.003033367037411527,11.148402878440185,0.0,3681.5901489257812,31872.611244625943,27.828060159272862,7.086528264588448,35.097067745197165,11025.770446777344,11025.770446777344,8753.051875135634,54657.91796875,B0,4,GPU_1,DEVELOPMENT,26366.80583818858,0.9969666329625885,True,0.9,PASS,PASS
1549,0.9974176888315042,0.9949968730456535,0.0025823111684958036,0.05939315687540349,0.0,23.0,37130.308857276876,9.263313528906055,2.931928161871735,40.98192382182053,92.0,368.0,32310.552101779514,41480.23046875,B0,4,GPU_2_4,DEVELOPMENT,31609.1274464449,0.9974176888315042,True,0.9,PASS,PASS
16,0.625,0.7551020408163265,0.375,856.375,2718.0,2718.0,6410.057373046875,3.89861702089748,2.114441597719751,7.0625,13702.0,219232.0,640.4494270833334,28402.1552734375,B0,4,GPU_5_PLUS,DEVELOPMENT,5436.463175371289,0.625,False,0.9,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
2554,0.97141738449491,0.972483074907185,0.028582615505090055,35.994502710481136,0.0,3249.6568563537676,9498.944725451056,3.2926875877012467,3.5857211689758333,10.405638214565387,91929.95992256881,171110.34292859858,11709.794000663273,13307.615052053963,B1,4,OVERALL,DEVELOPMENT,6638.1015313902235,0.9768989819890368,False,0.9,PASS,PASS
568,0.9366197183098591,0.9378937893789379,0.06338028169014084,83.95394744789806,276.3825093823692,3249.6568563537676,5453.178337226442,0.919588621971646,1.1293137729353193,6.292253521126761,47685.8421504061,94828.51841008043,1682.140960181609,10372.343143646232,B1,4,2025-03-22,DEVELOPMENT,3673.948038365228,0.9559859154929577,False,0.88,PASS,PASS
242,0.9669421487603306,0.9785809906291834,0.03305785123966942,68.50105310260389,0.0,3009.6568563537676,6375.302858132642,1.1950995242820444,1.4404621956157542,7.268595041322314,16577.25485083014,33154.50970166028,1707.7516454396837,13314.44852894394,B1,4,2025-03-23,DEVELOPMENT,4357.068877151264,0.9710743801652892,False,0.88,PASS,PASS
702,0.9943019943019943,0.9943019943019943,0.005698005698005698,10.378811922557128,0.0,3009.6568563537676,10972.95433576947,5.085571832803079,2.3117582090866837,12.062678062678062,7285.925969635104,14571.851939270207,4275.404454300296,12623.693871536216,B1,4,2025-03-24,DEVELOPMENT,8272.695484641275,0.9943019943019943,True,0.88,PASS,PASS
79,0.7848101265822784,0.7848101265822784,0.21518987341772153,154.51153197224386,912.300648576898,1034.200648576898,4223.986972329616,0.44917704035929273,0.8898621026522681,4.506329113924051,12206.411025807265,12206.411025807265,89.30237771895344,13181.199351423102,B1,4,2025-03-25,DEVELOPMENT,3902.926341226731,0.7848101265822784,False,0.88,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
109,1.0,1.0,0.0,0.0,0.0,0.0,13111.015007939828,297.6672851209001,6.5666040681855575,13.825688073394495,0.0,0.0,396.97239885151146,13310.215052053964,B1,4,2025-03-26,DEVELOPMENT,9711.148597866484,1.0,True,0.88,PASS,PASS
130,1.0,1.0,0.0,0.0,0.0,0.0,12569.121050705542,35.778881442372736,5.980617840681114,13.307692307692308,0.0,0.0,644.1351657490369,13308.715052053964,B1,4,2025-03-27,DEVELOPMENT,9138.760122027184,1.0,True,0.88,PASS,PASS
142,1.0,1.0,0.0,0.0,0.0,0.0,12258.020112027954,19.52023478381951,5.6510266152378605,13.035211267605634,0.0,0.0,688.3196134551441,13310.615052053963,B1,4,2025-03-28,DEVELOPMENT,8963.842527516901,1.0,True,0.88,PASS,PASS
535,1.0,1.0,0.0,0.0,0.0,0.0,12043.187888378681,193.43437270054923,7.683159299588263,12.979439252336448,0.0,0.0,2001.8495611807728,12071.655266067437,B1,4,2025-03-29,DEVELOPMENT,7374.525742772286,1.0,True,0.88,PASS,PASS
47,0.8297872340425532,0.8504672897196262,0.1702127659574468,173.9260835295786,1175.2907407362725,1657.1907407362742,7160.352732284002,1.2097277363020795,1.4587288286245692,8.23404255319149,8174.525925890193,16349.051851780387,223.91782378626584,12343.609259263725,B1,4,2025-03-30,DEVELOPMENT,4934.974927913492,0.8723404255319149,False,0.88,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
989,0.9797775530839231,0.9797775530839231,0.020222446916076844,12.89138211985747,0.0,1034.200648576898,11458.158953836075,10.004148522208833,6.474475066846231,12.263902932254803,12749.576916539037,12749.576916539037,3144.2693412298163,13307.615052053963,B1,4,GPU_1,DEVELOPMENT,7714.3463884027415,0.9828109201213346,True,0.9,PASS,PASS
1549,0.9657843770174306,0.9668542839274546,0.0342156229825694,51.11709684056151,0.0,3249.6568563537676,8225.540309318629,2.0521175604210025,1.7438841578635564,9.196255648805682,79180.38300602978,158360.76601205955,7261.151792027569,12621.693871536216,B1,4,GPU_2_4,DEVELOPMENT,5922.632319002921,0.972885732730794,False,0.9,PASS,PASS
16,1.0,1.0,0.0,0.0,0.0,0.0,11676.4802702228,7.101671962731015,3.3374664951691613,12.625,0.0,0.0,1304.3728674058862,14052.672945052633,B1,4,GPU_5_PLUS,DEVELOPMENT,9379.079431549759,1.0,True,0.9,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
2554,0.9631949882537196,0.968333697313824,0.03680501174628034,55.38051409859534,0.0,3242.3115234375,9482.967567724647,3.2871493105080405,3.584682717980805,10.456538762725136,141441.8330078125,216787.765625,11661.795579155816,12962.5498046875,B2,4,OVERALL,DEVELOPMENT,6335.801350975186,0.9690681284259984,False,0.9,PASS,PASS
568,0.9313380281690141,0.9351935193519352,0.06866197183098592,85.8362383775308,344.9615234375,3242.3115234375,5451.895035004952,0.9193722142093367,1.1293150823200162,6.262323943661972,48754.9833984375,95655.263671875,1682.6820887586805,10379.6884765625,B2,4,2025-03-22,DEVELOPMENT,3748.120028643541,0.948943661971831,False,0.88,PASS,PASS
242,0.9669421487603306,0.9785809906291834,0.03305785123966942,68.25823217975207,0.0,3002.3115234375,6398.249903150827,1.1994011242522995,1.442227695408934,7.2272727272727275,16518.4921875,33036.984375,1725.871052517361,13291.329296875,B2,4,2025-03-23,DEVELOPMENT,4208.197433093363,0.9710743801652892,False,0.88,PASS,PASS
702,0.9943019943019943,0.9943019943019943,0.005698005698005698,10.636145610754985,0.0,3002.3115234375,10887.318261996972,5.045882575806028,2.305334534512851,12.062678062678062,7466.57421875,14933.1484375,4241.906025390625,12526.0244140625,B2,4,2025-03-24,DEVELOPMENT,7350.254742309918,0.9943019943019943,True,0.88,PASS,PASS
79,0.5316455696202531,0.5316455696202531,0.46835443037974683,813.1797122231013,2900.726953125,3022.626953125,3552.897028283228,0.37781361124450297,0.8363952697120723,3.9240506329113924,64241.197265625,64241.197265625,60.12157443576389,11192.773046875,B2,4,2025-03-25,DEVELOPMENT,4398.606160996836,0.5822784810126582,False,0.88,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT
