u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,recall,GPU_recall,mass_capture,precision,specificity,FNR,GPU_FNR,flagged_fraction
4,B0,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,0.46974789915966386,1.0,1.0,1.0,0.41233317993557295,0.0,0.0,0.0,1.0
4,B0,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.6882677907204384,0.6112288343415385,0.2133881195342433,0.297859439730332,0.22737193204580394,0.9140625,0.8547880690737834,0.9722331986999857,0.5973741794310722,0.5677368833202819,0.0859375,0.14521193092621665,0.630924988495168
4,B0,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.5918127158728604,0.5664007434560786,0.2754891649842153,0.31134426072296273,0.25046982361462905,0.91796875,0.8430141287284144,0.971254406856488,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B0,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6112918548635193,0.5683170000956657,0.2664933149938054,0.3090885872569053,0.23675915598869324,0.91796875,0.8430141287284144,0.971254406856488,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B1,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,0.46974789915966386,1.0,1.0,1.0,0.41233317993557295,0.0,0.0,0.0,1.0
4,B1,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.6882677907204384,0.6112288343415385,0.2133881195342433,0.297859439730332,0.22737193204580394,0.9140625,0.8547880690737834,0.9495832896270396,0.5973741794310722,0.5677368833202819,0.0859375,0.14521193092621665,0.630924988495168
4,B1,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.5918127158728604,0.5664007434560786,0.2754891649842153,0.31134426072296273,0.25046982361462905,0.91796875,0.8430141287284144,0.9491337840827936,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B1,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6112918548635193,0.5683170000956657,0.2664933149938054,0.3090885872569053,0.23675915598869324,0.91796875,0.8430141287284144,0.9491337840827936,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B2,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,0.46974789915966386,1.0,1.0,1.0,0.41233317993557295,0.0,0.0,0.0,1.0
4,B2,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.6882677907204384,0.6112288343415385,0.2133881195342433,0.297859439730332,0.22737193204580394,0.9140625,0.8547880690737834,0.9499846635257089,0.5973741794310722,0.5677368833202819,0.0859375,0.14521193092621665,0.630924988495168
4,B2,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.5918127158728604,0.5664007434560786,0.2754891649842153,0.31134426072296273,0.25046982361462905,0.91796875,0.8430141287284144,0.9500757663949798,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B2,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6112918548635193,0.5683170000956657,0.2664933149938054,0.3090885872569053,0.23675915598869324,0.91796875,0.8430141287284144,0.9500757663949798,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B3,C0,DEVELOPMENT,4346,1792,0.41233317993557295,0.5,0.41233317993557295,0.24561097864337256,0.057414719224090915,0.46974789915966386,1.0,1.0,1.0,0.41233317993557295,0.0,0.0,0.0,1.0
4,B3,C1,DEVELOPMENT,4346,1792,0.41233317993557295,0.6882677907204384,0.6112288343415385,0.2133881195342433,0.297859439730332,0.22737193204580394,0.9140625,0.8547880690737834,0.9555608122973105,0.5973741794310722,0.5677368833202819,0.0859375,0.14521193092621665,0.630924988495168
4,B3,C2,DEVELOPMENT,4346,1792,0.41233317993557295,0.5918127158728604,0.5664007434560786,0.2754891649842153,0.31134426072296273,0.25046982361462905,0.91796875,0.8430141287284144,0.9555355625637555,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B3,C3,DEVELOPMENT,4346,1792,0.41233317993557295,0.6112918548635193,0.5683170000956657,0.2664933149938054,0.3090885872569053,0.23675915598869324,0.91796875,0.8430141287284144,0.9555355625637555,0.5860349127182045,0.5450274079874706,0.08203125,0.1569858712715856,0.6458812701334561
4,B0,C0,CALIBRATION,2634,574,0.21791951404707668,0.5,0.21791951404707668,0.23384813499297616,0.2518283851125871,0.46974789915966386,1.0,1.0,1.0,0.21791951404707668,0.0,0.0,0.0,1.0
