u_hours,u_sec,TRAIN_N,TRAIN_percentile,DEVELOPMENT_N,tail_N,body_N,tail_prevalence,tail_requested_GPU_fraction,tail_runtime_hours_fraction,tail_positive_error_mass_fraction,tail_GPU_positive_error_mass_fraction,body_reference_safe_coverage,body_reference_GPU_coverage,body_reference_safe_MAE_sec,body_reference_safe_WAPE,body_reference_underprediction_rate,body_GPU_underprediction_sec,body_point_MAE_sec,body_point_WAPE,worst_1pct_positive_mass_fraction,tail_share_within_worst_1pct_positive_mass,worst_1pct_GPU_positive_mass_fraction,tail_share_within_worst_1pct_GPU_positive_mass,worst_5pct_positive_mass_fraction,tail_share_within_worst_5pct_positive_mass,worst_5pct_GPU_positive_mass_fraction,tail_share_within_worst_5pct_GPU_positive_mass,worst_10pct_positive_mass_fraction,tail_share_within_worst_10pct_positive_mass,worst_10pct_GPU_positive_mass_fraction,tail_share_within_worst_10pct_GPU_positive_mass
4,14400,13017,79.88015671813781,20957,1973,18984,0.0941451543636971,0.11865276790649924,0.9310486852998824,0.9894601488690882,0.993143348850675,0.93921196797303,0.9417140809103535,4953.960832811889,10.941166873702713,0.06078803202697008,512490.94288253784,1506.318203738343,3.3268084646205645,0.5203666787806044,1.0,0.6418395211239459,1.0,0.9738508641056886,0.9997876101015045,0.9826772120154128,0.9997012880350872,0.999985798384972,0.9894742010007709,0.9999924274475395,0.9931508695377358
6,21600,13017,84.32050395636476,20957,1646,19311,0.07854177601755977,0.0961067677485588,0.8856340050945596,0.9372256743437807,0.9446758206651582,0.9262078608047227,0.9229425126681811,4999.228949142845,6.771373621924459,0.0737921391952773,4135129.5572776794,1677.530345912933,2.2721873412579483,0.5203666787806044,1.0,0.6418395211239459,0.9816968421247704,0.9738508641056886,0.9608769633641453,0.9826772120154128,0.9604754780785812,0.999985798384972,0.93723898465103,0.9999924274475395,0.9446829743265398
8,28800,13017,86.11047092263962,20957,1495,19462,0.07133654626139238,0.08623548922056384,0.8554554750736678,0.8885786192867232,0.9035399170201505,0.9197410338094749,0.9143980641258318,5071.803430600814,5.477900438829063,0.08025896619052512,7209775.997097015,1811.9895147597995,1.9570746961856385,0.5203666787806044,1.0,0.6418395211239459,0.9816968421247704,0.9738508641056886,0.9114253988275854,0.9826772120154128,0.918879082051475,0.999985798384972,0.8885912387174127,0.9999924274475395,0.9035467591753849
12,43200,13017,88.85303833448567,20957,1335,19622,0.06370186572505607,0.07202084814025113,0.8102609902714302,0.8074832364569906,0.8242806938058618,0.913260625828152,0.9046889626414774,5209.482936237653,4.321625813914972,0.08673937417184792,13133897.430812836,2012.562423288014,1.6695594989083913,0.5203666787806044,1.0,0.6418395211239459,0.9777738361698733,0.9738508641056886,0.8284100285238956,0.9826772120154128,0.838344010209513,0.999985798384972,0.8074947041859166,0.9999924274475395,0.8242869357619254
24,86400,13017,96.78113236536836,20957,250,20707,0.011929188338025481,0.023256732211956094,0.2764696633343843,0.5107103730556081,0.5821698040252768,0.8986333124064326,0.8873751869668917,5689.65182405083,1.3062070648497215,0.10136668759356739,31230142.30072975,2623.6832353215805,0.6023344984693402,0.5203666787806044,0.8847511661940098,0.6418395211239459,0.808580076470318,0.9738508641056886,0.5241741937901891,0.9826772120154128,0.5923591651950952,0.999985798384972,0.5107176260707215,0.9999924274475395,0.5821742125700426
