session_id,GPU_type,source_relative_path,nominal_sampling_interval_seconds,nominal_sampling_frequency_Hz,duration_seconds,delta_median_seconds,delta_P05_seconds,delta_P95_seconds,delta_min_seconds,delta_max_seconds,duplicate_timestamps,non_monotonic_rows,gap_count,gap_rule,native_or_resampled,source_archive_sha256,source_code_commit
session_010c9bd9e04d4fca,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize128_BatchSize128.csv,0.02,50.0,899.979944,0.019999,0.0198649,0.020131,0.006737,0.116689,0,0,175,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_06df8668debaf677,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize250.CSV,0.1,10.0,,,,,,,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_07d0a3d5f166bc31,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/optimizer type/Single_machine_OptimizerRMSprop_NumFilter8_ImageSize112_batchsize1500.CSV,0.1,10.0,945.354,0.093,0.09,0.108,0.028,0.161,0,0,4,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_0e8538972df1f646,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize750.CSV,0.1,10.0,952.13,0.093,0.09,0.107,0.073,0.113,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_10c6443628a18c2f,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize1500.CSV,0.1,10.0,953.595,0.093,0.091,0.106,0.074,0.118,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_14a74311509f55fa,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize150.CSV,0.1,10.0,956.953,0.093,0.09,0.1,0.043,4.795,0,0,10,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_17b2b9259b4bf0ab,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Sequance Length/Single_machine_InputTypeSequance_Sequancelength350_LayerSize256_batchsize150.CSV,0.1,10.0,954.18,0.094,0.092,0.097,0.078,0.115,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_195718f1495679c2,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Number of Filters/Single_machine_OptimizerAdam_NumFilter16_ImageSize112_batchsize1500.CSV,0.1,10.0,,,,,,,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1c9eec5a1101269e,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Embedding Dimension/Single_machine_SeqLen100_EmbedDim300_batchsize128.CSV,0.1,10.0,950.161,0.093,0.091,0.107,0.076,0.119,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1e8609a9d3e61df6,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize32.CSV,0.1,10.0,950.82,0.093,0.09,0.107,0.067,0.12,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_1feae563dfb95b62,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,0.02,50.0,899.979858,0.02,0.019961,0.020014,0.009712,0.097894,0,0,315,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_222710da4024f4e8,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize150.CSV,0.1,10.0,955.277,0.094,0.09,0.099,0.031,4.501,0,0,8,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_24a3131a0fb3d13a,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/InputLayer Type/Single_machine_InputFeature_Sequancelength1_LayerSize256_batchsize150.CSV,0.1,10.0,932.0,0.094,0.091,0.097,0.082,0.115,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_255d1c7bc5f97f03,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Image_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,0.02,50.0,899.979961,0.019999,0.019775,0.020183,0.006659,0.106497,0,0,319,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
