session_id,GPU_type,source_relative_path,raw_samples,missing_power_values,nonfinite_power_values,negative_power_values,zero_power_values,above_100_percent_TDP_values_retained,maximum_TDP_percent,maximum_power_W,minimum_power_W,CPU_power_non_null,CPU_temperature_non_null,duplicate_timestamps,non_monotonic_rows,gap_count,session_truncation,classification,source_archive_sha256,source_code_commit
session_acb6322fa64f9589,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize16_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,45.09257142857143,317.305,116.939,0.0,0.0,0,0,32,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_ad6821f3c93d325c,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Image Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize280_batchsize1500.CSV,10126,,,,,,,,,,,0,0,3,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_adae127160c2fed9,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/Embedding Dim/Single_machine_EmbedDim1024_HiddenUnit512_batchsize256.CSV,10047,,,,,,,,,,,0,0,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_ade33ae000359913,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Model_size_impact/Image_generation_B200_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,77.0887,770.887,188.077,0.0,0.0,0,0,232,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_b766d1447a6139d6,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/DeepSpeed_parallel_sitting/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z1_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,7469.0,108.67814285714286,771.537,119.348,0.0,0.0,0,0,124,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_bb71d18337f6428e,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Sequance_length_cut/LLM_B200_8GPU_Node_Lamma8B_SeqLength1024_Deepspeedds_z3_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,1.0,104.4478,1037.465,190.874,0.0,0.0,0,0,407,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_bf0b68f6712ed2f0,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize256.csv,45000,0.0,0.0,0.0,0.0,0.0,48.55271428571429,334.141,114.963,0.0,0.0,0,0,239,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c039c2ab813da456,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/BatchSize/Single_machine_EmbedDim256_HiddenUnit512_batchsize1024.CSV,10114,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c20165c633d92796,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/optimizer type/Single_machine_OptimizerSGD_NumFilter8_ImageSize112_batchsize1500.CSV,10078,,,,,,,,,,,0,0,3,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c43e74c742d39bf0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/LayerSize/Single_machine_InputTypeSequance_Sequancelength250_LayerSize512_batchsize150.CSV,10073,,,,,,,,,,,0,0,20,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
