policy,slot_0based,interval_1based,timestamp,rho_actual_pu,rho_actual_percent,critical_line_phase_axis,Vmin_pu,Vmax_pu
B0,0,1,2025-05-01T00:00,0.701692467926295,70.16924679262951,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9755987542339805,1.0401774511339916
B0,1,2,2025-05-01T00:15,0.6867748535782567,68.67748535782567,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9773990498868114,1.0402242748859445
B0,2,3,2025-05-01T00:30,0.675039356153421,67.5039356153421,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9789296433485541,1.0402659108635273
B0,3,4,2025-05-01T00:45,0.6686067462618202,66.86067462618202,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9804405892561388,1.0403100466943211
B0,4,5,2025-05-01T01:00,0.6610261621721302,66.10261621721301,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9809048667271528,1.040319318955006
B0,5,6,2025-05-01T01:15,0.6480408253276629,64.80408253276629,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9825119549475467,1.040570655941378
B0,6,7,2025-05-01T01:30,0.6358650165208092,63.58650165208092,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9830897347074152,1.0410747842827368
B0,7,8,2025-05-01T01:45,0.6251453545015114,62.51453545015114,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9880958745454953,1.0411688465200155
B0,8,9,2025-05-01T02:00,0.617780035587052,61.778003558705194,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9886551346207271,1.041256742441161
B0,9,10,2025-05-01T02:15,0.6143567088280145,61.43567088280145,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9890775515880511,1.0413416917874372
B0,10,11,2025-05-01T02:30,0.6139458311469185,61.39458311469185,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9845442985965626,1.0403750947688837
B0,11,12,2025-05-01T02:45,0.6116490999544717,61.16490999544717,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,0.9849889444439411,1.0403867833983091
