policy,Planning_rho,DA_exact_rho,Fresh_rho,Actual_rho,Vmin,Vmax,transformer_current,transformer_kva,runtime_seconds,exact_AC_PASS,voltage_scope,Actual_Vmin,Actual_Vmax,Actual_transformer_current,Actual_transformer_kva,Actual_Q_intervention_slots,Actual_runtime_seconds,runtime_scope,DA_critical_slot_0based,DA_critical_line_phase,Actual_critical_slot_0based,Actual_critical_timestamp,Actual_critical_line_phase,Actual_rho_percent,date,BG_scale,AIDC_absolute_scale,MESS_scale,MESS_max_abs_P_kW,MESS_max_abs_Q_kvar,SOC_min,SOC_max,route_count,calendar_start_to_DA_complete_seconds
B0,0.9469122681618622,0.9469122681618622,0.9469122681618622,0.9440612543891209,0.9515820813676127,1.0417751023636088,0.28264430812130453,0.28723158240048113,,True,DA exact,0.9553091510290566,1.0413416917874372,0.2741133742257208,0.2785625635660908,0,14.976621627807617,DA runtime unavailable,75,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,73,2025-05-01T18:15,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,94.40612543891208,2025-05-01,0.552,2.4,2.0,,,,,,
B1,0.9458920784688679,0.9458946899106796,0.9458946899106796,0.9434635796011206,0.9521070339339122,1.0417742291952188,0.28238696115334494,0.2870430701411427,15239.785133099998,True,DA exact,0.9554676768733577,1.0412733805605618,0.27435935581554577,0.278842798086322,0,29.345178842544556,AIDC worker; excludes Actual,75,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,73,2025-05-01T18:15,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,94.34635796011206,2025-05-01,0.552,2.4,2.0,,,,,,
B2,0.9280718186347069,0.9300484177558795,0.9300484177558795,0.9331775770315386,0.9572731907513703,1.0482643858921525,0.7273535298403034,0.7261727740206402,308.252372500021,True,DA exact,0.9528796592076764,1.0499999999927074,0.7267124138744083,0.7262623029023795,2,14856.938714027405,Last restoration attempt ONLY; not full B2,75,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,73,2025-05-01T18:15,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,93.31775770315386,2025-05-01,0.552,2.4,2.0,428.2728660583295,465.68942018914055,0.4442545572916206,0.828834426688054,17,51450.21819829941
B3,0.9241551509184605,0.9262875787472955,0.9262875787472955,0.930493346041869,0.9538659016817981,1.0454490215127448,0.8413026399229543,0.8336666459835477,64820.0175280571,True,DA exact,0.9530579485490873,1.0447866422709426,0.8442835794663767,0.8336818571418245,0,524.0548164844513,Sum A1/M1/A2/M2 stage wall times; excludes Actual,75,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,78,2025-05-01T19:30,Line.tpx21459660c0|t2|sx3101194c.1.2|node1,93.0493346041869,2025-05-01,0.552,2.4,2.0,504.7879220687527,426.12198251139347,0.40952824837816587,0.7674310215017358,14,
