case_id,site_id,P_peak_MW,PF_assumed,loading_fraction,S_required_MVA,standard_rating_MVA,rating_exceeds_required,REAL_DNSP_INTERFACE_MVA,authority
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC06,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC07,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,0.95,0.8,0.5063882078101459,0.75,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,0.95,0.9,0.4501228513867964,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,0.98,0.8,0.49088652797922305,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,0.98,0.9,0.4363435804259761,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,1.0,0.8,0.4810687974196386,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC08,0.3848550379357109,1.0,0.9,0.42761670881745656,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC09,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC10,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC11,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,0.95,0.8,1.2153316987443503,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,0.95,0.9,1.0802948433283115,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,0.98,0.8,1.1781276671501355,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,0.98,0.9,1.0472245930223427,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,1.0,0.8,1.154565113807133,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_FIRM_MW,AIDC12,0.9236520910457063,1.0,0.9,1.0262801011618958,1.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,0.95,0.8,0.17106191044734428,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,0.95,0.9,0.1520550315087505,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,0.98,0.8,0.1658253213520174,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,0.98,0.9,0.14740028564623772,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,1.0,0.8,0.16250881492497707,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC01,0.13000705193998166,1.0,0.9,0.14445227993331294,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC02,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC03,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC04,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
